ID,time_sec,BV_volts,temp_C,DO_mgL,Q,datetime,sample_year,DO_mgL_avg,date,time
1,1651504200,3.26,4.781,8.353,0.979,2022-05-02T15:10:00Z,2022,NA,5/2/22,8:10:00
2,1651504260,3.26,4.054,8.725,0.983,2022-05-02T15:11:00Z,2022,NA,5/2/22,8:11:00
3,1651504320,3.26,3.983,8.345,0.982,2022-05-02T15:12:00Z,2022,NA,5/2/22,8:12:00
4,1651504380,3.26,3.171,8.706,0.982,2022-05-02T15:13:00Z,2022,NA,5/2/22,8:13:00
5,1651504440,3.26,2.745,8.827,0.982,2022-05-02T15:14:00Z,2022,8.5912,5/2/22,8:14:00
6,1651504500,3.26,2.41,8.95,0.983,2022-05-02T15:15:00Z,2022,8.7106,5/2/22,8:15:00
7,1651504560,3.26,2.209,9.008,0.983,2022-05-02T15:16:00Z,2022,8.7672,5/2/22,8:16:00
8,1651504620,3.26,2.082,9.05,0.984,2022-05-02T15:17:00Z,2022,8.9082,5/2/22,8:17:00
9,1651504680,3.26,1.945,9.122,0.986,2022-05-02T15:18:00Z,2022,8.9914,5/2/22,8:18:00
10,1651504740,3.26,1.87,9.152,0.987,2022-05-02T15:19:00Z,2022,9.0564,5/2/22,8:19:00
11,1651504800,3.26,1.796,9.164,0.986,2022-05-02T15:20:00Z,2022,9.0992,5/2/22,8:20:00
12,1651504860,3.26,1.764,9.192,0.988,2022-05-02T15:21:00Z,2022,9.136,5/2/22,8:21:00
13,1651504920,3.26,1.7,9.216,0.988,2022-05-02T15:22:00Z,2022,9.1692,5/2/22,8:22:00
14,1651504980,3.26,1.625,9.24,0.988,2022-05-02T15:23:00Z,2022,9.1928,5/2/22,8:23:00
15,1651505040,3.26,1.625,9.244,0.989,2022-05-02T15:24:00Z,2022,9.2112,5/2/22,8:24:00
16,1651505100,3.26,1.582,9.254,0.989,2022-05-02T15:25:00Z,2022,9.2292,5/2/22,8:25:00
17,1651505160,3.26,1.614,9.244,0.99,2022-05-02T15:26:00Z,2022,9.2396,5/2/22,8:26:00
