watershed,site,date,time,wtr_depth,level_flag
dh,dh1,2020-06-30,11:50,311,In Range
dh,dh1,2020-06-30,12:00,308,In Range
dh,dh1,2020-06-30,12:10,308,In Range
dh,dh1,2020-06-30,12:20,309,In Range
dh,dh1,2020-06-30,12:30,299,In Range
dh,dh1,2020-06-30,12:40,300,In Range
dh,dh1,2020-06-30,12:50,299,In Range
dh,dh1,2020-06-30,13:00,297,In Range
dh,dh1,2020-06-30,13:10,298,In Range
dh,dh1,2020-06-30,13:20,298,In Range
dh,dh1,2020-06-30,13:30,299,In Range
dh,dh1,2020-06-30,13:40,299,In Range
dh,dh1,2020-06-30,13:50,299,In Range
dh,dh1,2020-06-30,14:00,299,In Range
dh,dh1,2020-06-30,14:10,300,In Range
dh,dh1,2020-06-30,14:20,300,In Range
dh,dh1,2020-06-30,14:30,300,In Range
dh,dh1,2020-06-30,14:40,300,In Range
dh,dh1,2020-06-30,14:50,300,In Range
dh,dh1,2020-06-30,15:00,301,In Range
dh,dh1,2020-06-30,15:10,301,In Range
dh,dh1,2020-06-30,15:20,301,In Range
dh,dh1,2020-06-30,15:30,301,In Range
dh,dh1,2020-06-30,15:40,301,In Range
dh,dh1,2020-06-30,15:50,302,In Range
dh,dh1,2020-06-30,16:00,302,In Range
dh,dh1,2020-06-30,16:10,302,In Range
dh,dh1,2020-06-30,16:20,302,In Range
dh,dh1,2020-06-30,16:30,302,In Range
dh,dh1,2020-06-30,16:40,302,In Range
dh,dh1,2020-06-30,16:50,303,In Range
dh,dh1,2020-06-30,17:00,303,In Range
dh,dh1,2020-06-30,17:10,303,In Range
dh,dh1,2020-06-30,17:20,303,In Range
dh,dh1,2020-06-30,17:30,303,In Range
dh,dh1,2020-06-30,17:40,303,In Range
dh,dh1,2020-06-30,17:50,303,In Range
dh,dh1,2020-06-30,18:00,304,In Range
dh,dh1,2020-06-30,18:10,304,In Range
dh,dh1,2020-06-30,18:20,304,In Range
dh,dh1,2020-06-30,18:30,304,In Range
dh,dh1,2020-06-30,18:40,304,In Range
dh,dh1,2020-06-30,18:50,304,In Range
dh,dh1,2020-06-30,19:00,304,In Range
dh,dh1,2020-06-30,19:10,304,In Range
dh,dh1,2020-06-30,19:20,304,In Range
dh,dh1,2020-06-30,19:30,304,In Range
dh,dh1,2020-06-30,19:40,304,In Range
dh,dh1,2020-06-30,19:50,305,In Range
dh,dh1,2020-06-30,20:00,305,In Range
dh,dh1,2020-06-30,20:10,305,In Range
dh,dh1,2020-06-30,20:20,305,In Range
dh,dh1,2020-06-30,20:30,305,In Range
dh,dh1,2020-06-30,20:40,305,In Range
dh,dh1,2020-06-30,20:50,305,In Range
dh,dh1,2020-06-30,21:00,305,In Range
dh,dh1,2020-06-30,21:10,305,In Range
dh,dh1,2020-06-30,21:20,305,In Range
dh,dh1,2020-06-30,21:30,306,In Range
dh,dh1,2020-06-30,21:40,306,In Range
dh,dh1,2020-06-30,21:50,306,In Range
dh,dh1,2020-06-30,22:00,306,In Range
dh,dh1,2020-06-30,22:10,306,In Range
dh,dh1,2020-06-30,22:20,306,In Range
dh,dh1,2020-06-30,22:30,306,In Range
dh,dh1,2020-06-30,22:40,306,In Range
dh,dh1,2020-06-30,22:50,306,In Range
dh,dh1,2020-06-30,23:00,306,In Range
dh,dh1,2020-06-30,23:10,306,In Range
dh,dh1,2020-06-30,23:20,306,In Range
dh,dh1,2020-06-30,23:30,306,In Range
dh,dh1,2020-06-30,23:40,306,In Range
dh,dh1,2020-06-30,23:50,307,In Range
dh,dh1,2020-07-01,00:00,307,In Range
dh,dh1,2020-07-01,00:10,307,In Range
dh,dh1,2020-07-01,00:20,307,In Range
dh,dh1,2020-07-01,00:30,307,In Range
dh,dh1,2020-07-01,00:40,307,In Range
dh,dh1,2020-07-01,00:50,307,In Range
dh,dh1,2020-07-01,01:00,307,In Range
dh,dh1,2020-07-01,01:10,307,In Range
dh,dh1,2020-07-01,01:20,307,In Range
dh,dh1,2020-07-01,01:30,307,In Range
dh,dh1,2020-07-01,01:40,308,In Range
dh,dh1,2020-07-01,01:50,308,In Range
dh,dh1,2020-07-01,02:00,308,In Range
