watershed,site,date,time,adj_wtr_ht,level_flag
fool,fc2,2020-08-13,08:00,169,In Range
fool,fc2,2020-08-13,08:10,169,In Range
fool,fc2,2020-08-13,08:20,169,In Range
fool,fc2,2020-08-13,08:30,169,In Range
fool,fc2,2020-08-13,08:40,169,In Range
fool,fc2,2020-08-13,08:50,169,In Range
fool,fc2,2020-08-13,09:00,169,In Range
fool,fc2,2020-08-13,09:10,169,In Range
fool,fc2,2020-08-13,09:20,169,In Range
fool,fc2,2020-08-13,09:30,169,In Range
fool,fc2,2020-08-13,09:40,169,In Range
fool,fc2,2020-08-13,09:50,169,In Range
fool,fc2,2020-08-13,10:00,169,In Range
fool,fc2,2020-08-13,10:10,169,In Range
fool,fc2,2020-08-13,10:20,169,In Range
fool,fc2,2020-08-13,10:30,169,In Range
fool,fc2,2020-08-13,10:40,169,In Range
fool,fc2,2020-08-13,10:50,169,In Range
fool,fc2,2020-08-13,11:00,169,In Range
fool,fc2,2020-08-13,11:10,169,In Range
fool,fc2,2020-08-13,11:20,169,In Range
fool,fc2,2020-08-13,11:30,169,In Range
fool,fc2,2020-08-13,11:40,169,In Range
fool,fc2,2020-08-13,11:50,169,In Range
fool,fc2,2020-08-13,12:00,169,In Range
fool,fc2,2020-08-13,12:10,169,In Range
fool,fc2,2020-08-13,12:20,170,In Range
fool,fc2,2020-08-13,12:30,170,In Range
fool,fc2,2020-08-13,12:40,170,In Range
fool,fc2,2020-08-13,12:50,170,In Range
fool,fc2,2020-08-13,13:00,170,In Range
fool,fc2,2020-08-13,13:10,170,In Range
fool,fc2,2020-08-13,13:20,170,In Range
fool,fc2,2020-08-13,13:30,170,In Range
fool,fc2,2020-08-13,13:40,170,In Range
fool,fc2,2020-08-13,13:50,170,In Range
fool,fc2,2020-08-13,14:00,170,In Range
fool,fc2,2020-08-13,14:10,170,In Range
fool,fc2,2020-08-13,14:20,170,In Range
fool,fc2,2020-08-13,14:30,170,In Range
fool,fc2,2020-08-13,14:40,170,In Range
fool,fc2,2020-08-13,14:50,170,In Range
fool,fc2,2020-08-13,15:00,169,In Range
fool,fc2,2020-08-13,15:10,169,In Range
fool,fc2,2020-08-13,15:20,169,In Range
fool,fc2,2020-08-13,15:30,169,In Range
fool,fc2,2020-08-13,15:40,169,In Range
fool,fc2,2020-08-13,15:50,169,In Range
fool,fc2,2020-08-13,16:00,169,In Range
fool,fc2,2020-08-13,16:10,169,In Range
fool,fc2,2020-08-13,16:20,169,In Range
fool,fc2,2020-08-13,16:30,169,In Range
fool,fc2,2020-08-13,16:40,169,In Range
fool,fc2,2020-08-13,16:50,169,In Range
fool,fc2,2020-08-13,17:00,169,In Range
fool,fc2,2020-08-13,17:10,169,In Range
fool,fc2,2020-08-13,17:20,169,In Range
fool,fc2,2020-08-13,17:30,169,In Range
fool,fc2,2020-08-13,17:40,169,In Range
fool,fc2,2020-08-13,17:50,169,In Range
fool,fc2,2020-08-13,18:00,169,In Range
fool,fc2,2020-08-13,18:10,169,In Range
fool,fc2,2020-08-13,18:20,169,In Range
fool,fc2,2020-08-13,18:30,169,In Range
fool,fc2,2020-08-13,18:40,169,In Range
fool,fc2,2020-08-13,18:50,170,In Range
fool,fc2,2020-08-13,19:00,169,In Range
fool,fc2,2020-08-13,19:10,170,In Range
fool,fc2,2020-08-13,19:20,170,In Range
fool,fc2,2020-08-13,19:30,170,In Range
fool,fc2,2020-08-13,19:40,170,In Range
fool,fc2,2020-08-13,19:50,170,In Range
fool,fc2,2020-08-13,20:00,170,In Range
fool,fc2,2020-08-13,20:10,170,In Range
fool,fc2,2020-08-13,20:20,170,In Range
fool,fc2,2020-08-13,20:30,170,In Range
fool,fc2,2020-08-13,20:40,170,In Range
fool,fc2,2020-08-13,20:50,170,In Range
fool,fc2,2020-08-13,21:00,170,In Range
fool,fc2,2020-08-13,21:10,170,In Range
fool,fc2,2020-08-13,21:20,170,In Range
fool,fc2,2020-08-13,21:30,170,In Range
fool,fc2,2020-08-13,21:40,170,In Range
fool,fc2,2020-08-13,21:50,170,In Range
fool,fc2,2020-08-13,22:00,170,In Range
fool,fc2,2020-08-13,22:10,170,In Range
fool,fc2,2020-08-13,22:20,170,In Range
fool,fc2,2020-08-13,22:30,170,In Range
fool,fc2,2020-08-13,22:40,170,In Range
fool,fc2,2020-08-13,22:50,170,In Range
fool,fc2,2020-08-13,23:00,170,In Range
fool,fc2,2020-08-13,23:10,170,In Range
fool,fc2,2020-08-13,23:20,170,In Range
fool,fc2,2020-08-13,23:30,170,In Range
fool,fc2,2020-08-13,23:40,170,In Range
fool,fc2,2020-08-13,23:50,170,In Range
fool,fc2,2020-08-14,00:00,170,In Range
fool,fc2,2020-08-14,00:10,170,In Range
fool,fc2,2020-08-14,00:20,170,In Range
fool,fc2,2020-08-14,00:30,170,In Range
fool,fc2,2020-08-14,00:40,170,In Range
fool,fc2,2020-08-14,00:50,170,In Range
fool,fc2,2020-08-14,01:00,170,In Range
fool,fc2,2020-08-14,01:10,170,In Range
fool,fc2,2020-08-14,01:20,170,In Range
fool,fc2,2020-08-14,01:30,170,In Range
fool,fc2,2020-08-14,01:40,170,In Range
fool,fc2,2020-08-14,01:50,170,In Range
fool,fc2,2020-08-14,02:00,170,In Range
fool,fc2,2020-08-14,02:10,170,In Range
fool,fc2,2020-08-14,02:20,170,In Range
fool,fc2,2020-08-14,02:30,170,In Range
fool,fc2,2020-08-14,02:40,170,In Range
fool,fc2,2020-08-14,02:50,170,In Range
fool,fc2,2020-08-14,03:00,170,In Range
fool,fc2,2020-08-14,03:10,170,In Range
fool,fc2,2020-08-14,03:20,170,In Range
fool,fc2,2020-08-14,03:30,170,In Range
fool,fc2,2020-08-14,03:40,170,In Range
fool,fc2,2020-08-14,03:50,170,In Range
fool,fc2,2020-08-14,04:00,170,In Range
fool,fc2,2020-08-14,04:10,170,In Range
fool,fc2,2020-08-14,04:20,170,In Range
fool,fc2,2020-08-14,04:30,170,In Range
fool,fc2,2020-08-14,04:40,170,In Range
fool,fc2,2020-08-14,04:50,170,In Range
fool,fc2,2020-08-14,05:00,170,In Range
fool,fc2,2020-08-14,05:10,170,In Range
fool,fc2,2020-08-14,05:20,170,In Range
fool,fc2,2020-08-14,05:30,170,In Range
fool,fc2,2020-08-14,05:40,170,In Range
fool,fc2,2020-08-14,05:50,170,In Range
fool,fc2,2020-08-14,06:00,170,In Range
fool,fc2,2020-08-14,06:10,170,In Range
fool,fc2,2020-08-14,06:20,170,In Range
fool,fc2,2020-08-14,06:30,170,In Range
