"TOA5","DH1_CR1000_63433","CR1000","63433","CR1000.Std.27","CPU:DH1_CR1000_63433_FEF_10min_program_2021Calibrated.CR1","49380","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-12 14:50:00",0,125.0335,135.7976,0.07840826,73.43215,2.037,18.46479,557.7505,18.42695,0.043287,18.41854,0.4448907,23.84296,0.3656624,0.05989098,0.320389,556.1277,23.34363
"2021-05-12 15:00:00",1,125.026,135.79,0.07835098,73.37772,2.019,18.14573,547.5283,18.08265,0.05673608,18.09947,0.8190589,27.34519,0.6832042,0.08319361,0.6945254,549.4012,28.84356
"2021-05-12 15:10:00",2,127.1749,137.967,0.07965563,74.61754,2.042,18.52013,556.6453,18.38972,0.0900231,18.38131,1.442464,35.21965,1.397169,0.05991991,1.442464,560.517,34.34541
"2021-05-12 15:20:00",3,127.142,137.9336,0.07970929,74.66853,2.067,18.01392,543.3641,17.9424,0.04570124,17.92136,1.941277,37.72321,1.624163,0.1441502,1.567535,544.1136,35.72463
"2021-05-12 15:30:00",4,127.0997,137.8908,0.07958996,74.55513,2.034,17.96956,541.7971,17.88962,0.04452854,17.877,2.190856,36.97762,1.556561,0.221957,1.443294,540.0482,38.47672
"2021-05-12 15:40:00",5,127.1176,137.9089,0.0794479,74.42013,1.982,17.78835,534.2921,17.63684,0.07409838,17.60317,82.19814,885.1555,78.45952,2.883706,76.21635,536.0414,849.4195
"2021-05-12 15:50:00",6,127.2716,138.065,0.07940706,74.38132,1.937,17.6041,529.8212,17.48626,0.07737654,17.46521,71.7338,808.1022,71.47321,0.135011,71.35991,531.9454,806.8527
"2021-05-12 16:00:00",7,127.2793,138.0727,0.07931366,74.29256,1.903,17.41925,525.7073,17.3477,0.04572009,17.32665,39.33154,441.984,38.27785,0.7960035,37.58672,525.0825,452.2307
"2021-05-12 16:10:00",8,127.2844,138.0779,0.07927049,74.25153,1.888,18.99602,570.897,18.86974,0.04872711,18.85711,445.4358,4932.61,445.4358,0,445.4358,569.1473,4932.61
"2021-05-12 16:20:00",9,127.3513,138.1457,0.07923181,74.21478,1.861,18.67433,561.3456,18.54803,0.06272668,18.5354,445.4931,4933.242,445.493,0,445.4931,562.3456,4933.242
"2021-05-12 16:30:00",10,127.3701,138.1647,0.07918932,74.17439,1.843,18.6754,562.2521,18.57857,0.08010326,18.53647,445.5182,4933.519,445.5182,0,445.5182,559.6271,4933.519
"2021-05-12 16:40:00",11,127.4525,138.2482,0.07918199,74.16743,1.824,18.67579,560.6384,18.52422,0.06273103,18.49053,445.5273,4933.494,445.5159,0.03583847,445.5273,561.0135,4933.619
"2021-05-12 16:50:00",12,127.4137,138.2089,0.07916304,74.14943,1.825,18.67588,562.0162,18.57062,0.06576608,18.58325,445.5294,4933.018,445.4727,0.06207404,445.4048,563.7663,4932.268
"2021-05-12 17:00:00",13,127.4374,138.2329,0.07913052,74.11852,1.809,18.35172,552.5169,18.25067,0.07854158,18.25909,445.5302,4932.525,445.4281,0.04809412,445.4055,550.0168,4932.276
"2021-05-12 17:10:00",14,127.4814,138.2775,0.07910825,74.09736,1.793,18.21279,548.267,18.10753,0.07412965,18.12016,445.5304,4932.528,445.4283,0.04808235,445.4057,544.5169,4932.278
"2021-05-12 17:20:00",15,127.4595,138.2553,0.07907446,74.06525,1.786,18.35173,552.6422,18.25489,0.0638513,18.21279,445.4057,4932.278,445.4057,0,445.4057,550.0171,4932.278
"2021-05-12 17:30:00",16,127.4939,138.2901,0.07904068,74.03314,1.767,18.35173,552.0171,18.23384,0.0798842,18.21279,445.5304,4932.028,445.383,0.07170062,445.4057,547.267,4932.278
"2021-05-12 17:40:00",17,127.5204,138.317,0.07902935,74.02238,1.758,18.44436,552.0172,18.23384,0.08462545,18.21279,445.4057,4931.903,445.3717,0.0555479,445.4057,552.7672,4932.278
"2021-05-12 17:50:00",18,127.5177,138.3143,0.07897301,73.96884,1.739,18.35553,552.3793,18.24604,0.06330704,18.21656,445.4966,4932.655,445.4399,0.06208924,445.3719,551.5042,4931.905
"2021-05-12 18:00:00",19,127.5817,138.3791,0.0789566,73.95325,1.721,17.98686,541.058,17.86472,0.05327298,17.84788,445.5431,4932.668,445.441,0.04809412,445.4184,541.9333,4932.418
"2021-05-12 18:10:00",20,127.5695,138.3667,0.07892361,73.92188,1.712,17.89466,538.4454,17.77673,0.08692805,17.802,445.5542,4932.791,445.4521,0.04809412,445.4295,535.0692,4932.541
"2021-05-12 18:20:00",21,127.6315,138.4295,0.07890867,73.90769,1.695,17.94115,537.9501,17.76005,0.06685866,17.70951,445.5582,4932.71,445.4449,0.03584724,445.4335,537.8251,4932.585
