TIMESTAMP,RECORD,SC_uS_per_cm,SC_1,Ct_1,Ct_2,Temp_C,CDOM_ppb_QSE,CDOM_ave_mV,CDOM_ave_ppb_QSE,CDOM_stdev_ppb_QSE,CDOM_med_ppb_QSE,Turb_NTU,Turb_ave_mV,Turb_ave_NTU,Turb_stdev_NTU,Turb_med_NTU,CDOM_mV,TURB_mV
5/13/21 12:50,0,60.08636,68.95623,0.04078931,37.68249,2.323,9.815136,360.4379,9.715534,0.05163228,9.701797,8.238162,177.1436,8.025738,0.1074909,7.96326,359.9459,178.6198
5/13/21 13:00,1,60.04385,68.9129,0.0407373,37.63307,2.305,9.437339,348.6284,9.385821,0.05643466,9.36178,9.612675,205.0683,9.443984,0.09878609,9.406498,345.0609,205.6833
5/13/21 13:10,2,60.09681,68.96688,0.04072687,37.62315,2.276,10.57073,388.4856,10.4986,0.04684071,10.49517,10.71229,220.6913,10.23745,0.1694983,10.16248,387.0095,230.0406
5/13/21 13:20,3,60.09091,68.96087,0.04069564,37.59348,2.257,9.966254,367.5729,9.914737,0.04633388,9.890696,10.50611,223.1517,10.36241,0.06184988,10.36866,365.3586,223.2747
5/13/21 13:30,4,60.05962,68.92897,0.04066433,37.56372,2.248,9.58913,353.2039,9.513566,0.04833108,9.513566,12.29387,259.459,12.2064,0.06612447,12.15641,355.9104,258.4749
5/13/21 13:40,5,60.09135,68.96132,0.04064346,37.54389,2.221,9.099681,336.0415,9.034408,0.05118627,9.024101,12.91497,269.8422,12.73374,0.08925845,12.70874,337.0259,267.9965
5/13/21 13:50,6,60.08244,68.95223,0.04061298,37.51492,2.204,8.797966,324.6194,8.715511,0.04785234,8.684591,18.48441,284.5034,13.47836,1.607147,12.84713,322.1583,270.7213
5/13/21 14:00,7,60.09731,68.96739,0.04058121,37.48473,2.176,8.269019,306.5351,8.210613,0.04931105,8.231228,13.53483,283.2773,13.41609,0.05153773,13.39734,305.9199,282.9082
5/13/21 14:10,8,60.12946,69.00016,0.04056016,37.46472,2.148,10.53661,387.5089,10.47133,0.03259388,10.46103,9.753735,200.9533,9.234993,0.1908009,9.134995,385.7861,198.9844
5/13/21 14:20,9,60.1308,69.00153,0.04054972,37.45481,2.141,10.08312,371.6349,10.02814,0.05666256,10.00753,14.84116,309.1215,14.72866,0.08431596,14.70366,370.8965,311.3365
5/13/21 14:30,10,60.16399,69.03536,0.04052977,37.43584,2.114,9.894156,364.6207,9.832314,0.04907113,9.856364,16.97238,348.6232,16.73488,0.08970284,16.69739,361.4212,346.5312
5/13/21 14:40,11,60.19774,69.06976,0.04055055,37.45559,2.114,9.556005,352.0161,9.480405,0.05345709,9.442606,18.62627,380.0789,18.33247,0.1468683,18.2137,353.37,376.3865
5/13/21 14:50,12,60.13747,69.00833,0.04053105,37.43706,2.125,9.216784,339.3733,9.127429,0.05647105,9.103373,15.73995,323.371,15.45237,0.1337939,15.3961,338.5117,324.9712
5/13/21 15:00,13,60.12103,68.99156,0.04051009,37.41714,2.117,8.83897,328.4259,8.821786,0.02956438,8.83897,16.22176,335.0732,16.04671,0.09885163,16.01545,329.0414,334.4577
5/13/21 15:10,14,59.88845,68.75449,0.04036402,37.27833,2.11,10.61589,390.5939,10.55746,0.02956465,10.54028,11.75174,229.3339,10.67639,0.3594761,10.58261,389.9784,230.1956
5/13/21 15:20,15,60.21484,69.0872,0.04050002,37.40757,2.073,10.27567,377.9155,10.2035,0.03764867,10.20006,10.23878,216.409,10.01996,0.1431147,9.963691,377.7924,215.3011
5/13/21 15:30,16,60.22099,69.09347,0.04051961,37.42619,2.084,9.670793,356.0041,9.591744,0.044013,9.557377,12.30195,253.5852,11.90807,0.1809846,11.82055,353.419,258.6323
5/13/21 15:40,17,60.23739,69.11018,0.04053105,37.43706,2.085,9.141521,337.1699,9.065909,0.05584209,9.065909,16.22196,289.0379,13.70865,0.8202298,13.4023,337.1699,287.0683
5/13/21 15:50,18,60.21362,69.08595,0.04051897,37.42558,2.086,8.952494,329.6608,8.856262,0.04661947,8.839078,15.46547,320.059,15.28416,0.1182936,15.25915,329.0453,320.9207
5/13/21 16:00,19,60.21323,69.08555,0.0405186,37.42523,2.086,8.612247,317.8432,8.526325,0.03978425,8.498832,16.15319,335.2003,16.05316,0.06125657,16.01565,320.9207,334.4617
5/13/21 16:10,20,60.25903,69.13224,0.04053141,37.4374,2.077,10.65373,393.057,10.62623,0.032605,10.61592,9.826155,204.2223,9.401017,0.1518609,9.34475,394.0419,203.1144
5/13/21 16:20,21,60.18883,69.06068,0.04049032,37.39835,2.076,10.4647,381.9781,10.31692,0.06337205,10.31348,11.82055,247.4302,11.59547,0.0931529,11.54546,381.855,246.4454
