"TOA5","DH1_CR1000","CR1000","63433","CR1000.Std.27","CPU:DH1_CR1000_63433_FEF_10min_program_2022Calibrated.CR1","6303","Data_10min"
"TIMESTAMP","RECORD","SC_uS","SC_1","Ct_1","Ct_2","Temp_C","CDOM","CDOM_ave_mV","CDOM_ave","CDOM_stdev","CDOM_med","Turb","Turb_ave_mV","Turb_ave","Turb_stdev","Turb_med","CDOM_mV","TURB_mV"
"TS","RN","uS/cm","","","","Deg C","ppb QSE","millivolts","ppb QSE","ppb QSE","ppb QSE","NTU","millivolts","NTU","NTU","NTU","millivolts","millivolts"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-04-22 13:30:00",0,123.2539,136.0645,0.1276053,120.1846,19.16,6.745169,198.9708,6.60205,0.07611251,6.60205,125.0473,1163.761,124.9111,0.04306316,124.8975,198.9708,1163.636
"2022-04-22 13:40:00",1,123.1059,135.9161,0.1276004,120.1799,19.21,6.983698,206.4556,6.862265,0.0551998,6.84058,138.2299,1284.765,138.1209,0.06672,138.08,203.0875,1284.391
"2022-04-22 13:50:00",2,123.1106,135.9208,0.1276713,120.2473,19.23,6.84058,204.3349,6.788538,0.05168022,6.745169,139.7279,1298.986,139.6734,0.07205849,139.7279,203.0875,1298.113
"2022-04-22 14:00:00",3,122.9958,135.8058,0.1276972,120.2719,19.28,6.888287,203.9607,6.775527,0.08454204,6.792874,140.6267,1306.97,140.545,0.07458762,140.4769,201.7153,1307.719
"2022-04-22 14:10:00",4,123.0693,135.8794,0.1278325,120.4005,19.3,6.888287,203.8359,6.77119,0.06857267,6.745169,141.5255,1314.58,141.3757,0.06387626,141.3757,203.0875,1314.58
"2022-04-22 14:20:00",5,123.0745,135.8846,0.1279706,120.5317,19.35,6.84058,202.5885,6.72782,0.05850819,6.697462,141.9749,1318.447,141.7979,0.1402108,141.6753,203.0875,1317.324
"2022-04-22 14:30:00",6,123.8395,136.6515,0.1287534,121.2756,19.37,6.888287,203.337,6.753842,0.0728292,6.745169,142.8737,1326.056,142.6286,0.1320405,142.5741,204.4597,1325.557
"2022-04-22 14:40:00",7,123.7974,136.6092,0.1288146,121.3338,19.41,6.888287,202.4637,6.723484,0.08476425,6.697462,143.6227,1333.791,143.4729,0.06387953,143.4729,203.0875,1335.163
"2022-04-22 14:50:00",8,123.8131,136.625,0.1288629,121.3797,19.42,6.792874,201.7152,6.697462,0.07334366,6.697462,144.5215,1342.149,144.3853,0.04306757,144.3717,204.4597,1342.024
"2022-04-22 15:00:00",9,123.7928,136.6047,0.128911,121.4254,19.44,6.745169,201.9647,6.706136,0.02742928,6.697462,145.2705,1349.509,145.1888,0.07458762,145.1207,201.7153,1350.257
"2022-04-22 15:10:00",10,123.769,136.5808,0.1289231,121.4369,19.46,6.745169,200.5925,6.65843,0.05311617,6.649756,144.9709,1346.515,144.862,0.06671321,144.8211,198.9708,1347.513
"2022-04-22 15:20:00",11,123.755,136.5667,0.128947,121.4596,19.47,6.792874,200.7173,6.662766,0.06461848,6.649756,145.8697,1354.998,145.788,0.07458762,145.7199,200.343,1355.746
"2022-04-22 15:30:00",12,123.7877,136.5996,0.128983,121.4938,19.47,6.745169,200.9668,6.67144,0.0424929,6.649756,146.6187,1361.484,146.4962,0.05777533,146.4689,198.9708,1361.235
"2022-04-22 15:40:00",13,123.7712,136.583,0.129043,121.5508,19.5,6.792874,201.5905,6.693125,0.06577255,6.697462,146.9184,1364.354,146.8094,0.06671321,146.7686,204.4597,1365.352
"2022-04-22 15:50:00",14,123.791,136.6029,0.129067,121.5736,19.5,7.031405,207.7031,6.905634,0.0619435,6.888287,147.5176,1369.593,147.3814,0.04306319,147.3678,207.2041,1370.84
"2022-04-22 16:00:00",15,123.8382,136.6502,0.129115,121.6192,19.5,6.935992,206.4556,6.862265,0.0551998,6.84058,148.2666,1376.329,148.1168,0.110637,148.1168,204.4597,1374.957
"2022-04-22 16:10:00",16,123.8621,136.6742,0.1291389,121.642,19.5,6.935992,207.2041,6.888286,0.05381954,6.888287,148.5662,1380.072,148.5253,0.06672,148.5662,208.5763,1380.446
"2022-04-22 16:20:00",17,123.9021,136.7142,0.1292109,121.7104,19.51,6.983698,206.9546,6.879612,0.05311618,6.888287,149.465,1387.681,149.356,0.06671321,149.3152,207.2041,1387.307
"2022-04-22 16:30:00",18,123.8915,136.7036,0.1292349,121.7332,19.52,6.888287,205.4577,6.827569,0.04114367,6.84058,150.0642,1393.17,149.9552,0.09236597,149.9144,205.8319,1392.796
"2022-04-22 16:40:00",19,123.9426,136.7548,0.129283,121.7789,19.52,6.888287,205.0834,6.814559,0.04711097,6.792874,149.7646,1390.301,149.642,0.05777532,149.6148,204.4597,1390.051
"2022-04-22 16:50:00",20,123.9808,136.7932,0.1293189,121.813,19.52,6.935992,205.4577,6.827569,0.07359965,6.84058,150.3638,1395.665,150.2276,0.118717,150.214,205.8319,1394.168
"2022-04-22 17:00:00",21,123.9936,136.8059,0.1293309,121.8244,19.52,6.888287,205.3329,6.823233,0.05850824,6.84058,150.8132,1400.53,150.7587,0.07206583,150.8132,207.2041,1401.029
