TOA5,FC1_CR800_42958,CR800,42958,CR800.Std.32.02,CPU:FC1_CR800_42958_FEF_10min_program_2022Calibrated.CR8,63442,Data_10min,,,,,,,,,,,
TIMESTAMP,RECORD,SC_uS,SC_1,Ct_1,Ct_2,Temp_C,CDOM,CDOM_ave_mV,CDOM_ave,CDOM_stdev,CDOM_med,Turb,Turb_ave_mV,Turb_ave,Turb_stdev,Turb_med,CDOM_mV,TURB_mV
TS,RN,uS/cm,,,,Deg C,ppb QSE,millivolts,ppb QSE,ppb QSE,ppb QSE,NTU,millivolts,NTU,NTU,NTU,millivolts,millivolts
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
4/22/2022 12:40,0,126.9822,132.0419,0.1212048,114.1021,18.21,4.538043,156.8294,4.507263,0.03650114,4.495719,245.7144,4941.486,245.6527,0.03491119,245.6466,157.8188,4941.362
4/22/2022 12:50,1,126.7143,131.7892,0.1211596,114.0592,18.27,4.495222,154.5873,4.437514,0.05190088,4.410584,245.6892,4940.732,245.6151,0.04535097,245.6213,156.4423,4940.856
4/22/2022 13:00,2,126.0032,131.1182,0.1207045,113.6267,18.33,4.580075,155.7071,4.47235,0.05218768,4.453113,245.7,4941.072,245.6321,0.05788717,245.6321,153.7283,4941.072
4/22/2022 13:10,3,125.5161,130.6587,0.1204416,113.3769,18.39,4.495342,154.5911,4.437633,0.03264492,4.453022,245.6953,4941.102,245.6336,0.04535664,245.6274,153.7254,4940.979
4/22/2022 13:20,4,125.2149,130.3745,0.120307,113.249,18.43,4.453101,152.9858,4.387696,0.04179253,4.36846,245.6993,4941.306,245.6438,0.05655671,245.6314,151.007,4941.059
4/22/2022 13:30,5,125.0901,130.2567,0.1203556,113.2952,18.49,4.284123,148.0485,4.234105,0.03526361,4.199477,245.7154,4941.258,245.6414,0.03490825,245.6476,146.9354,4941.382
4/22/2022 13:40,6,124.946,130.1208,0.1203876,113.3255,18.55,4.284197,148.793,4.257263,0.02720685,4.241873,245.7193,4941.089,245.6329,0.05089408,245.5836,149.6588,4940.1
4/22/2022 13:50,7,125.444,130.5906,0.1209438,113.8541,18.59,5.934865,200.9891,5.880997,0.04071979,5.850216,245.7207,4941.364,245.6466,0.05380686,245.6528,202.7207,4941.488
4/22/2022 14:00,8,125.3655,130.5165,0.121032,113.938,18.65,5.892548,200.4946,5.865614,0.02720715,5.850224,245.721,4941.741,245.6655,0.04859891,245.6531,201.3604,4940.133
4/22/2022 14:10,9,125.2712,130.4276,0.1210438,113.9491,18.68,5.977198,202.9684,5.942569,0.03029631,5.934875,245.7211,4941.619,245.6594,0.0349161,245.6532,201.3605,4941.496
4/22/2022 14:20,10,125.2788,130.4347,0.1211451,114.0454,18.72,6.019523,202.4737,5.927179,0.03526438,5.934875,245.7211,4941.99,245.6779,0.05237366,245.6532,201.3605,4942.856
4/22/2022 14:30,11,125.2762,130.4323,0.1212379,114.1336,18.75,5.977198,202.1026,5.915636,0.04552596,5.89255,245.7211,4941.619,245.6594,0.04535664,245.6532,201.3605,4941.496
4/22/2022 14:40,12,125.195,130.3557,0.1212935,114.1865,18.8,5.976978,202.343,5.923112,0.0365009,5.934656,245.7125,4941.695,245.6632,0.04185051,245.6447,201.3535,4942.685
4/22/2022 14:50,13,125.2038,130.364,0.1213645,114.2539,18.82,5.976966,201.9715,5.911558,0.0376977,5.892321,245.7121,4941.191,245.638,0.04535664,245.6442,202.7136,4939.954
4/22/2022 15:00,14,125.1187,130.2837,0.1214165,114.3033,18.87,5.892477,199.5029,5.834762,0.03264817,5.807829,245.7182,4941.314,245.6441,0.04535551,245.6503,198.6371,4941.438
4/22/2022 15:10,15,125.1644,130.3268,0.1215193,114.401,18.89,5.892532,199.0099,5.819427,0.04071975,5.807884,245.7204,4941.853,245.671,0.05089609,245.6525,199.9994,4941.482
4/22/2022 15:20,16,125.1328,130.297,0.1215548,114.4348,18.91,5.892546,199.2577,5.827135,0.04552601,5.807898,245.7209,4941.739,245.6654,0.04859433,245.653,199.9998,4940.132
4/22/2022 15:30,17,125.188,130.3491,0.1216346,114.5106,18.92,5.850226,198.2684,5.796359,0.04453989,5.765577,245.7211,4941.372,245.647,0.0453555,245.6532,197.2789,4942.856
4/22/2022 15:40,18,125.3829,130.5329,0.1218361,114.7021,18.94,5.89255,200.1236,5.854073,0.03808982,5.850226,245.7211,4941.743,245.6655,0.03903783,245.6532,200,4941.496
4/22/2022 15:50,19,125.365,130.5161,0.1218838,114.7474,18.96,5.89221,199.4944,5.834497,0.04143815,5.807566,245.7077,4941.351,245.646,0.0611016,245.6398,199.9891,4942.588
4/22/2022 16:00,20,125.2208,130.38,0.1218212,114.6879,18.98,5.850117,197.6465,5.777012,0.03650144,5.76547,245.7168,4941.409,245.6489,0.04094161,245.6489,198.6359,4941.409
4/22/2022 16:10,21,125.1314,130.2957,0.1217431,114.6136,18.98,5.850199,197.6491,5.777093,0.03650181,5.765551,245.72,4941.721,245.6645,0.03903169,245.6521,199.9991,4941.474
4/22/2022 16:20,22,125.0239,130.1943,0.1217124,114.5845,19.01,5.850218,197.7734,5.780961,0.04866947,5.76557,245.7208,4941.489,245.6529,0.04094161,245.6529,197.2786,4941.49
4/22/2022 16:30,23,124.9766,130.1496,0.121671,114.5452,19.01,5.807902,197.4025,5.769425,0.03354317,5.765577,245.6532,4941.248,245.6409,0.0261834,245.6532,198.6394,4941.496
