sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
1,04/29/2021 08:00:00,14.5,14.5,-4,-4
2,04/29/2021 08:10:00,15.1,15.1,-4,-4
3,04/29/2021 08:20:00,16.1,16.1,-4,-4
4,04/29/2021 08:30:00,16.7,17.3,-4,-4
5,04/29/2021 08:40:00,17.0,18.6,-5,-4
6,04/29/2021 08:50:00,17.2,19.1,-4,-4
7,04/29/2021 09:00:00,17.4,19.1,-4,-4
8,04/29/2021 09:10:00,17.6,19.3,-4,-4
9,04/29/2021 09:20:00,17.7,19.5,-4,-4
10,04/29/2021 09:30:00,17.8,19.6,-4,-4
11,04/29/2021 09:40:00,22.3,22.2,-5,-5
12,04/29/2021 09:50:00,27.2,24.2,-5,-5
13,04/29/2021 10:00:00,26.9,25.5,-5,-5
14,04/29/2021 10:10:00,22.8,25.2,-4,-5
15,04/29/2021 10:20:00,15.2,4.2,-4,-5
16,04/29/2021 10:30:00,9.9,0.9,-4,-4
17,04/29/2021 10:40:00,8.6,3.4,-4,-4
18,04/29/2021 10:50:00,13.0,3.9,-4,-4
19,04/29/2021 11:00:00,11.9,4.4,-4,-4
20,04/29/2021 11:10:00,9.2,4.6,-4,-4
21,04/29/2021 11:20:00,7.8,5.3,-4,-4
22,04/29/2021 11:30:00,11.0,13.0,-4,-4
23,04/29/2021 11:40:00,22.3,21.0,-5,-5
24,04/29/2021 11:50:00,31.6,26.2,-5,-5
25,04/29/2021 12:00:00,37.0,25.1,-6,-6
26,04/29/2021 12:10:00,33.6,20.3,-5,-6
27,04/29/2021 12:20:00,26.1,17.0,-5,-5
28,04/29/2021 12:30:00,26.0,21.8,-5,-5
29,04/29/2021 12:40:00,34.0,27.7,-6,-6
30,04/29/2021 12:50:00,40.5,32.1,-6,-6
31,04/29/2021 13:00:00,43.4,34.8,-6,-6
32,04/29/2021 13:10:00,31.6,26.4,-4,-6
33,04/29/2021 13:20:00,11.5,15.4,-4,-4
34,04/29/2021 13:30:00,5.5,10.9,-4,-4
35,04/29/2021 13:40:00,3.1,7.7,-3,-4
36,04/29/2021 13:50:00,1.9,5.5,-3,-3
37,04/29/2021 14:00:00,1.2,3.9,-3,-3
38,04/29/2021 14:10:00,0.9,2.9,-3,-3
39,04/29/2021 14:20:00,0.8,2.1,-3,-3
40,04/29/2021 14:30:00,0.7,1.6,-3,-3
41,04/29/2021 14:40:00,0.6,1.3,-3,-3
42,04/29/2021 14:50:00,0.6,1.0,-3,-3
43,04/29/2021 15:00:00,0.5,0.9,-3,-3
44,04/29/2021 15:10:00,0.5,0.8,-3,-3
45,04/29/2021 15:20:00,0.4,0.7,-3,-3
46,04/29/2021 15:30:00,0.4,0.6,-3,-3
47,04/29/2021 15:40:00,0.4,0.6,-3,-3
48,04/29/2021 15:50:00,0.4,0.6,-3,-3
49,04/29/2021 16:00:00,0.4,0.6,-3,-3
50,04/29/2021 16:10:00,0.4,0.6,-3,-3
51,04/29/2021 16:20:00,0.4,0.6,-3,-3
52,04/29/2021 16:30:00,0.4,0.6,-3,-3
53,04/29/2021 16:40:00,0.4,0.6,-3,-3
54,04/29/2021 16:50:00,0.4,0.6,-2,-2
55,04/29/2021 17:00:00,0.4,0.6,-2,-2
56,04/29/2021 17:10:00,0.4,0.6,-2,-2
57,04/29/2021 17:20:00,0.3,0.6,-2,-2
58,04/29/2021 17:30:00,0.3,0.6,-2,-2
59,04/29/2021 17:40:00,0.3,0.6,-1,-2
60,04/29/2021 17:50:00,0.3,0.6,-1,-1
61,04/29/2021 18:00:00,0.3,0.6,-1,-1
62,04/29/2021 18:10:00,0.3,0.6,-1,-1
63,04/29/2021 18:20:00,0.3,0.6,0,-1
64,04/29/2021 18:30:00,0.3,0.6,0,0
65,04/29/2021 18:40:00,0.3,0.6,0,0
66,04/29/2021 18:50:00,0.3,0.6,0,0
67,04/29/2021 19:00:00,0.3,0.6,3,2
68,04/29/2021 19:10:00,0.3,0.7,5,4
69,04/29/2021 19:20:00,0.3,0.7,7,6
70,04/29/2021 19:30:00,0.3,0.7,9,8
71,04/29/2021 19:40:00,0.3,0.7,11,10
72,04/29/2021 19:50:00,0.3,0.7,13,12
73,04/29/2021 20:00:00,0.3,0.7,15,14
74,04/29/2021 20:10:00,0.3,0.8,17,16
75,04/29/2021 20:20:00,0.3,0.8,19,19
76,04/29/2021 20:30:00,0.3,0.8,22,21
77,04/29/2021 20:40:00,0.3,0.8,23,23
78,04/29/2021 20:50:00,0.3,0.8,25,25
79,04/29/2021 21:00:00,0.3,0.8,27,26
80,04/29/2021 21:10:00,0.4,0.8,29,28
81,04/29/2021 21:20:00,0.4,0.9,31,30
82,04/29/2021 21:30:00,0.4,0.9,32,32
83,04/29/2021 21:40:00,0.4,0.9,34,33
84,04/29/2021 21:50:00,0.4,0.9,35,35
85,04/29/2021 22:00:00,0.5,0.9,37,36
86,04/29/2021 22:10:00,0.5,0.9,39,38
87,04/29/2021 22:20:00,0.5,0.9,40,39
88,04/29/2021 22:30:00,0.5,0.9,41,40
