sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,4/29/21 8:00,14.1,14.5,-34,-34,3.99
2,4/29/21 8:10,14.8,15.5,-33,-33,3.99
3,4/29/21 8:20,15.8,17.1,-33,-33,3.99
4,4/29/21 8:30,16.1,18.8,-33,-33,3.99
5,4/29/21 8:40,16.8,20.2,-31,-33,3.99
6,4/29/21 8:50,16.8,20.6,-37,-34,3.99
7,4/29/21 9:00,17.1,21.3,-36,-36,3.99
8,4/29/21 9:10,17.1,21.6,-42,-39,3.99
9,4/29/21 9:20,17.1,21.3,-45,-44,3.99
10,4/29/21 9:30,17.5,20.9,-35,-40,3.99
11,4/29/21 9:40,22.7,22.7,-36,-35,3.99
12,4/29/21 9:50,28.7,24.2,-32,-35,3.99
13,4/29/21 10:00,31.6,22.3,-33,-33,3.99
14,4/29/21 10:10,32.8,19.9,-29,-31,3.99
15,4/29/21 10:20,25.3,6.9,-43,-40,3.99
16,4/29/21 10:30,14.8,2.9,-46,-43,3.99
17,4/29/21 10:40,8.5,1.9,-46,-46,3.99
18,4/29/21 10:50,7.2,1.9,-46,-46,3.99
19,4/29/21 11:00,5.9,2.2,-42,-44,3.99
20,4/29/21 11:10,2.5,3.2,-50,-49,3.99
21,4/29/21 11:20,1.5,3.2,-49,-50,3.99
22,4/29/21 11:30,0.8,3.2,-49,-49,3.99
23,4/29/21 11:40,0.5,3.2,-49,-49,3.99
24,4/29/21 11:50,0.5,3.2,-49,-49,3.99
25,4/29/21 12:00,0.5,3.2,-49,-49,3.99
26,4/29/21 12:10,0.5,3.2,-49,-49,3.99
27,4/29/21 12:20,0.5,3.5,-49,-49,3.99
28,4/29/21 12:30,0.5,3.9,-49,-49,3.99
29,4/29/21 12:40,0.5,4.2,-49,-49,3.99
30,4/29/21 12:50,0.5,5.2,-49,-49,3.99
31,4/29/21 13:00,0.5,6.5,-49,-49,3.99
32,4/29/21 13:10,0.5,6.5,-49,-49,3.99
33,4/29/21 13:20,0.5,5.9,-49,-49,3.99
34,4/29/21 13:30,0.5,5.6,-49,-49,3.99
35,4/29/21 13:40,0.5,5.2,-49,-49,3.99
36,4/29/21 13:50,0.5,5.2,-49,-49,3.99
37,4/29/21 14:00,0.5,5.2,-49,-49,3.99
38,4/29/21 14:10,0.5,5.9,-49,-49,3.99
39,4/29/21 14:20,0.5,7.2,-49,-49,3.99
40,4/29/21 14:30,0.5,8.2,-49,-49,3.99
41,4/29/21 14:40,0.5,8.5,-49,-49,3.99
42,4/29/21 14:50,0.5,9.2,-49,-49,3.99
43,4/29/21 15:00,0.5,11.2,-49,-49,3.99
44,4/29/21 15:10,0.5,12.5,-49,-49,3.99
45,4/29/21 15:20,0.5,12.5,-49,-49,3.99
46,4/29/21 15:30,0.5,13.8,-49,-49,3.99
47,4/29/21 15:40,0.5,15.8,-49,-49,3.99
48,4/29/21 15:50,0.5,15.5,-49,-49,3.99
49,4/29/21 16:00,0.5,13.5,-49,-49,3.99
50,4/29/21 16:10,0.5,11.5,-49,-49,3.99
51,4/29/21 16:20,0.5,10.2,-49,-49,3.99
52,4/29/21 16:30,0.5,9.8,-49,-49,3.99
53,4/29/21 16:40,0.5,10.5,-49,-49,3.99
54,4/29/21 16:50,0.5,13.5,-49,-49,3.99
55,4/29/21 17:00,0.5,17.5,-49,-49,3.99
56,4/29/21 17:10,0.5,20.2,-49,-49,3.99
57,4/29/21 17:20,0.1,19.9,-16,-27,3.99
58,4/29/21 17:30,0.1,18.2,-5,-9,3.99
59,4/29/21 17:40,0.1,15.5,-2,-3,3.99
60,4/29/21 17:50,0.5,13.1,0,-1,3.99
61,4/29/21 18:00,0.5,11.5,0,0,3.99
62,4/29/21 18:10,0.5,9.8,0,0,3.99
63,4/29/21 18:20,0.5,8.2,1,1,3.99
64,4/29/21 18:30,0.5,6.9,0,0,3.99
65,4/29/21 18:40,0.5,5.9,-1,0,3.99
66,4/29/21 18:50,0.5,5.2,-2,-1,3.99
67,4/29/21 19:00,0.5,5.2,-4,-3,3.99
68,4/29/21 19:10,0.5,4.6,-5,-5,3.99
69,4/29/21 19:20,0.5,3.9,-7,-6,3.99
70,4/29/21 19:30,0.5,3.2,-8,-8,3.99
71,4/29/21 19:40,0.5,2.5,-10,-9,3.99
72,4/29/21 19:50,0.5,2.2,-11,-11,3.99
73,4/29/21 20:00,0.5,1.5,-12,-12,3.99
