sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3
5351,11/06/2021 17:20:00,4.1,-52,-52
5352,11/06/2021 17:30:00,4.1,-52,-52
5353,11/06/2021 17:40:00,4.1,-52,-52
5354,11/06/2021 17:50:00,4.1,-52,-52
5355,11/06/2021 18:00:00,4.1,-52,-52
5356,11/06/2021 18:10:00,4.1,-52,-52
5357,11/06/2021 18:20:00,4.1,-52,-52
5358,11/06/2021 18:30:00,4.1,-52,-52
5359,11/06/2021 18:40:00,4.1,-52,-52
5360,11/06/2021 18:50:00,4.1,-52,-52
5361,11/06/2021 19:00:00,4.1,-52,-52
5362,11/06/2021 19:10:00,4.1,-52,-52
5363,11/06/2021 19:20:00,4.1,-52,-52
5364,11/06/2021 19:30:00,4.1,-52,-52
5365,11/06/2021 19:40:00,4.1,-52,-52
5366,11/06/2021 19:50:00,4.1,-52,-52
5367,11/06/2021 20:00:00,4.1,-52,-52
5368,11/06/2021 20:10:00,4.1,-52,-52
5369,11/06/2021 20:20:00,4.1,-52,-52
5370,11/06/2021 20:30:00,4.1,-52,-52
5371,11/06/2021 20:40:00,4.1,-52,-52
5372,11/06/2021 20:50:00,4.1,-52,-52
5373,11/06/2021 21:00:00,4.1,-52,-52
5374,11/06/2021 21:10:00,4.1,-52,-52
5375,11/06/2021 21:20:00,4.1,-52,-52
5376,11/06/2021 21:30:00,4.1,-52,-52
5377,11/06/2021 21:40:00,4.1,-52,-52
5378,11/06/2021 21:50:00,4.1,-52,-52
5379,11/06/2021 22:00:00,4.1,-52,-52
5380,11/06/2021 22:10:00,4.1,-52,-52
5381,11/06/2021 22:20:00,4.1,-52,-52
5382,11/06/2021 22:30:00,4.1,-52,-52
5383,11/06/2021 22:40:00,4.1,-52,-52
5384,11/06/2021 22:50:00,4.1,-52,-52
5385,11/06/2021 23:00:00,4.1,-52,-52
5386,11/06/2021 23:10:00,4.1,-52,-52
5387,11/06/2021 23:20:00,4.1,-52,-52
5388,11/06/2021 23:30:00,4.1,-52,-52
5389,11/06/2021 23:40:00,4.1,-52,-52
5390,11/06/2021 23:50:00,4.1,-52,-52
5391,12/06/2021 00:00:00,4.1,-52,-52
5392,12/06/2021 00:10:00,4.1,-52,-52
5393,12/06/2021 00:20:00,4.1,-52,-52
5394,12/06/2021 00:30:00,4.1,-52,-52
5395,12/06/2021 00:40:00,4.1,-52,-52
5396,12/06/2021 00:50:00,4.1,-52,-52
5397,12/06/2021 01:00:00,4.1,-52,-52
5398,12/06/2021 01:10:00,4.1,-52,-52
5399,12/06/2021 01:20:00,4.1,-52,-52
5400,12/06/2021 01:30:00,4.1,-52,-52
5401,12/06/2021 01:40:00,4.1,-52,-52
5402,12/06/2021 01:50:00,4.1,-52,-52
5403,12/06/2021 02:00:00,4.1,-52,-52
5404,12/06/2021 02:10:00,4.1,-52,-52
5405,12/06/2021 02:20:00,4.1,-52,-52
5406,12/06/2021 02:30:00,4.1,-52,-52
5407,12/06/2021 02:40:00,4.1,-52,-52
5408,12/06/2021 02:50:00,4.1,-52,-52
5409,12/06/2021 03:00:00,4.1,-52,-52
5410,12/06/2021 03:10:00,4.1,-52,-52
5411,12/06/2021 03:20:00,4.1,-52,-52
5412,12/06/2021 03:30:00,4.1,-52,-52
5413,12/06/2021 03:40:00,4.1,-52,-52
5414,12/06/2021 03:50:00,4.1,-52,-52
5415,12/06/2021 04:00:00,4.1,-52,-52
5416,12/06/2021 04:10:00,4.1,-52,-52
5417,12/06/2021 04:20:00,4.1,-52,-52
5418,12/06/2021 04:30:00,4.1,-52,-52
5419,12/06/2021 04:40:00,4.1,-52,-52
5420,12/06/2021 04:50:00,4.1,-52,-52
5421,12/06/2021 05:00:00,4.1,-52,-52
5422,12/06/2021 05:10:00,4.1,-52,-52
5423,12/06/2021 05:20:00,4.1,-52,-52
5424,12/06/2021 05:30:00,4.1,-52,-52
5425,12/06/2021 05:40:00,4.1,-52,-52
5426,12/06/2021 05:50:00,4.1,-52,-52
5427,12/06/2021 06:00:00,4.1,-52,-52
5428,12/06/2021 06:10:00,4.1,-52,-52
5429,12/06/2021 06:20:00,4.1,-52,-52
5430,12/06/2021 06:30:00,4.1,-52,-52
5431,12/06/2021 06:40:00,4.1,-52,-52
5432,12/06/2021 06:50:00,4.1,-52,-52
5433,12/06/2021 07:00:00,4.1,-52,-52
5434,12/06/2021 07:10:00,4.2,-52,-52
5435,12/06/2021 07:20:00,4.2,-52,-52
5436,12/06/2021 07:30:00,4.2,-52,-52
5437,12/06/2021 07:40:00,4.2,-52,-52
5438,12/06/2021 07:50:00,4.2,-52,-52
