sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
16873,24/08/2021 12:00:00,7.8,14.6,-45,-45
16874,24/08/2021 12:10:00,7.8,15.5,-45,-45
16875,24/08/2021 12:20:00,7.8,17.1,-45,-45
16876,24/08/2021 12:30:00,7.8,19.7,-46,-46
16877,24/08/2021 12:40:00,7.8,22.7,-46,-46
16878,24/08/2021 12:50:00,7.8,25.1,-46,-46
16879,24/08/2021 13:00:00,7.8,26.6,-46,-46
16880,24/08/2021 13:10:00,7.8,26.6,-46,-46
16881,24/08/2021 13:20:00,7.8,26.1,-46,-46
16882,24/08/2021 13:30:00,7.8,24.9,-46,-46
16883,24/08/2021 13:40:00,7.8,23.7,-46,-46
16884,24/08/2021 13:50:00,7.8,23.1,-46,-46
16885,24/08/2021 14:00:00,7.8,23.4,-46,-46
16886,24/08/2021 14:10:00,7.8,23.4,-46,-46
16887,24/08/2021 14:20:00,7.8,23.0,-46,-46
16888,24/08/2021 14:30:00,7.8,22.5,-46,-46
16889,24/08/2021 14:40:00,7.8,22.1,-46,-46
16890,24/08/2021 14:50:00,7.8,21.8,-46,-46
16891,24/08/2021 15:00:00,7.8,21.7,-46,-46
16892,24/08/2021 15:10:00,7.8,21.6,-46,-46
16893,24/08/2021 15:20:00,7.8,21.8,-46,-46
16894,24/08/2021 15:30:00,7.8,23.1,-46,-46
16895,24/08/2021 15:40:00,7.8,25.4,-46,-46
16896,24/08/2021 15:50:00,7.8,27.9,-46,-46
16897,24/08/2021 16:00:00,7.8,29.8,-46,-46
16898,24/08/2021 16:10:00,7.8,30.5,-46,-46
16899,24/08/2021 16:20:00,7.8,30.5,-46,-46
16900,24/08/2021 16:30:00,7.8,30.2,-46,-46
16901,24/08/2021 16:40:00,7.8,29.7,-46,-46
16902,24/08/2021 16:50:00,7.8,29.9,-46,-46
16903,24/08/2021 17:00:00,7.8,29.8,-46,-46
16904,24/08/2021 17:10:00,7.8,28.8,-46,-46
16905,24/08/2021 17:20:00,7.8,27.2,-46,-46
16906,24/08/2021 17:30:00,7.8,25.7,-46,-46
16907,24/08/2021 17:40:00,7.8,24.2,-46,-46
16908,24/08/2021 17:50:00,7.8,22.8,-46,-46
16909,24/08/2021 18:00:00,7.8,21.6,-46,-46
16910,24/08/2021 18:10:00,7.8,20.7,-46,-46
16911,24/08/2021 18:20:00,7.8,20.0,-46,-46
16912,24/08/2021 18:30:00,7.8,19.3,-46,-46
16913,24/08/2021 18:40:00,7.8,18.6,-46,-46
16914,24/08/2021 18:50:00,7.8,17.9,-46,-46
16915,24/08/2021 19:00:00,7.8,17.2,-46,-46
16916,24/08/2021 19:10:00,7.8,16.4,-46,-46
16917,24/08/2021 19:20:00,7.8,15.6,-45,-46
16918,24/08/2021 19:30:00,7.8,14.8,-45,-45
16919,24/08/2021 19:40:00,7.8,14.1,-46,-46
16920,24/08/2021 19:50:00,7.8,13.4,-45,-46
16921,24/08/2021 20:00:00,7.8,12.8,-45,-45
16922,24/08/2021 20:10:00,7.8,12.2,-45,-45
16923,24/08/2021 20:20:00,7.8,11.7,-45,-45
16924,24/08/2021 20:30:00,7.8,11.1,-46,-46
16925,24/08/2021 20:40:00,7.8,10.7,-45,-46
16926,24/08/2021 20:50:00,7.8,10.2,-45,-45
16927,24/08/2021 21:00:00,7.8,9.8,-45,-45
16928,24/08/2021 21:10:00,7.8,9.4,-45,-45
16929,24/08/2021 21:20:00,7.8,9.1,-45,-45
16930,24/08/2021 21:30:00,7.8,8.8,-45,-45
16931,24/08/2021 21:40:00,7.8,8.5,-45,-45
16932,24/08/2021 21:50:00,7.8,8.2,-45,-45
16933,24/08/2021 22:00:00,7.8,8.0,-45,-45
16934,24/08/2021 22:10:00,7.8,7.8,-45,-45
16935,24/08/2021 22:20:00,7.8,7.6,-45,-45
16936,24/08/2021 22:30:00,7.8,7.4,-45,-45
16937,24/08/2021 22:40:00,7.8,7.2,-45,-45
16938,24/08/2021 22:50:00,7.8,6.9,-45,-45
16939,24/08/2021 23:00:00,7.8,6.7,-45,-45
16940,24/08/2021 23:10:00,7.8,6.5,-45,-45
16941,24/08/2021 23:20:00,7.8,6.3,-45,-45
16942,24/08/2021 23:30:00,7.8,6.2,-45,-45
16943,24/08/2021 23:40:00,7.8,6.0,-45,-45
16944,24/08/2021 23:50:00,7.8,5.8,-45,-45
16945,25/08/2021 00:00:00,7.8,5.7,-45,-45
16946,25/08/2021 00:10:00,7.8,5.6,-45,-45
16947,25/08/2021 00:20:00,7.8,5.4,-45,-45
16948,25/08/2021 00:30:00,7.8,5.3,-45,-45
16949,25/08/2021 00:40:00,7.8,5.2,-45,-45
16950,25/08/2021 00:50:00,7.8,5.1,-45,-45
16951,25/08/2021 01:00:00,7.8,5.0,-45,-45
16952,25/08/2021 01:10:00,7.8,4.9,-45,-45
16953,25/08/2021 01:20:00,7.8,4.8,-45,-45
16954,25/08/2021 01:30:00,7.8,4.6,-45,-45
16955,25/08/2021 01:40:00,7.8,4.5,-45,-45
16956,25/08/2021 01:50:00,7.8,4.4,-45,-45
16957,25/08/2021 02:00:00,7.8,4.3,-45,-45
16958,25/08/2021 02:10:00,7.8,4.2,-45,-45
16959,25/08/2021 02:20:00,7.8,4.1,-45,-45
16960,25/08/2021 02:30:00,7.8,4.0,-45,-45
16961,25/08/2021 02:40:00,7.8,3.9,-45,-45
16962,25/08/2021 02:50:00,7.8,3.8,-45,-45
16963,25/08/2021 03:00:00,7.8,3.7,-45,-45
16964,25/08/2021 03:10:00,7.8,3.6,-45,-45
16965,25/08/2021 03:20:00,7.8,3.5,-45,-45
16966,25/08/2021 03:30:00,7.8,3.4,-46,-46
16967,25/08/2021 03:40:00,7.8,3.3,-46,-46
16968,25/08/2021 03:50:00,7.8,3.2,-45,-45
16969,25/08/2021 04:00:00,7.8,3.1,-45,-45
16970,25/08/2021 04:10:00,7.8,3.0,-45,-45
16971,25/08/2021 04:20:00,7.8,2.9,-45,-45
16972,25/08/2021 04:30:00,7.8,2.8,-45,-45
16973,25/08/2021 04:40:00,7.8,2.7,-45,-45
16974,25/08/2021 04:50:00,7.8,2.6,-45,-45
16975,25/08/2021 05:00:00,7.8,2.5,-45,-45
16976,25/08/2021 05:10:00,7.8,2.4,-45,-45
16977,25/08/2021 05:20:00,7.8,2.4,-45,-45
16978,25/08/2021 05:30:00,7.8,2.3,-45,-45
16979,25/08/2021 05:40:00,7.8,2.2,-45,-45
16980,25/08/2021 05:50:00,7.8,2.2,-45,-45
16981,25/08/2021 06:00:00,7.8,2.1,-45,-45
16982,25/08/2021 06:10:00,7.8,2.0,-45,-45
16983,25/08/2021 06:20:00,7.8,1.9,-45,-45
16984,25/08/2021 06:30:00,7.8,1.9,-45,-45
16985,25/08/2021 06:40:00,7.8,1.8,-45,-45
16986,25/08/2021 06:50:00,7.8,1.7,-45,-45
16987,25/08/2021 07:00:00,7.8,1.6,-46,-46
16988,25/08/2021 07:10:00,7.8,1.6,-46,-46
16989,25/08/2021 07:20:00,7.8,1.6,-46,-46
16990,25/08/2021 07:30:00,7.8,1.6,-45,-46
16991,25/08/2021 07:40:00,7.8,1.7,-45,-46
16992,25/08/2021 07:50:00,7.8,2.0,-46,-46
16993,25/08/2021 08:00:00,7.8,2.3,-46,-46
16994,25/08/2021 08:10:00,7.8,2.7,-46,-46
16995,25/08/2021 08:20:00,7.8,3.1,-46,-46
16996,25/08/2021 08:30:00,7.8,3.5,-46,-46
16997,25/08/2021 08:40:00,7.8,3.9,-46,-46
16998,25/08/2021 08:50:00,7.8,4.4,-46,-46
16999,25/08/2021 09:00:00,7.8,4.9,-46,-46
17000,25/08/2021 09:10:00,7.8,5.5,-46,-46
17001,25/08/2021 09:20:00,7.8,6.0,-46,-46
17002,25/08/2021 09:30:00,7.8,6.5,-46,-46
17003,25/08/2021 09:40:00,7.8,7.1,-46,-46
17004,25/08/2021 09:50:00,7.8,7.7,-46,-46
17005,25/08/2021 10:00:00,7.8,8.3,-46,-46
17006,25/08/2021 10:10:00,7.8,9.0,-46,-46
17007,25/08/2021 10:20:00,7.8,9.7,-46,-46
17008,25/08/2021 10:30:00,7.8,10.5,-46,-46
17009,25/08/2021 10:40:00,7.8,11.4,-46,-46
17010,25/08/2021 10:50:00,7.8,13.3,-46,-46
17011,25/08/2021 11:00:00,7.8,15.3,-46,-46
17012,25/08/2021 11:10:00,7.8,16.3,-46,-46
17013,25/08/2021 11:20:00,7.8,16.5,-47,-47
17014,25/08/2021 11:30:00,7.8,16.5,-47,-47
17015,25/08/2021 11:40:00,7.8,16.6,-46,-46
17016,25/08/2021 11:50:00,7.8,16.8,-47,-47
17017,25/08/2021 12:00:00,7.8,17.1,-47,-47
17018,25/08/2021 12:10:00,7.8,17.9,-47,-47
17019,25/08/2021 12:20:00,7.8,20.0,-47,-46
17020,25/08/2021 12:30:00,7.8,22.8,-47,-47
