sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
16873,24/08/2021 12:00:00,7.9,8.9,-2,-2
16874,24/08/2021 12:10:00,7.9,8.9,-2,-2
16875,24/08/2021 12:20:00,7.9,8.9,-2,-2
16876,24/08/2021 12:30:00,7.9,8.9,-2,-2
16877,24/08/2021 12:40:00,7.9,8.8,-2,-2
16878,24/08/2021 12:50:00,7.9,8.8,-2,-2
16879,24/08/2021 13:00:00,7.9,8.8,-2,-2
16880,24/08/2021 13:10:00,7.9,8.8,-2,-2
16881,24/08/2021 13:20:00,7.9,8.8,-2,-2
16882,24/08/2021 13:30:00,7.9,8.8,-2,-2
16883,24/08/2021 13:40:00,7.9,8.8,-2,-2
16884,24/08/2021 13:50:00,7.9,8.8,-2,-2
16885,24/08/2021 14:00:00,7.9,8.8,-2,-2
16886,24/08/2021 14:10:00,7.9,8.8,-2,-2
16887,24/08/2021 14:20:00,7.9,8.8,-2,-2
16888,24/08/2021 14:30:00,7.9,8.8,-2,-2
16889,24/08/2021 14:40:00,7.9,8.8,-2,-2
16890,24/08/2021 14:50:00,7.9,8.8,-2,-2
16891,24/08/2021 15:00:00,7.9,8.8,-2,-2
16892,24/08/2021 15:10:00,7.9,8.8,-2,-2
16893,24/08/2021 15:20:00,7.9,8.8,-2,-2
16894,24/08/2021 15:30:00,7.9,8.9,-2,-2
16895,24/08/2021 15:40:00,7.9,8.9,-2,-2
16896,24/08/2021 15:50:00,7.9,8.9,-2,-2
16897,24/08/2021 16:00:00,7.9,8.9,-2,-2
16898,24/08/2021 16:10:00,7.9,8.9,-2,-2
16899,24/08/2021 16:20:00,7.9,8.9,-2,-2
16900,24/08/2021 16:30:00,7.9,8.9,-2,-2
16901,24/08/2021 16:40:00,7.9,8.9,-2,-2
16902,24/08/2021 16:50:00,7.9,8.9,-2,-2
16903,24/08/2021 17:00:00,7.9,8.9,-2,-2
16904,24/08/2021 17:10:00,7.9,8.9,-2,-2
16905,24/08/2021 17:20:00,7.9,8.9,-2,-2
16906,24/08/2021 17:30:00,7.9,8.9,-2,-2
16907,24/08/2021 17:40:00,7.9,9.0,-2,-2
16908,24/08/2021 17:50:00,7.9,9.0,-2,-2
16909,24/08/2021 18:00:00,7.9,9.0,-2,-2
16910,24/08/2021 18:10:00,7.9,9.0,-2,-2
16911,24/08/2021 18:20:00,7.9,9.1,-2,-2
16912,24/08/2021 18:30:00,7.9,9.1,-2,-2
16913,24/08/2021 18:40:00,7.9,9.1,-2,-2
16914,24/08/2021 18:50:00,7.9,9.1,-2,-2
16915,24/08/2021 19:00:00,7.9,9.1,-2,-2
16916,24/08/2021 19:10:00,7.9,9.2,-2,-2
16917,24/08/2021 19:20:00,7.9,9.2,-2,-2
16918,24/08/2021 19:30:00,7.9,9.2,-2,-2
16919,24/08/2021 19:40:00,7.9,9.2,-2,-2
16920,24/08/2021 19:50:00,7.9,9.2,-2,-2
16921,24/08/2021 20:00:00,7.9,9.2,-2,-2
16922,24/08/2021 20:10:00,7.9,9.2,-2,-2
16923,24/08/2021 20:20:00,7.9,9.3,-2,-2
16924,24/08/2021 20:30:00,7.9,9.3,-2,-2
16925,24/08/2021 20:40:00,7.9,9.3,-2,-2
16926,24/08/2021 20:50:00,7.9,9.3,-2,-2
16927,24/08/2021 21:00:00,7.9,9.3,-2,-2
16928,24/08/2021 21:10:00,7.9,9.3,-2,-2
16929,24/08/2021 21:20:00,7.9,9.3,-2,-2
16930,24/08/2021 21:30:00,7.9,9.3,-2,-2
16931,24/08/2021 21:40:00,7.9,9.3,-2,-2
16932,24/08/2021 21:50:00,7.9,9.3,-2,-2
16933,24/08/2021 22:00:00,7.9,9.3,-2,-2
16934,24/08/2021 22:10:00,7.9,9.3,-2,-2
16935,24/08/2021 22:20:00,7.9,9.3,-2,-2
16936,24/08/2021 22:30:00,7.9,9.3,-2,-2
16937,24/08/2021 22:40:00,7.9,9.3,-2,-2
16938,24/08/2021 22:50:00,7.9,9.3,-2,-2
16939,24/08/2021 23:00:00,7.9,9.3,-2,-2
16940,24/08/2021 23:10:00,7.9,9.3,-2,-2
16941,24/08/2021 23:20:00,7.9,9.3,-2,-2
16942,24/08/2021 23:30:00,7.9,9.3,-2,-2
16943,24/08/2021 23:40:00,7.9,9.3,-2,-2
16944,24/08/2021 23:50:00,7.9,9.3,-2,-2
16945,25/08/2021 00:00:00,7.9,9.3,-2,-2
16946,25/08/2021 00:10:00,7.9,9.3,-2,-2
16947,25/08/2021 00:20:00,7.9,9.3,-2,-2
16948,25/08/2021 00:30:00,7.9,9.3,-2,-2
16949,25/08/2021 00:40:00,7.9,9.3,-2,-2
16950,25/08/2021 00:50:00,7.9,9.3,-2,-2
16951,25/08/2021 01:00:00,7.9,9.3,-2,-2
16952,25/08/2021 01:10:00,7.9,9.3,-2,-2
16953,25/08/2021 01:20:00,7.9,9.3,-2,-2
16954,25/08/2021 01:30:00,7.9,9.3,-2,-2
16955,25/08/2021 01:40:00,7.9,9.3,-2,-2
16956,25/08/2021 01:50:00,7.9,9.3,-2,-2
16957,25/08/2021 02:00:00,7.9,9.3,-2,-2
16958,25/08/2021 02:10:00,7.9,9.3,-2,-2
16959,25/08/2021 02:20:00,7.9,9.3,-2,-2
16960,25/08/2021 02:30:00,7.9,9.3,-2,-2
16961,25/08/2021 02:40:00,7.9,9.3,-2,-2
16962,25/08/2021 02:50:00,7.9,9.3,-2,-2
16963,25/08/2021 03:00:00,7.9,9.3,-2,-2
16964,25/08/2021 03:10:00,7.9,9.3,-2,-2
16965,25/08/2021 03:20:00,7.9,9.3,-2,-2
16966,25/08/2021 03:30:00,7.9,9.3,-2,-2
16967,25/08/2021 03:40:00,7.9,9.3,-2,-2
16968,25/08/2021 03:50:00,7.9,9.3,-2,-2
16969,25/08/2021 04:00:00,7.9,9.3,-2,-2
16970,25/08/2021 04:10:00,7.9,9.3,-2,-2
16971,25/08/2021 04:20:00,7.9,9.3,-2,-2
16972,25/08/2021 04:30:00,7.9,9.3,-2,-2
16973,25/08/2021 04:40:00,7.9,9.3,-2,-2
16974,25/08/2021 04:50:00,7.9,9.3,-2,-2
16975,25/08/2021 05:00:00,7.9,9.3,-2,-2
16976,25/08/2021 05:10:00,7.9,9.3,-2,-2
16977,25/08/2021 05:20:00,7.9,9.3,-2,-2
16978,25/08/2021 05:30:00,7.9,9.3,-2,-2
16979,25/08/2021 05:40:00,7.9,9.3,-2,-2
16980,25/08/2021 05:50:00,7.9,9.3,-2,-2
16981,25/08/2021 06:00:00,7.9,9.2,-2,-2
16982,25/08/2021 06:10:00,7.9,9.2,-2,-2
16983,25/08/2021 06:20:00,7.9,9.2,-2,-2
16984,25/08/2021 06:30:00,7.9,9.2,-2,-2
16985,25/08/2021 06:40:00,7.9,9.2,-2,-2
16986,25/08/2021 06:50:00,7.9,9.2,-2,-2
16987,25/08/2021 07:00:00,7.9,9.2,-2,-2
16988,25/08/2021 07:10:00,7.9,9.2,-2,-2
