Plot Title: 10778331,,,,
ID,datetime,low_range_uScm,full_range_uScm,temp_C
1,7/2/20 12:10,7.1,6.7,7.8
2,7/2/20 12:10,,,
3,7/2/20 12:13,28,24.7,6.27
4,7/2/20 12:16,24.2,21.2,6.15
5,7/2/20 12:19,23.7,20.8,6.12
6,7/2/20 12:22,23.6,20.8,6.1
7,7/2/20 12:25,23.6,21.2,6.11
8,7/2/20 12:28,23.5,20.8,6.12
9,7/2/20 12:31,23.4,20.8,6.12
10,7/2/20 12:34,23.4,20.8,6.12
11,7/2/20 12:37,23.4,20.8,6.13
12,7/2/20 12:40,23.3,20.8,6.15
13,7/2/20 12:43,23.3,20.8,6.13
14,7/2/20 12:46,23.2,20.8,6.15
15,7/2/20 12:49,23.2,20.8,6.15
16,7/2/20 12:52,23.2,20.8,6.15
17,7/2/20 12:55,23.2,20.8,6.16
18,7/2/20 12:58,23.1,20.5,6.16
19,7/2/20 13:01,23.1,20.5,6.17
20,7/2/20 13:04,23.1,20.8,6.17
21,7/2/20 13:07,23.1,20.5,6.17
22,7/2/20 13:10,23.1,20.5,6.16
23,7/2/20 13:13,23.1,20.5,6.19
24,7/2/20 13:16,23.1,20.5,6.19
25,7/2/20 13:19,23.1,20.8,6.19
26,7/2/20 13:22,23,20.5,6.19
27,7/2/20 13:25,23,20.5,6.2
28,7/2/20 13:28,23.1,20.5,6.2
29,7/2/20 13:31,23.1,20.5,6.2
30,7/2/20 13:34,23.1,20.5,6.2
31,7/2/20 13:37,23,20.5,6.2
32,7/2/20 13:40,23,20.5,6.21
33,7/2/20 13:43,23,20.5,6.21
34,7/2/20 13:46,23,20.8,6.21
35,7/2/20 13:49,23,20.5,6.23
36,7/2/20 13:52,23,20.5,6.23
37,7/2/20 13:55,23,20.5,6.24
38,7/2/20 13:58,22.9,20.5,6.24
39,7/2/20 14:01,23,20.5,6.24
40,7/2/20 14:04,23.1,20.5,6.25
41,7/2/20 14:07,22.9,20.5,6.27
42,7/2/20 14:10,23,20.5,6.25
43,7/2/20 14:13,23,20.5,6.27
44,7/2/20 14:16,23,20.5,6.28
45,7/2/20 14:19,23,20.8,6.28
46,7/2/20 14:22,23,20.5,6.28
47,7/2/20 14:25,23,20.5,6.28
48,7/2/20 14:28,23,20.5,6.29
49,7/2/20 14:31,23,20.5,6.31
50,7/2/20 14:34,23,20.8,6.31
51,7/2/20 14:37,23,20.5,6.31
52,7/2/20 14:40,23,20.5,6.31
53,7/2/20 14:43,23,20.5,6.33
54,7/2/20 14:46,23,20.5,6.32
55,7/2/20 14:49,23,20.5,6.33
56,7/2/20 14:52,23,20.5,6.33
57,7/2/20 14:55,23,20.5,6.34
58,7/2/20 14:58,23,20.5,6.34
59,7/2/20 15:01,23,20.5,6.36
60,7/2/20 15:04,23,20.8,6.37
61,7/2/20 15:07,23,20.5,6.37
62,7/2/20 15:10,23,20.5,6.37
63,7/2/20 15:13,23.1,20.8,6.38
64,7/2/20 15:16,23.1,20.5,6.38
65,7/2/20 15:19,23.1,20.8,6.4
66,7/2/20 15:22,23.1,20.8,6.4
67,7/2/20 15:25,23.1,20.8,6.41
68,7/2/20 15:28,23.1,20.5,6.41
69,7/2/20 15:31,23.1,20.5,6.41
70,7/2/20 15:34,23.1,20.5,6.42
71,7/2/20 15:37,23.1,20.5,6.42
72,7/2/20 15:40,23.1,20.5,6.44
73,7/2/20 15:43,23.1,20.4,6.45
74,7/2/20 15:46,23.1,20.4,6.46
75,7/2/20 15:49,23.1,20.8,6.45
76,7/2/20 15:52,23.1,20.8,6.46
77,7/2/20 15:55,23.1,20.4,6.46
78,7/2/20 15:58,23.1,20.4,6.46
79,7/2/20 16:01,23.1,20.4,6.48
80,7/2/20 16:04,23.1,20.4,6.48
81,7/2/20 16:07,23.1,20.4,6.49
82,7/2/20 16:10,23.1,20.4,6.49
83,7/2/20 16:13,23.2,20.8,6.49
84,7/2/20 16:16,23.2,20.4,6.49
85,7/2/20 16:19,23.2,20.4,6.5
86,7/2/20 16:22,23.2,20.4,6.5
87,7/2/20 16:25,23.2,20.4,6.52
88,7/2/20 16:28,23.1,20.8,6.52
89,7/2/20 16:31,23.1,20.8,6.52
90,7/2/20 16:34,23.2,20.4,6.53
91,7/2/20 16:37,23.1,20.4,6.52
92,7/2/20 16:40,23.1,20.4,6.53
93,7/2/20 16:43,23.2,20.4,6.53
94,7/2/20 16:46,23.2,20.4,6.54
95,7/2/20 16:49,23.2,20.4,6.54
96,7/2/20 16:52,23.1,20.4,6.54
97,7/2/20 16:55,23.2,20.8,6.54
98,7/2/20 16:58,23.2,20.4,6.55
99,7/2/20 17:01,23.2,20.4,6.55
100,7/2/20 17:04,23.2,20.4,6.55
101,7/2/20 17:07,23.2,20.4,6.55
102,7/2/20 17:10,23.2,20.8,6.55
103,7/2/20 17:13,23.2,20.8,6.57
104,7/2/20 17:16,23.2,20.8,6.55
105,7/2/20 17:19,23.2,20.4,6.57
106,7/2/20 17:22,23.2,20.4,6.57
107,7/2/20 17:25,23.2,20.8,6.58
108,7/2/20 17:28,23.2,20.8,6.58
109,7/2/20 17:31,23.2,20.4,6.58
110,7/2/20 17:34,23.2,20.8,6.58
111,7/2/20 17:37,23.2,20.8,6.58
112,7/2/20 17:40,23.2,20.4,6.59
113,7/2/20 17:43,23.2,20.4,6.59
114,7/2/20 17:46,23.2,20.4,6.59
115,7/2/20 17:49,23.2,20.8,6.61
116,7/2/20 17:52,23.2,20.8,6.61
117,7/2/20 17:55,23.2,20.8,6.59
118,7/2/20 17:58,23.2,20.8,6.61
