Plot Title: 10778334,,,,
ID,datetime,low_range_uScm,full_range_uScm,temp_C
1,6/4/20 9:16,2.3,5.6,17.21
2,6/4/20 9:16,,,
3,6/4/20 9:19,2.3,5.6,17
4,6/4/20 9:22,2.3,5.6,16.61
5,6/4/20 9:25,2.3,5.6,16.15
6,6/4/20 9:28,2.5,1.9,15.96
7,6/4/20 9:31,2.3,5.6,15.84
8,6/4/20 9:34,2.3,5.6,15.77
9,6/4/20 9:37,2.3,5.6,15.76
10,6/4/20 9:40,2.3,3,15.76
11,6/4/20 9:43,2.3,1.9,15.79
12,6/4/20 9:46,2.5,5.6,15.84
13,6/4/20 9:49,2.3,5.6,15.89
14,6/4/20 9:52,2.5,5.6,15.96
15,6/4/20 9:55,2.3,1.9,16.05
16,6/4/20 9:58,2.3,5.6,16.12
17,6/4/20 10:01,2.3,1.9,16.2
18,6/4/20 10:04,2.3,3,16.28
19,6/4/20 10:07,2.3,5.6,16.36
20,6/4/20 10:10,1.8,5.6,16.45
21,6/4/20 10:13,2.5,5.6,16.54
22,6/4/20 10:16,2.3,1.9,16.64
23,6/4/20 10:19,2.3,5.6,16.74
24,6/4/20 10:22,2.3,5.6,16.85
25,6/4/20 10:25,2.3,5.6,16.97
26,6/4/20 10:28,2.5,3,17.1
27,6/4/20 10:31,2.5,5.6,17.23
28,6/4/20 10:34,2.3,1.9,17.47
29,6/4/20 10:37,2.3,5.6,19.14
30,6/4/20 10:40,2.3,3,20.58
31,6/4/20 10:43,2.3,2.9,27.36
32,6/4/20 10:46,34.8,31.4,12.17
33,6/4/20 10:49,21.8,18.3,3.59
34,6/4/20 10:52,21.4,18.3,3.05
35,6/4/20 10:55,21.2,18.3,2.92
36,6/4/20 10:58,21.1,17.6,2.88
37,6/4/20 11:01,21.1,18,2.84
38,6/4/20 11:04,21.1,18,2.86
39,6/4/20 11:07,21.1,18.3,2.88
40,6/4/20 11:10,21.1,18,2.92
41,6/4/20 11:13,21.1,18,2.92
42,6/4/20 11:16,21.1,18,2.95
43,6/4/20 11:19,21.1,18.3,2.95
44,6/4/20 11:22,21.1,18,2.96
45,6/4/20 11:25,21.1,18,2.95
46,6/4/20 11:28,21.1,18,2.93
47,6/4/20 11:31,21.1,18,2.92
48,6/4/20 11:34,21.1,18,2.92
49,6/4/20 11:37,21.1,18,2.93
50,6/4/20 11:40,21.1,18,2.97
51,6/4/20 11:43,21.1,18,2.99
52,6/4/20 11:46,21.1,18,3
53,6/4/20 11:49,21.2,18,3
54,6/4/20 11:52,21.1,18,2.99
55,6/4/20 11:55,21.2,18,3.01
56,6/4/20 11:58,21.1,18.3,3
57,6/4/20 12:01,21.2,18,3.02
58,6/4/20 12:04,21.2,18,3.02
