Plot Title: 10778333,,,,
ID,datetime,low_range_uScm,full_range_uScm,temp_C
1,6/29/21 10:00,33.9,29.5,14.08
2,6/29/21 10:05,33.4,29.1,14.06
3,6/29/21 10:10,32.4,28.3,14.05
4,6/29/21 10:15,32.4,27.9,14.05
5,6/29/21 10:20,32.2,27.9,14.06
6,6/29/21 10:25,32.4,28.3,14.08
7,6/29/21 10:30,32.2,27.9,14.1
8,6/29/21 10:35,32.1,27.9,14.13
9,6/29/21 10:40,32.1,27.9,14.15
10,6/29/21 10:45,32,27.9,14.18
11,6/29/21 10:50,32,27.6,14.22
12,6/29/21 10:55,32,27.9,14.25
13,6/29/21 11:00,32,27.9,14.3
14,6/29/21 11:05,32,27.6,14.34
15,6/29/21 11:10,31.9,27.9,14.39
16,6/29/21 11:15,31.9,27.6,14.44
17,6/29/21 11:20,31.9,27.9,14.47
18,6/29/21 11:25,31.9,27.9,14.53
19,6/29/21 11:30,31.9,27.6,14.56
20,6/29/21 11:35,31.9,27.6,14.61
21,6/29/21 11:40,31.8,27.6,14.66
22,6/29/21 11:45,31.8,27.6,14.67
23,6/29/21 11:50,31.9,27.5,14.71
24,6/29/21 11:55,31.9,27.9,14.74
25,6/29/21 12:00,31.8,27.5,14.77
26,6/29/21 12:05,31.8,27.5,14.79
27,6/29/21 12:10,31.8,27.5,14.82
28,6/29/21 12:15,31.8,27.5,14.86
29,6/29/21 12:20,31.8,27.5,14.88
30,6/29/21 12:25,31.8,27.5,14.91
31,6/29/21 12:30,31.8,27.5,14.92
32,6/29/21 12:35,31.8,27.9,14.96
33,6/29/21 12:40,31.8,27.5,14.97
34,6/29/21 12:45,31.8,27.5,15
35,6/29/21 12:50,31.8,27.5,15.01
36,6/29/21 12:55,31.8,27.5,15.04
37,6/29/21 13:00,31.8,27.5,15.05
38,6/29/21 13:05,31.8,27.5,15.06
39,6/29/21 13:10,31.9,27.9,15.08
40,6/29/21 13:15,31.8,27.5,15.1
41,6/29/21 13:20,31.8,27.5,15.12
42,6/29/21 13:25,31.8,27.5,15.14
43,6/29/21 13:30,31.8,27.5,15.17
44,6/29/21 13:35,31.8,27.5,15.18
45,6/29/21 13:40,31.8,27.5,15.18
46,6/29/21 13:45,31.8,27.5,15.19
47,6/29/21 13:50,31.8,27.5,15.21
48,6/29/21 13:55,31.8,27.5,15.23
49,6/29/21 14:00,31.9,27.5,15.27
50,6/29/21 14:05,31.9,27.5,15.28
51,6/29/21 14:10,31.9,27.5,15.3
52,6/29/21 14:15,32,27.5,15.31
53,6/29/21 14:20,31.9,27.5,15.32
54,6/29/21 14:25,32,27.9,15.35
55,6/29/21 14:30,31.9,27.9,15.36
56,6/29/21 14:35,32,27.5,15.38
57,6/29/21 14:40,31.9,27.5,15.39
58,6/29/21 14:45,31.9,27.5,15.4
59,6/29/21 14:50,32,27.5,15.4
60,6/29/21 14:55,32,27.9,15.41
61,6/29/21 15:00,32,27.9,15.43
62,6/29/21 15:05,32,27.5,15.44
63,6/29/21 15:10,31.9,27.9,15.44
64,6/29/21 15:15,31.9,27.9,15.45
65,6/29/21 15:20,32,27.9,15.47
66,6/29/21 15:25,32,27.9,15.48
67,6/29/21 15:30,31.9,27.5,15.49
68,6/29/21 15:35,32,27.5,15.49
69,6/29/21 15:40,32,27.9,15.49
70,6/29/21 15:45,32,27.9,15.51
71,6/29/21 15:50,32,27.9,15.52
72,6/29/21 15:55,32,27.9,15.52
73,6/29/21 16:00,32,27.9,15.52
74,6/29/21 16:05,32,27.5,15.53
75,6/29/21 16:10,32,27.9,15.53
76,6/29/21 16:15,32,27.9,15.54
77,6/29/21 16:20,32,27.9,15.54
78,6/29/21 16:25,32,27.9,15.53
79,6/29/21 16:30,32,27.9,15.56
80,6/29/21 16:35,32,27.9,15.54
81,6/29/21 16:40,32,27.5,15.54
82,6/29/21 16:45,32,27.9,15.56
83,6/29/21 16:50,32,27.9,15.56
84,6/29/21 16:55,32,27.9,15.57
85,6/29/21 17:00,32,27.9,15.57
86,6/29/21 17:05,32,27.5,15.58
87,6/29/21 17:10,32.1,27.9,15.58
88,6/29/21 17:15,32,27.9,15.6
89,6/29/21 17:20,32.1,27.9,15.61
90,6/29/21 17:25,32.1,27.9,15.61
91,6/29/21 17:30,32.1,27.9,15.61
92,6/29/21 17:35,32.1,27.9,15.62
93,6/29/21 17:40,32.1,27.9,15.64
94,6/29/21 17:45,32.1,27.9,15.65
95,6/29/21 17:50,32.1,27.9,15.65
96,6/29/21 17:55,32.1,27.9,15.66
97,6/29/21 18:00,32.2,27.9,15.69
98,6/29/21 18:05,32.2,27.9,15.69
99,6/29/21 18:10,32.1,27.9,15.69
100,6/29/21 18:15,32.2,27.9,15.7
101,6/29/21 18:20,32.2,27.9,15.73
102,6/29/21 18:25,32.2,27.9,15.73
103,6/29/21 18:30,32.2,27.9,15.74
104,6/29/21 18:35,32.2,27.9,15.75
105,6/29/21 18:40,32.2,28.3,15.77
106,6/29/21 18:45,32.2,28.3,15.78
107,6/29/21 18:50,32.2,27.9,15.8
108,6/29/21 18:55,32.2,27.9,15.8
109,6/29/21 19:00,32.4,27.9,15.82
110,6/29/21 19:05,32.4,27.9,15.82
111,6/29/21 19:10,32.4,27.9,15.83
112,6/29/21 19:15,32.4,27.9,15.84
113,6/29/21 19:20,32.4,27.9,15.86
114,6/29/21 19:25,32.4,28.3,15.87
115,6/29/21 19:30,32.4,28.3,15.88
116,6/29/21 19:35,32.4,27.9,15.9
117,6/29/21 19:40,32.4,28.3,15.88
118,6/29/21 19:45,32.4,28.3,15.91
119,6/29/21 19:50,32.4,28.3,15.92
120,6/29/21 19:55,32.4,28.3,15.93
121,6/29/21 20:00,32.4,28.3,15.96
122,6/29/21 20:05,32.4,27.9,15.96
123,6/29/21 20:10,32.4,28.3,15.97
124,6/29/21 20:15,32.4,28.3,15.96
125,6/29/21 20:20,32.5,28.3,15.99
126,6/29/21 20:25,32.5,28.3,16
127,6/29/21 20:30,32.5,28.3,16
128,6/29/21 20:35,32.5,28.3,16
129,6/29/21 20:40,32.5,28.3,16.01
130,6/29/21 20:45,32.5,27.9,16.03
131,6/29/21 20:50,32.6,28.3,16.03
132,6/29/21 20:55,32.6,28.3,16.03
133,6/29/21 21:00,32.6,28.3,16.04
134,6/29/21 21:05,32.6,28.3,16.04
135,6/29/21 21:10,32.6,28.3,16.05
136,6/29/21 21:15,32.6,28.3,16.06
137,6/29/21 21:20,32.6,28.3,16.05
138,6/29/21 21:25,32.6,28.3,16.06
139,6/29/21 21:30,32.6,28.3,16.06
140,6/29/21 21:35,32.5,28.3,16.06
141,6/29/21 21:40,32.6,28.3,16.06
142,6/29/21 21:45,32.5,28.3,16.04
143,6/29/21 21:50,32.5,28.3,16.03
144,6/29/21 21:55,32.5,28.3,16.03
145,6/29/21 22:00,32.6,28.3,16.01
146,6/29/21 22:05,32.5,28.3,15.99
147,6/29/21 22:10,32.5,28.3,15.99
148,6/29/21 22:15,32.6,28.3,15.96
149,6/29/21 22:20,32.4,28.3,15.95
150,6/29/21 22:25,32.5,28.3,15.93
151,6/29/21 22:30,32.4,28.3,15.92
152,6/29/21 22:35,32.4,28.3,15.92
153,6/29/21 22:40,32.4,28.3,15.91
154,6/29/21 22:45,32.4,28.3,15.91
155,6/29/21 22:50,32.5,28.3,15.88
156,6/29/21 22:55,32.4,28.3,15.88
157,6/29/21 23:00,32.4,28.3,15.87
158,6/29/21 23:05,32.4,28.3,15.86
159,6/29/21 23:10,32.4,28.3,15.84
160,6/29/21 23:15,32.4,28.3,15.83
161,6/29/21 23:20,32.4,28.3,15.83
162,6/29/21 23:25,32.4,28.3,15.83
163,6/29/21 23:30,32.4,28.3,15.8
164,6/29/21 23:35,32.4,28.3,15.82
165,6/29/21 23:40,32.4,28.3,15.82
166,6/29/21 23:45,32.5,28.3,15.8
167,6/29/21 23:50,32.4,28.3,15.78
168,6/29/21 23:55,32.4,27.9,15.78
169,6/30/21 0:00,32.4,28.3,15.78
170,6/30/21 0:05,32.4,28.3,15.75
171,6/30/21 0:10,32.5,28.3,15.73
172,6/30/21 0:15,32.4,28.3,15.71
173,6/30/21 0:20,32.4,27.9,15.7
174,6/30/21 0:25,32.3,28.3,15.67
175,6/30/21 0:30,32.2,27.9,15.65
176,6/30/21 0:35,32.2,27.9,15.58
177,6/30/21 0:40,32.2,27.9,15.56
178,6/30/21 0:45,32.2,27.9,15.53
179,6/30/21 0:50,32.2,27.9,15.52
180,6/30/21 0:55,32.2,27.9,15.49
181,6/30/21 1:00,32.2,27.9,15.47
182,6/30/21 1:05,32.2,27.9,15.47
183,6/30/21 1:10,32.2,27.9,15.45
184,6/30/21 1:15,32.2,27.9,15.45
185,6/30/21 1:20,32.2,27.9,15.45
186,6/30/21 1:25,32.2,27.9,15.44
187,6/30/21 1:30,32.2,27.9,15.44
188,6/30/21 1:35,32.2,27.9,15.44
189,6/30/21 1:40,32.2,27.9,15.43
190,6/30/21 1:45,32.2,27.9,15.43
191,6/30/21 1:50,32.2,27.9,15.4
192,6/30/21 1:55,32.2,27.9,15.4
193,6/30/21 2:00,32.2,27.9,15.39
194,6/30/21 2:05,32.2,27.9,15.38
195,6/30/21 2:10,32.1,27.9,15.38
196,6/30/21 2:15,32.1,27.9,15.35
197,6/30/21 2:20,32.1,27.9,15.35
198,6/30/21 2:25,32.2,27.9,15.32
199,6/30/21 2:30,32.1,27.9,15.31
200,6/30/21 2:35,32,27.9,15.3
201,6/30/21 2:40,32,27.9,15.3
202,6/30/21 2:45,32,27.9,15.28
203,6/30/21 2:50,32,27.5,15.27
204,6/30/21 2:55,32.1,27.9,15.27
205,6/30/21 3:00,32,27.9,15.26
206,6/30/21 3:05,32.1,27.9,15.25
207,6/30/21 3:10,32,27.9,15.23
208,6/30/21 3:15,32,27.9,15.22
209,6/30/21 3:20,32,27.5,15.21
210,6/30/21 3:25,32,27.9,15.21
211,6/30/21 3:30,32,27.9,15.21
212,6/30/21 3:35,32,27.9,15.19
213,6/30/21 3:40,32,27.9,15.18
214,6/30/21 3:45,32,27.5,15.16
215,6/30/21 3:50,32,27.5,15.16
216,6/30/21 3:55,32,27.9,15.14
217,6/30/21 4:00,31.9,27.9,15.13
218,6/30/21 4:05,32,27.5,15.13
219,6/30/21 4:10,32,27.5,15.12
220,6/30/21 4:15,32,27.5,15.12
221,6/30/21 4:20,32,27.5,15.1
222,6/30/21 4:25,31.9,27.5,15.09
223,6/30/21 4:30,31.9,27.5,15.06
224,6/30/21 4:35,31.9,27.5,15.04
225,6/30/21 4:40,31.9,27.9,15.01
226,6/30/21 4:45,31.9,27.9,15
227,6/30/21 4:50,31.9,27.9,14.99
228,6/30/21 4:55,31.8,27.5,14.97
229,6/30/21 5:00,31.8,27.5,14.96
230,6/30/21 5:05,31.8,27.5,14.93
231,6/30/21 5:10,31.8,27.5,14.92
232,6/30/21 5:15,31.8,27.5,14.91
233,6/30/21 5:20,31.8,27.5,14.88
234,6/30/21 5:25,31.8,27.5,14.86
235,6/30/21 5:30,31.8,27.5,14.84
236,6/30/21 5:35,31.8,27.5,14.82
237,6/30/21 5:40,31.8,27.5,14.8
238,6/30/21 5:45,31.8,27.5,14.79
239,6/30/21 5:50,31.8,27.5,14.78
240,6/30/21 5:55,31.8,27.5,14.77
241,6/30/21 6:00,31.8,27.5,14.75
242,6/30/21 6:05,31.7,27.5,14.73
243,6/30/21 6:10,31.7,27.5,14.71
244,6/30/21 6:15,31.7,27.6,14.7
245,6/30/21 6:20,31.7,27.6,14.69
246,6/30/21 6:25,31.7,27.6,14.67
247,6/30/21 6:30,31.7,27.2,14.66
248,6/30/21 6:35,31.7,27.6,14.65
249,6/30/21 6:40,31.5,27.6,14.62
250,6/30/21 6:45,31.6,27.6,14.62
251,6/30/21 6:50,31.6,27.2,14.61
252,6/30/21 6:55,31.5,27.2,14.58
253,6/30/21 7:00,31.5,27.6,14.57
254,6/30/21 7:05,31.6,27.6,14.56
255,6/30/21 7:10,31.5,27.2,14.57
256,6/30/21 7:15,31.5,27.2,14.54
257,6/30/21 7:20,31.6,27.6,14.54
258,6/30/21 7:25,31.5,27.2,14.53
259,6/30/21 7:30,31.5,27.6,14.53
260,6/30/21 7:35,31.5,27.2,14.53
261,6/30/21 7:40,31.6,27.2,14.52
262,6/30/21 7:45,31.6,27.2,14.51
263,6/30/21 7:50,31.6,27.2,14.51
264,6/30/21 7:55,31.6,27.2,14.51
265,6/30/21 8:00,31.6,27.6,14.52
266,6/30/21 8:05,31.6,27.6,14.52
267,6/30/21 8:10,31.5,27.6,14.52
268,6/30/21 8:15,31.6,27.2,14.52
269,6/30/21 8:20,31.6,27.2,14.52
270,6/30/21 8:25,31.5,27.6,14.53
271,6/30/21 8:30,31.5,27.6,14.53
272,6/30/21 8:35,31.5,27.6,14.54
273,6/30/21 8:40,31.5,27.6,14.56
274,6/30/21 8:45,31.7,27.6,14.57
275,6/30/21 8:50,31.6,27.6,14.58
276,6/30/21 8:55,31.7,27.6,14.6
277,6/30/21 9:00,31.7,27.6,14.62
278,6/30/21 9:05,31.7,27.6,14.62
279,6/30/21 9:10,31.8,27.6,14.65
280,6/30/21 9:15,31.8,27.6,14.67
281,6/30/21 9:20,31.8,27.6,14.67
282,6/30/21 9:25,31.8,27.6,14.7
283,6/30/21 9:30,31.8,27.5,14.73
284,6/30/21 9:35,31.8,27.5,14.77
285,6/30/21 9:40,31.8,27.5,14.78
286,6/30/21 9:45,31.8,27.5,14.8
287,6/30/21 9:50,31.8,27.5,14.83
288,6/30/21 9:55,31.9,27.5,14.84
289,6/30/21 10:00,31.8,27.5,14.87
290,6/30/21 10:05,31.9,27.5,14.88
291,6/30/21 10:10,31.9,27.5,14.91
292,6/30/21 10:15,32,27.9,14.93
293,6/30/21 10:20,32,27.5,14.97
294,6/30/21 10:25,32,27.9,14.99
295,6/30/21 10:30,32,27.9,15.01
296,6/30/21 10:35,32,27.9,15.04
297,6/30/21 10:40,32,27.9,15.06
298,6/30/21 10:45,32.1,27.9,15.12
299,6/30/21 10:50,32.1,27.9,15.16
300,6/30/21 10:55,32,27.9,15.17
301,6/30/21 11:00,32.1,27.9,15.21
302,6/30/21 11:05,32.2,27.9,15.26
303,6/30/21 11:10,32.2,27.9,15.28
304,6/30/21 11:15,32.2,28.3,15.3
305,6/30/21 11:20,32.2,28.3,15.34
306,6/30/21 11:25,32.2,28.3,15.38
307,6/30/21 11:30,32.3,27.9,15.41
308,6/30/21 11:35,32.3,27.9,15.43
309,6/30/21 11:40,32.3,27.9,15.47
310,6/30/21 11:45,32.4,28.3,15.49
311,6/30/21 11:50,32.4,28.3,15.52
312,6/30/21 11:55,32.4,28.3,15.54
313,6/30/21 12:00,32.5,27.9,15.57
314,6/30/21 12:05,32.5,28.3,15.6
315,6/30/21 12:10,32.5,28.3,15.61
316,6/30/21 12:15,32.5,28.3,15.65
317,6/30/21 12:20,32.5,28.3,15.67
318,6/30/21 12:25,32.5,28.3,15.71
319,6/30/21 12:30,32.6,28.3,15.75
320,6/30/21 12:35,32.6,28.3,15.77
321,6/30/21 12:40,32.6,28.3,15.78
322,6/30/21 12:45,32.6,28.7,15.82
323,6/30/21 12:50,32.7,28.3,15.84
324,6/30/21 12:55,32.7,28.3,15.86
325,6/30/21 13:00,32.7,28.3,15.88
326,6/30/21 13:05,32.7,28.7,15.91
327,6/30/21 13:10,32.7,28.3,15.93
328,6/30/21 13:15,32.7,28.3,15.95
329,6/30/21 13:20,32.7,28.7,15.96
330,6/30/21 13:25,32.7,28.7,16
331,6/30/21 13:30,32.8,28.7,16.01
332,6/30/21 13:35,32.9,28.7,16.04
333,6/30/21 13:40,32.8,28.7,16.05
334,6/30/21 13:45,32.9,28.7,16.08
335,6/30/21 13:50,32.9,28.6,16.09
336,6/30/21 13:55,32.9,28.6,16.12
337,6/30/21 14:00,32.9,28.6,16.13
338,6/30/21 14:05,32.9,28.6,16.14
339,6/30/21 14:10,32.9,28.6,16.16
340,6/30/21 14:15,32.9,28.6,16.19
341,6/30/21 14:20,32.9,28.6,16.19
342,6/30/21 14:25,32.9,28.6,16.22
343,6/30/21 14:30,33,28.6,16.26
344,6/30/21 14:35,33,28.6,16.27
345,6/30/21 14:40,33,28.6,16.3
346,6/30/21 14:45,33,29,16.31
347,6/30/21 14:50,33,28.6,16.34
348,6/30/21 14:55,33.1,28.6,16.36
349,6/30/21 15:00,33,29,16.38
350,6/30/21 15:05,33.1,28.6,16.39
351,6/30/21 15:10,33.1,28.6,16.4
352,6/30/21 15:15,33.1,29,16.42
353,6/30/21 15:20,33.1,29,16.44
354,6/30/21 15:25,33.1,29,16.42
355,6/30/21 15:30,33.1,28.6,16.44
356,6/30/21 15:35,33.1,29,16.45
357,6/30/21 15:40,33.1,29,16.45
358,6/30/21 15:45,33.1,29,16.45
359,6/30/21 15:50,33.2,29,16.47
360,6/30/21 15:55,33.1,29,16.47
361,6/30/21 16:00,33.1,29,16.48
362,6/30/21 16:05,33.1,29,16.48
363,6/30/21 16:10,33.2,29,16.49
364,6/30/21 16:15,33.1,29,16.48
365,6/30/21 16:20,33.2,28.6,16.49
366,6/30/21 16:25,33.2,29,16.51
367,6/30/21 16:30,33.3,29,16.52
368,6/30/21 16:35,33.2,29,16.52
369,6/30/21 16:40,33.3,29,16.53
370,6/30/21 16:45,33.3,29,16.53
371,6/30/21 16:50,33.3,29,16.55
372,6/30/21 16:55,33.3,29,16.55
373,6/30/21 17:00,33.3,29,16.57
374,6/30/21 17:05,33.3,29,16.57
375,6/30/21 17:10,33.4,29,16.57
376,6/30/21 17:15,33.4,29,16.6
377,6/30/21 17:20,33.4,29,16.6
378,6/30/21 17:25,33.4,29,16.61
379,6/30/21 17:30,33.4,29,16.62
380,6/30/21 17:35,33.4,29,16.62
381,6/30/21 17:40,33.4,29,16.62
382,6/30/21 17:45,33.4,29,16.62
383,6/30/21 17:50,33.4,29,16.65
384,6/30/21 17:55,33.4,29.4,16.66
385,6/30/21 18:00,33.4,29,16.66
386,6/30/21 18:05,33.4,29.4,16.66
