Plot Title: 10778331,,,,
ID,datetime,low_range_uScm,full_range_uScm,temp_C
1,6/2/21 13:35,3,2.9,9.46
2,6/2/21 13:40,2.8,2.9,9.11
3,6/2/21 13:45,2.5,2.9,8.85
4,6/2/21 13:50,2.4,2.5,8.72
5,6/2/21 13:55,2.3,2.5,8.56
6,6/2/21 14:00,2.2,2.9,8.39
7,6/2/21 14:05,2.1,2.9,8.34
8,6/2/21 14:10,2.1,2.9,8.29
9,6/2/21 14:15,2,2.9,8.21
10,6/2/21 14:20,2.1,1.7,8.14
11,6/2/21 14:25,2.1,1.7,8.06
12,6/2/21 14:30,2.1,2.9,8.01
13,6/2/21 14:35,2.1,2.9,7.99
14,6/2/21 14:40,2.1,1.7,7.99
15,6/2/21 14:45,2.2,2.9,7.95
16,6/2/21 14:50,2.2,2.9,7.92
17,6/2/21 14:55,2.2,1.7,7.92
18,6/2/21 15:00,2.2,2.9,7.87
19,6/2/21 15:05,2.2,2.5,7.76
20,6/2/21 15:10,2.3,2.9,7.66
21,6/2/21 15:15,2.3,2.9,7.57
22,6/2/21 15:20,2.4,2.9,7.46
23,6/2/21 15:25,2.4,2.5,7.39
24,6/2/21 15:30,2.5,2.5,7.32
25,6/2/21 15:35,2.6,2.5,7.29
26,6/2/21 15:40,2.7,2.5,7.3
27,6/2/21 15:45,2.8,2.1,7.28
28,6/2/21 15:50,2.9,2.9,7.25
29,6/2/21 15:55,3,2.9,7.22
30,6/2/21 16:00,3,2.9,7.18
31,6/2/21 16:05,3.2,2.9,7.15
32,6/2/21 16:10,3.3,2.9,7.11
33,6/2/21 16:15,3.4,2.9,7.09
34,6/2/21 16:20,3.5,2.9,7.11
35,6/2/21 16:25,3.6,3.3,7.13
36,6/2/21 16:30,3.7,3.3,7.16
37,6/2/21 16:35,3.8,3.6,7.17
38,6/2/21 16:40,4,3.6,7.16
39,6/2/21 16:45,4,3.6,7.15
40,6/2/21 16:50,4.1,3.6,7.11
41,6/2/21 16:55,4.1,3.6,7.08
42,6/2/21 17:00,4.3,4,7.05
43,6/2/21 17:05,4.4,4,7.03
44,6/2/21 17:10,4.4,4,7.04
45,6/2/21 17:15,4.5,4.4,6.99
46,6/2/21 17:20,4.6,4.4,6.96
47,6/2/21 17:25,4.6,4.4,6.92
48,6/2/21 17:30,4.7,4.4,6.92
49,6/2/21 17:35,4.8,4.4,6.88
50,6/2/21 17:40,5,4.4,6.87
51,6/2/21 17:45,5.1,4.8,6.87
52,6/2/21 17:50,5.4,5.2,6.86
53,6/2/21 17:55,5.6,5.2,6.83
54,6/2/21 18:00,5.6,5.6,6.79
55,6/2/21 18:05,5.8,5.6,6.76
56,6/2/21 18:10,5.8,5.6,6.71
57,6/2/21 18:15,5.6,5.2,6.67
58,6/2/21 18:20,5.4,4.8,6.67
59,6/2/21 18:25,4.3,3.6,6.67
60,6/2/21 18:30,2,4.4,6.66
61,6/2/21 18:35,4.3,6.3,6.65
62,6/2/21 18:40,2.5,2.5,6.62
63,6/2/21 18:45,2.5,2.5,6.58
64,6/2/21 18:50,4,2.5,6.53
65,6/2/21 18:55,1.9,6.3,6.49
66,6/2/21 19:00,2.5,2.5,6.49
67,6/2/21 19:05,2.5,6.3,6.49
68,6/2/21 19:10,2.5,2.5,6.52
69,6/2/21 19:15,2.5,2.5,6.54
70,6/2/21 19:20,2.7,6.3,6.5
71,6/2/21 19:25,2.7,2.5,6.46
72,6/2/21 19:30,2.5,2.5,6.42
73,6/2/21 19:35,2.5,2.5,6.37
74,6/2/21 19:40,4.3,6.3,6.33
75,6/2/21 19:45,1.9,6.3,6.33
76,6/2/21 19:50,2.5,2.5,6.36
77,6/2/21 19:55,4,2.5,6.37
78,6/2/21 20:00,2.7,2.5,6.36
79,6/2/21 20:05,2.7,6.3,6.29
80,6/2/21 20:10,2.5,2.5,6.23
81,6/2/21 20:15,2.5,6.3,6.16
82,6/2/21 20:20,2.7,2.5,6.1
83,6/2/21 20:25,2.7,6.3,6.06
84,6/2/21 20:30,2.5,2.5,6.06
85,6/2/21 20:35,2.5,2.5,6.06
86,6/2/21 20:40,2.5,2.5,6.04
87,6/2/21 20:45,2.5,6.3,6.06
88,6/2/21 20:50,2.7,2.5,6.04
89,6/2/21 20:55,2.7,6.3,6.04
90,6/2/21 21:00,1.9,2.5,6.03
91,6/2/21 21:05,2.7,6.3,6.03
92,6/2/21 21:10,2.7,2.5,6.02
93,6/2/21 21:15,2.7,2.5,5.99
94,6/2/21 21:20,2.5,6.3,5.98
95,6/2/21 21:25,2.5,2.5,5.98
96,6/2/21 21:30,2.5,6.3,5.96
97,6/2/21 21:35,2.7,2.5,5.95
98,6/2/21 21:40,2.5,6.3,5.94
99,6/2/21 21:45,2.5,6.3,5.92
100,6/2/21 21:50,2.1,2.5,5.9
101,6/2/21 21:55,2.5,2.5,5.9
102,6/2/21 22:00,2.7,2.5,5.86
103,6/2/21 22:05,2.7,2.5,5.79
104,6/2/21 22:10,2.5,2.5,5.71
105,6/2/21 22:15,2.5,2.5,5.6
106,6/2/21 22:20,2.5,6.3,5.48
107,6/2/21 22:25,2.5,2.5,5.41
108,6/2/21 22:30,2.5,9,5.39
109,6/2/21 22:35,1.9,2.5,5.33
110,6/2/21 22:40,2.5,2.5,5.31
111,6/2/21 22:45,2.5,2.5,5.31
112,6/2/21 22:50,2.7,2.5,5.29
113,6/2/21 22:55,2.5,6.3,5.27
114,6/2/21 23:00,4,2.5,5.27
115,6/2/21 23:05,4,2.5,5.25
116,6/2/21 23:10,2.5,2.5,5.24
117,6/2/21 23:15,2.5,6.3,5.23
118,6/2/21 23:20,2.5,6.3,5.19
119,6/2/21 23:25,2.5,6.3,5.18
120,6/2/21 23:30,1.9,6.3,5.14
121,6/2/21 23:35,2.5,2.5,5.14
122,6/2/21 23:40,2.7,2.5,5.11
123,6/2/21 23:45,2.5,2.5,5.1
124,6/2/21 23:50,2.5,2.5,5.07
125,6/2/21 23:55,4,2.5,5.04
126,6/3/21 0:00,2.5,2.5,5.02
127,6/3/21 0:05,2.5,2.5,5.01
128,6/3/21 0:10,2.7,2.5,4.97
129,6/3/21 0:15,2.5,2.5,4.95
130,6/3/21 0:20,2.5,6.3,4.94
131,6/3/21 0:25,4,2.5,4.9
132,6/3/21 0:30,2.5,2.5,4.89
133,6/3/21 0:35,2.5,2.5,4.87
134,6/3/21 0:40,2.5,2.5,4.85
135,6/3/21 0:45,2.7,2.5,4.81
136,6/3/21 0:50,2.5,2.5,4.8
137,6/3/21 0:55,1.9,2.5,4.78
138,6/3/21 1:00,2.7,2.5,4.76
139,6/3/21 1:05,2.5,6.3,4.74
140,6/3/21 1:10,2.7,2.5,4.72
141,6/3/21 1:15,2.7,27.4,4.7
142,6/3/21 1:20,2.5,2.5,4.7
143,6/3/21 1:25,2.7,2.5,4.69
144,6/3/21 1:30,2.5,6.3,4.66
145,6/3/21 1:35,2.7,6.3,4.65
146,6/3/21 1:40,2.7,2.5,4.61
147,6/3/21 1:45,2.7,2.5,4.6
148,6/3/21 1:50,1.7,2.5,4.6
149,6/3/21 1:55,2.5,2.5,4.56
150,6/3/21 2:00,2.7,2.5,4.55
151,6/3/21 2:05,2.5,2.5,4.52
152,6/3/21 2:10,2.5,6.3,4.52
153,6/3/21 2:15,2.5,2.5,4.51
154,6/3/21 2:20,2.5,2.5,4.49
155,6/3/21 2:25,2.7,2.5,4.48
156,6/3/21 2:30,2.7,2.5,4.47
157,6/3/21 2:35,2.5,2.5,4.44
158,6/3/21 2:40,2.5,2.5,4.41
159,6/3/21 2:45,2.5,2.5,4.4
160,6/3/21 2:50,2.5,2.5,4.39
161,6/3/21 2:55,2.5,2.5,4.38
162,6/3/21 3:00,2.5,2.5,4.36
163,6/3/21 3:05,2.5,2.5,4.34
164,6/3/21 3:10,2.7,6.3,4.32
165,6/3/21 3:15,2.5,6.3,4.31
166,6/3/21 3:20,2.5,2.5,4.3
167,6/3/21 3:25,1.9,2.5,4.27
168,6/3/21 3:30,2.5,2.5,4.26
169,6/3/21 3:35,2.5,2.5,4.24
170,6/3/21 3:40,4,2.5,4.23
171,6/3/21 3:45,2.5,2.5,4.2
172,6/3/21 3:50,2.5,6.3,4.18
173,6/3/21 3:55,2.5,2.5,4.16
174,6/3/21 4:00,2.5,2.5,4.15
175,6/3/21 4:05,2.5,6.3,4.14
176,6/3/21 4:10,2.5,2.5,4.11
177,6/3/21 4:15,2.7,2.5,4.09
178,6/3/21 4:20,1.9,2.5,4.1
179,6/3/21 4:25,2.5,2.5,4.07
180,6/3/21 4:30,1.9,2.5,4.06
181,6/3/21 4:35,2.7,2.5,4.05
182,6/3/21 4:40,4.3,2.5,4.03
183,6/3/21 4:45,2.5,2.5,4.02
184,6/3/21 4:50,2.7,6.3,4.01
185,6/3/21 4:55,1.9,2.5,3.98
186,6/3/21 5:00,2.5,2.5,3.98
187,6/3/21 5:05,2.5,6.3,3.97
188,6/3/21 5:10,1.9,6.3,3.94
189,6/3/21 5:15,2.5,2.5,3.95
