Plot Title: 10778331,,,,
ID,datetime,low_range_uScm,full_range_uScm,temp_C
1,5/13/21 14:30,2.1,6.3,10.19
2,5/13/21 14:40,2.5,2.5,9.82
3,5/13/21 14:50,2.7,6.3,9.51
4,5/13/21 15:00,2.5,2.5,9.31
5,5/13/21 15:10,2.5,2.5,9.13
6,5/13/21 15:20,2.7,2.5,9.08
7,5/13/21 15:30,2.7,2.5,9.09
8,5/13/21 15:40,2.5,2.5,9.06
9,5/13/21 15:50,2.5,2.5,8.98
10,5/13/21 16:00,1.9,2.5,8.9
11,5/13/21 16:10,2.5,2.5,8.9
12,5/13/21 16:20,2.5,2.5,8.85
13,5/13/21 16:30,2.5,6.3,8.72
14,5/13/21 16:40,4,2.5,8.62
15,5/13/21 16:50,2.5,2.5,8.55
16,5/13/21 17:00,1.9,2.5,8.46
17,5/13/21 17:10,2.5,2.5,8.35
18,5/13/21 17:20,2.5,2.5,8.18
19,5/13/21 17:30,2.5,6.3,8.05
20,5/13/21 17:40,1.9,2.5,7.93
21,5/13/21 17:50,2.5,2.5,7.78
22,5/13/21 18:00,4.3,6.3,7.68
23,5/13/21 18:10,2.7,6.3,7.55
24,5/13/21 18:20,2.5,2.5,7.39
25,5/13/21 18:30,2.5,2.5,7.3
26,5/13/21 18:40,2.1,2.5,7.24
27,5/13/21 18:50,2.5,2.5,7.18
28,5/13/21 19:00,2.5,2.5,7.15
29,5/13/21 19:10,2.5,2.5,7.12
30,5/13/21 19:20,1.9,2.5,7.09
31,5/13/21 19:30,2.5,2.5,7.03
32,5/13/21 19:40,2.5,6.3,6.94
33,5/13/21 19:50,2.5,2.5,6.84
34,5/13/21 20:00,2.7,2.5,6.75
35,5/13/21 20:10,2.7,2.5,6.66
36,5/13/21 20:20,2.7,2.5,6.54
37,5/13/21 20:30,2.5,2.5,6.42
38,5/13/21 20:40,2.1,2.5,6.29
39,5/13/21 20:50,1.9,2.5,6.16
40,5/13/21 21:00,2.7,2.5,6
41,5/13/21 21:10,2.7,2.5,5.87
42,5/13/21 21:20,2.7,6.3,5.75
43,5/13/21 21:30,2.5,2.5,5.62
44,5/13/21 21:40,2.5,2.5,5.52
45,5/13/21 21:50,4.3,2.5,5.37
46,5/13/21 22:00,2.5,6.3,5.27
47,5/13/21 22:10,2.5,2.5,5.15
48,5/13/21 22:20,1.9,2.5,5.04
49,5/13/21 22:30,2.7,2.5,4.94
50,5/13/21 22:40,2.5,2.5,4.83
51,5/13/21 22:50,2.5,2.5,4.76
52,5/13/21 23:00,2.7,2.5,4.62
53,5/13/21 23:10,1.9,2.5,4.53
54,5/13/21 23:20,2.5,2.5,4.43
55,5/13/21 23:30,2.5,2.5,4.35
56,5/13/21 23:40,2.7,2.5,4.26
57,5/13/21 23:50,2.5,6.3,4.16
58,5/14/21 0:00,2.5,2.5,4.09
59,5/14/21 0:10,2.5,2.5,4.01
60,5/14/21 0:20,2.5,2.5,3.94
61,5/14/21 0:30,2.5,2.5,3.86
62,5/14/21 0:40,2.5,2.5,3.84
63,5/14/21 0:50,2.5,2.5,3.77
64,5/14/21 1:00,2.7,2.5,3.69
65,5/14/21 1:10,2.5,2.5,3.64
66,5/14/21 1:20,2.5,6.3,3.6
67,5/14/21 1:30,2.1,2.5,3.55
68,5/14/21 1:40,2.5,2.5,3.52
69,5/14/21 1:50,2.5,2.5,3.51
70,5/14/21 2:00,2.5,2.5,3.51
71,5/14/21 2:10,2.7,2.5,3.48
72,5/14/21 2:20,2.5,2.5,3.46
73,5/14/21 2:30,2.7,2.5,3.42
74,5/14/21 2:40,2.5,2.5,3.38
75,5/14/21 2:50,1.9,6.3,3.32
76,5/14/21 3:00,2.5,9,3.29
77,5/14/21 3:10,2.5,2.5,3.25
78,5/14/21 3:20,2.5,2.5,3.19
79,5/14/21 3:30,2.7,2.5,3.13
80,5/14/21 3:40,2.7,2.5,3.09
81,5/14/21 3:50,2.7,2.5,3.05
82,5/14/21 4:00,2.7,6.3,3.01
83,5/14/21 4:10,2.5,2.5,2.96
84,5/14/21 4:20,2.5,2.5,2.92
85,5/14/21 4:30,2.1,2.5,2.9
86,5/14/21 4:40,2.5,2.5,2.85
87,5/14/21 4:50,1.9,2.5,2.84
88,5/14/21 5:00,1.9,2.5,2.8
89,5/14/21 5:10,2.7,2.5,2.75
90,5/14/21 5:20,2.7,2.5,2.69
91,5/14/21 5:30,2.5,2.5,2.64
92,5/14/21 5:40,2.5,2.5,2.6
93,5/14/21 5:50,2.1,2.5,2.55
94,5/14/21 6:00,2.5,2.5,2.51
95,5/14/21 6:10,2.5,2.5,2.47
96,5/14/21 6:20,2.5,9,2.44
97,5/14/21 6:30,2.5,6.3,2.41
98,5/14/21 6:40,2.7,2.5,2.39
99,5/14/21 6:50,2.5,2.5,2.37
100,5/14/21 7:00,2.7,2.5,2.35
101,5/14/21 7:10,2.5,2.5,2.37
102,5/14/21 7:20,1.9,2.5,2.37
103,5/14/21 7:30,1.9,2.5,2.39
104,5/14/21 7:40,2.5,2.5,2.43
105,5/14/21 7:50,2.5,2.5,2.48
106,5/14/21 8:00,2.5,2.5,2.58
107,5/14/21 8:10,2.7,2.5,2.72
108,5/14/21 8:20,2.5,6.3,2.88
109,5/14/21 8:30,2.4,2.5,3.02
110,5/14/21 8:40,2.5,2.5,3.21
111,5/14/21 8:50,4.3,2.5,3.44
112,5/14/21 9:00,1.9,2.5,3.71
113,5/14/21 9:10,2.5,2.5,3.95
114,5/14/21 9:20,2.5,6.3,4.23
115,5/14/21 9:30,2.5,2.5,4.51
116,5/14/21 9:40,2.5,9,4.87
117,5/14/21 9:50,1.9,2.5,5.24
118,5/14/21 10:00,2.7,2.5,5.54
119,5/14/21 10:10,2.7,6.3,5.83
120,5/14/21 10:20,2.5,2.5,6.16
121,5/14/21 10:30,2.5,2.5,6.59
122,5/14/21 10:40,2.5,2.5,7.15
123,5/14/21 10:50,2.7,2.5,7.72
124,5/14/21 11:00,2.7,2.5,8.26
125,5/14/21 11:10,2.5,2.5,8.84
126,5/14/21 11:20,2.5,2.5,9.42
127,5/14/21 11:30,2.5,2.5,9.96
128,5/14/21 11:40,2.5,2.5,10.34
129,5/14/21 11:50,2.5,2.5,10.51
130,5/14/21 12:00,2.5,2.5,10.64
131,5/14/21 12:10,2.5,6.3,10.68
132,5/14/21 12:20,2.5,2.5,10.72
133,5/14/21 12:30,4.3,2.5,10.69
134,5/14/21 12:40,2.5,6.3,10.53
135,5/14/21 12:50,2.5,2.5,10.52
136,5/14/21 13:00,2.7,2.5,10.73
137,5/14/21 13:10,2.5,2.5,11.1
138,5/14/21 13:20,2.7,2.5,11.43
139,5/14/21 13:30,2.7,6.3,11.73
140,5/14/21 13:40,2.5,2.5,11.89
141,5/14/21 13:50,2.7,2.5,11.86
142,5/14/21 14:00,2.5,2.5,11.62
143,5/14/21 14:10,4.3,2.5,11.15
144,5/14/21 14:20,2.5,2.5,10.7
145,5/14/21 14:30,4.3,2.5,10.26
146,5/14/21 14:40,2.7,2.5,9.84
147,5/14/21 14:50,2.5,2.5,9.54
148,5/14/21 15:00,2.5,2.5,9.38
149,5/14/21 15:10,2.5,6.3,9.43
150,5/14/21 15:20,2.5,2.5,9.63
151,5/14/21 15:30,4.3,6.3,9.85
152,5/14/21 15:40,4.3,2.5,9.92
153,5/14/21 15:50,2.5,2.5,9.84
154,5/14/21 16:00,4,2.5,9.68
155,5/14/21 16:10,2.5,6.3,9.57
156,5/14/21 16:20,2.5,2.5,9.47
157,5/14/21 16:30,2.5,2.5,9.25
158,5/14/21 16:40,1.9,2.5,9.1
159,5/14/21 16:50,2.5,6.3,8.97
160,5/14/21 17:00,2.5,2.5,8.79
161,5/14/21 17:10,1.9,6.3,8.63
162,5/14/21 17:20,2.7,2.5,8.56
163,5/14/21 17:30,2.5,2.5,8.43
164,5/14/21 17:40,2.5,2.5,8.22
165,5/14/21 17:50,2.5,2.5,8.09
166,5/14/21 18:00,2.5,6.3,8.05
167,5/14/21 18:10,2.5,2.5,7.89
168,5/14/21 18:20,2.7,2.5,7.7
169,5/14/21 18:30,2.5,2.5,7.51
170,5/14/21 18:40,2.7,2.5,7.41
171,5/14/21 18:50,2.7,2.5,7.22
172,5/14/21 19:00,2.5,2.5,6.99
173,5/14/21 19:10,2.5,2.5,6.88
174,5/14/21 19:20,1.9,2.5,6.82
175,5/14/21 19:30,2.5,2.5,6.69
176,5/14/21 19:40,1.9,6.3,6.54
177,5/14/21 19:50,2.5,6.3,6.45
178,5/14/21 20:00,2.5,2.5,6.32
179,5/14/21 20:10,2.7,6.3,6.07
180,5/14/21 20:20,2.5,6.3,5.88
181,5/14/21 20:30,2.5,2.5,5.78
182,5/14/21 20:40,2.7,2.5,5.67
183,5/14/21 20:50,2.7,2.5,5.56
184,5/14/21 21:00,2.5,2.5,5.46
185,5/14/21 21:10,2.5,2.5,5.36
186,5/14/21 21:20,2.5,2.5,5.25
187,5/14/21 21:30,2.5,2.5,5.15
188,5/14/21 21:40,2.5,2.5,5.07
189,5/14/21 21:50,1.9,2.5,4.99
190,5/14/21 22:00,2.7,2.5,4.9
