#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 21135142, SEN S/N: 21135142)","Temp, °C (LGR S/N: 21135142, SEN S/N: 21135142)",Coupler Detached (LGR S/N: 21135142),Coupler Attached (LGR S/N: 21135142),Host Connected (LGR S/N: 21135142),Stopped (LGR S/N: 21135142),End Of File (LGR S/N: 21135142)
1,5/24/22 8:54,5.3,13.18,,,,,
2,5/24/22 8:54,,,Logged,,,,
3,5/24/22 8:59,5.3,14.18,,,,,
4,5/24/22 9:04,3.1,13.92,,,,,
5,5/24/22 9:09,5.3,13.66,,,,,
6,5/24/22 9:14,5.3,13.43,,,,,
7,5/24/22 9:19,5.3,13.13,,,,,
8,5/24/22 9:24,5.3,12.94,,,,,
9,5/24/22 9:29,5.3,13,,,,,
10,5/24/22 9:34,3.2,13.01,,,,,
11,5/24/22 9:39,5.3,13.08,,,,,
12,5/24/22 9:44,5.3,13.09,,,,,
13,5/24/22 9:49,5.3,13.03,,,,,
14,5/24/22 9:54,3.2,13,,,,,
15,5/24/22 9:59,5.3,12.96,,,,,
16,5/24/22 10:04,5.3,12.95,,,,,
17,5/24/22 10:09,3.2,12.94,,,,,
18,5/24/22 10:14,5.3,12.91,,,,,
19,5/24/22 10:19,5.3,12.88,,,,,
20,5/24/22 10:24,5.3,12.85,,,,,
21,5/24/22 10:29,5.3,12.82,,,,,
22,5/24/22 10:34,3.2,12.78,,,,,
23,5/24/22 10:39,5.3,12.76,,,,,
24,5/24/22 10:44,5.3,12.72,,,,,
25,5/24/22 10:49,3.2,12.68,,,,,
26,5/24/22 10:54,5.3,12.64,,,,,
27,5/24/22 10:59,5.3,12.61,,,,,
28,5/24/22 11:04,5.3,12.56,,,,,
29,5/24/22 11:09,5.3,12.52,,,,,
30,5/24/22 11:14,5.3,12.47,,,,,
31,5/24/22 11:19,5.3,12.43,,,,,
32,5/24/22 11:24,5.3,12.38,,,,,
33,5/24/22 11:29,5.3,12.33,,,,,
34,5/24/22 11:34,5.3,12.28,,,,,
35,5/24/22 11:39,5.3,12.23,,,,,
36,5/24/22 11:44,5.3,12.19,,,,,
37,5/24/22 11:49,5.3,12.16,,,,,
38,5/24/22 11:54,5.3,12.15,,,,,
39,5/24/22 11:59,5.3,12.54,,,,,
40,5/24/22 12:04,5.3,12.78,,,,,
41,5/24/22 12:09,5.3,13.67,,,,,
42,5/24/22 12:14,5.3,16.01,,,,,
43,5/24/22 12:19,5.3,16.29,,,,,
44,5/24/22 12:24,5.3,17.86,,,,,
45,5/24/22 12:29,3.1,19.77,,,,,
46,5/24/22 12:34,5.3,20.83,,,,,
47,5/24/22 12:39,5.3,20.16,,,,,
48,5/24/22 12:44,5.3,18.94,,,,,
49,5/24/22 12:49,5.3,18.85,,,,,
50,5/24/22 12:54,5.3,18.28,,,,,
51,5/24/22 12:59,5.3,17.42,,,,,
52,5/24/22 13:04,5.3,17.33,,,,,
53,5/24/22 13:09,5.3,16.84,,,,,
54,5/24/22 13:14,16.9,16.37,,,,,
55,5/24/22 13:19,5.3,16.13,,,,,
56,5/24/22 13:24,5.3,17.37,,,,,
57,5/24/22 13:29,5.3,16.72,,,,,
58,5/24/22 13:34,5.3,13.56,,,,,
59,5/24/22 13:39,5.3,13.76,,,,,
60,5/24/22 13:44,5.3,13.62,,,,,
61,5/24/22 13:49,5.3,14.29,,,,,
62,5/24/22 13:54,5.3,14.07,,,,,
63,5/24/22 13:59,5.3,11.9,,,,,
64,5/24/22 14:04,5.4,9.91,,,,,
65,5/24/22 14:09,5.4,8.45,,,,,
66,5/24/22 14:14,3.2,7.34,,,,,
67,5/24/22 14:19,5.4,6.49,,,,,
68,5/24/22 14:24,5.4,5.83,,,,,
69,5/24/22 14:29,5.4,5.33,,,,,
70,5/24/22 14:34,3.2,4.93,,,,,
71,5/24/22 14:39,5.4,4.63,,,,,
72,5/24/22 14:44,5.4,4.39,,,,,
73,5/24/22 14:49,5.4,4.18,,,,,
74,5/24/22 14:54,3.2,4.04,,,,,
75,5/24/22 14:59,5.4,3.91,,,,,
76,5/24/22 15:04,5.4,3.81,,,,,
77,5/24/22 15:09,5.4,3.73,,,,,
78,5/24/22 15:14,5.4,3.66,,,,,
79,5/24/22 15:19,3.2,3.61,,,,,
80,5/24/22 15:24,5.4,3.57,,,,,
81,5/24/22 15:29,5.4,3.52,,,,,
82,5/24/22 15:34,5.4,3.5,,,,,
83,5/24/22 15:39,5.4,3.48,,,,,
84,5/24/22 15:44,5.4,3.46,,,,,
85,5/24/22 15:49,5.4,3.43,,,,,
86,5/24/22 15:54,5.4,3.43,,,,,
87,5/24/22 15:59,5.4,3.42,,,,,
88,5/24/22 16:04,5.4,3.4,,,,,
89,5/24/22 16:09,5.4,3.39,,,,,
90,5/24/22 16:14,5.4,3.39,,,,,
91,5/24/22 16:19,5.4,3.38,,,,,
92,5/24/22 16:24,5.4,3.38,,,,,
93,5/24/22 16:29,5.4,3.37,,,,,
