Plot Title: 21135140z,,,,,,,
#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 21135140, SEN S/N: 21135140)","Temp, °C (LGR S/N: 21135140, SEN S/N: 21135140)",Coupler Detached (LGR S/N: 21135140),Coupler Attached (LGR S/N: 21135140),Host Connected (LGR S/N: 21135140),End Of File (LGR S/N: 21135140)
1,5/24/22 8:35,-1.4,13.36,,,,
2,5/24/22 8:35,,,Logged,,,
3,5/24/22 8:40,-1.4,16.03,,,,
4,5/24/22 8:45,-1.4,15.86,,,,
5,5/24/22 8:50,-1.4,15.26,,,,
6,5/24/22 8:55,-1.4,14.68,,,,
7,5/24/22 9:00,-1.4,14.19,,,,
8,5/24/22 9:05,-1.4,13.88,,,,
9,5/24/22 9:10,-1.4,13.6,,,,
10,5/24/22 9:15,-1.4,13.33,,,,
11,5/24/22 9:20,-1.4,13.43,,,,
12,5/24/22 9:25,-1.4,13.34,,,,
13,5/24/22 9:30,-1.4,13.25,,,,
14,5/24/22 9:35,-1.4,13.19,,,,
15,5/24/22 9:40,-1.4,13.19,,,,
16,5/24/22 9:45,-1.4,13.14,,,,
17,5/24/22 9:50,-1.4,13.1,,,,
18,5/24/22 9:55,11.1,13.04,,,,
19,5/24/22 10:00,-1.4,12.98,,,,
20,5/24/22 10:05,-1.4,12.93,,,,
21,5/24/22 10:10,-0.6,12.87,,,,
22,5/24/22 10:15,-1.4,12.81,,,,
23,5/24/22 10:20,-3.8,12.74,,,,
24,5/24/22 10:25,-1.4,12.69,,,,
25,5/24/22 10:30,-1.4,12.63,,,,
26,5/24/22 10:35,-1.4,12.58,,,,
27,5/24/22 10:40,-1.4,12.52,,,,
28,5/24/22 10:45,-1.4,12.49,,,,
29,5/24/22 10:50,-1.4,12.44,,,,
30,5/24/22 10:55,-1.4,12.38,,,,
31,5/24/22 11:00,-1.4,12.33,,,,
32,5/24/22 11:05,-1.4,12.27,,,,
33,5/24/22 11:10,-1.4,12.21,,,,
34,5/24/22 11:15,-1.4,12.15,,,,
35,5/24/22 11:20,-1.4,12.09,,,,
36,5/24/22 11:25,-3.8,12.03,,,,
37,5/24/22 11:30,-1.4,11.98,,,,
38,5/24/22 11:35,-1.4,11.91,,,,
39,5/24/22 11:40,-1.4,11.87,,,,
40,5/24/22 11:45,-1.4,11.85,,,,
41,5/24/22 11:50,-1.4,11.83,,,,
42,5/24/22 11:55,-1.4,11.85,,,,
43,5/24/22 12:00,-1.4,12.23,,,,
44,5/24/22 12:05,-1.4,13.88,,,,
45,5/24/22 12:10,-1.4,14.22,,,,
46,5/24/22 12:15,-1.4,14.7,,,,
47,5/24/22 12:20,-1.4,14.79,,,,
48,5/24/22 12:25,-1.4,14.77,,,,
49,5/24/22 12:30,-1.4,14.79,,,,
50,5/24/22 12:35,-1.4,14.81,,,,
51,5/24/22 12:40,-3.8,14.77,,,,
52,5/24/22 12:45,-1.4,14.63,,,,
53,5/24/22 12:50,-1.4,14.65,,,,
54,5/24/22 12:55,-1.4,14.49,,,,
55,5/24/22 13:00,-1.4,14.3,,,,
56,5/24/22 13:05,-3.8,14.16,,,,
57,5/24/22 13:10,-1.4,14.05,,,,
58,5/24/22 13:15,-1.4,13.89,,,,
59,5/24/22 13:20,-1.4,13.7,,,,
60,5/24/22 13:25,-1.4,13.97,,,,
61,5/24/22 13:30,11,14.71,,,,
62,5/24/22 13:35,-1.4,14.25,,,,
63,5/24/22 13:40,-3.8,13.78,,,,
64,5/24/22 13:45,-3.8,13.39,,,,
65,5/24/22 13:50,-1.4,13.15,,,,
66,5/24/22 13:55,-3.8,12.81,,,,
67,5/24/22 14:00,-3.8,12.13,,,,
68,5/24/22 14:05,-1.4,11.81,,,,
69,5/24/22 14:10,-1.4,9.78,,,,
70,5/24/22 14:15,-1.3,8.19,,,,
71,5/24/22 14:20,-3.8,7.02,,,,
72,5/24/22 14:25,-1.3,6.13,,,,
73,5/24/22 14:30,-1.3,5.47,,,,
74,5/24/22 14:35,-1.3,4.96,,,,
75,5/24/22 14:40,-1.3,4.56,,,,
76,5/24/22 14:45,-1.3,4.27,,,,
77,5/24/22 14:50,-1.3,4.04,,,,
78,5/24/22 14:55,-1.3,3.85,,,,
79,5/24/22 15:00,-1.3,3.71,,,,
80,5/24/22 15:05,-1.3,3.58,,,,
81,5/24/22 15:10,-1.3,3.49,,,,
82,5/24/22 15:15,-1.3,3.41,,,,
83,5/24/22 15:20,-1.3,3.35,,,,
84,5/24/22 15:25,-1.3,3.3,,,,
85,5/24/22 15:30,-1.3,3.26,,,,
86,5/24/22 15:35,-1.3,3.23,,,,
87,5/24/22 15:40,-1.3,3.21,,,,
88,5/24/22 15:45,-1.3,3.18,,,,
89,5/24/22 15:50,-1.3,3.16,,,,
90,5/24/22 15:55,-1.3,3.14,,,,
91,5/24/22 16:00,-1.3,3.14,,,,
92,5/24/22 16:05,-1.3,3.12,,,,
93,5/24/22 16:10,-1.3,3.12,,,,
94,5/24/22 16:15,-1.3,3.11,,,,
95,5/24/22 16:20,-1.3,3.09,,,,
96,5/24/22 16:25,-1.3,3.09,,,,
97,5/24/22 16:30,-1.3,3.08,,,,
98,5/24/22 16:35,-1.3,3.07,,,,
99,5/24/22 16:40,-1.3,3.07,,,,
100,5/24/22 16:45,-1.3,3.08,,,,
101,5/24/22 16:50,-1.3,3.05,,,,
102,5/24/22 16:55,-1.3,3.07,,,,
103,5/24/22 17:00,-1.3,3.07,,,,
104,5/24/22 17:05,-1.3,3.05,,,,
105,5/24/22 17:10,-3.7,3.05,,,,
106,5/24/22 17:15,-1.3,3.05,,,,
107,5/24/22 17:20,-3.7,3.04,,,,
108,5/24/22 17:25,-1.3,3.03,,,,
109,5/24/22 17:30,-1.3,3.05,,,,
110,5/24/22 17:35,-1.3,3.04,,,,
111,5/24/22 17:40,-1.3,3.04,,,,
112,5/24/22 17:45,-1.3,3.04,,,,
113,5/24/22 17:50,-1.3,3.04,,,,
114,5/24/22 17:55,-1.3,3.04,,,,
115,5/24/22 18:00,-3.7,3.04,,,,
116,5/24/22 18:05,-1.3,3.03,,,,
117,5/24/22 18:10,-1.3,3.04,,,,
118,5/24/22 18:15,-1.3,3.03,,,,
119,5/24/22 18:20,-1.3,3.03,,,,
120,5/24/22 18:25,-1.3,3.03,,,,
121,5/24/22 18:30,-1.3,3.03,,,,
122,5/24/22 18:35,-1.3,3.03,,,,
123,5/24/22 18:40,-1.3,3.03,,,,
124,5/24/22 18:45,-1.3,3.03,,,,
125,5/24/22 18:50,-1.3,3.03,,,,
126,5/24/22 18:55,-1.3,3.03,,,,
127,5/24/22 19:00,-1.3,3.03,,,,
128,5/24/22 19:05,-3.7,3.02,,,,
129,5/24/22 19:10,-1.3,3.03,,,,
130,5/24/22 19:15,-1.3,3.03,,,,
131,5/24/22 19:20,-1.3,3.02,,,,
132,5/24/22 19:25,-1.3,3.03,,,,
