Plot Title: 21135139,,,,,,,
#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 21135139, SEN S/N: 21135139)","Temp, °C (LGR S/N: 21135139, SEN S/N: 21135139)",Coupler Detached (LGR S/N: 21135139),Coupler Attached (LGR S/N: 21135139),Host Connected (LGR S/N: 21135139),End Of File (LGR S/N: 21135139)
1,4/10/22 22:00,1.8,18.87,Logged,,,
2,4/10/22 22:10,12.5,18.93,,,,
3,4/10/22 22:20,1.8,19,,,,
4,4/10/22 22:30,-0.5,19.06,,,,
5,4/10/22 22:40,1.8,19.11,,,,
6,4/10/22 22:50,-0.5,19.18,,,,
7,4/10/22 23:00,1.8,19.21,,,,
8,4/10/22 23:10,1.8,19.25,,,,
9,4/10/22 23:20,12.5,19.29,,,,
10,4/10/22 23:30,-0.5,19.33,,,,
11,4/10/22 23:40,12.5,19.36,,,,
12,4/10/22 23:50,1.8,19.38,,,,
13,4/11/22 0:00,1.8,19.41,,,,
14,4/11/22 0:10,1.8,19.42,,,,
15,4/11/22 0:20,1.8,19.44,,,,
16,4/11/22 0:30,1.8,19.46,,,,
17,4/11/22 0:40,-0.5,19.48,,,,
18,4/11/22 0:50,1.8,19.48,,,,
19,4/11/22 1:00,-0.5,19.5,,,,
20,4/11/22 1:10,1.8,19.51,,,,
21,4/11/22 1:20,1.8,19.51,,,,
22,4/11/22 1:30,1.8,19.51,,,,
23,4/11/22 1:40,1.8,19.51,,,,
24,4/11/22 1:50,1.8,19.51,,,,
25,4/11/22 2:00,1.8,19.51,,,,
26,4/11/22 2:10,1.8,19.5,,,,
27,4/11/22 2:20,1.8,19.5,,,,
28,4/11/22 2:30,-0.5,19.48,,,,
29,4/11/22 2:40,1.8,19.48,,,,
30,4/11/22 2:50,1.8,19.47,,,,
31,4/11/22 3:00,1.8,19.46,,,,
32,4/11/22 3:10,2.6,19.46,,,,
33,4/11/22 3:20,12.5,19.43,,,,
34,4/11/22 3:30,1.8,19.42,,,,
35,4/11/22 3:40,1.8,19.41,,,,
36,4/11/22 3:50,1.8,19.39,,,,
37,4/11/22 4:00,1.8,19.38,,,,
38,4/11/22 4:10,-0.5,19.36,,,,
39,4/11/22 4:20,1.8,19.33,,,,
40,4/11/22 4:30,1.8,19.32,,,,
41,4/11/22 4:40,1.8,19.29,,,,
42,4/11/22 4:50,1.8,19.28,,,,
43,4/11/22 5:00,1.8,19.25,,,,
44,4/11/22 5:10,1.8,19.24,,,,
45,4/11/22 5:20,1.8,19.21,,,,
46,4/11/22 5:30,1.8,19.2,,,,
47,4/11/22 5:40,1.8,19.18,,,,
48,4/11/22 5:50,1.8,19.15,,,,
49,4/11/22 6:00,1.8,19.12,,,,
50,4/11/22 6:10,1.8,19.1,,,,
51,4/11/22 6:20,1.8,19.07,,,,
52,4/11/22 6:30,1.8,19.06,,,,
53,4/11/22 6:40,1.8,19.04,,,,
54,4/11/22 6:50,1.8,19.01,,,,
55,4/11/22 7:00,1.8,19,,,,
56,4/11/22 7:10,1.8,19,,,,
57,4/11/22 7:20,1.8,18.92,,,,
58,4/11/22 7:30,1.8,17.95,,,,
59,4/11/22 7:40,-0.5,17.08,,,,
60,4/11/22 7:50,1.8,16.51,,,,
61,4/11/22 8:00,1.8,15.44,,,,
62,4/11/22 8:10,-0.4,15.11,,,,
63,4/11/22 8:20,1.9,14.16,,,,
64,4/11/22 8:30,-0.4,13.23,,,,
65,4/11/22 8:40,1.9,11.05,,,,
66,4/11/22 8:50,1.9,9.4,,,,
67,4/11/22 9:00,1.9,8.38,,,,
68,4/11/22 9:10,12.7,7.86,,,,
69,4/11/22 9:20,12.7,8.07,,,,
70,4/11/22 9:30,1.9,8.27,,,,
71,4/11/22 9:40,12.7,8.22,,,,
72,4/11/22 9:50,1.9,7.85,,,,
73,4/11/22 10:00,1.9,6.19,,,,
74,4/11/22 10:10,1.9,5.14,,,,
75,4/11/22 10:20,1.9,4.96,,,,
76,4/11/22 10:30,1.9,5.05,,,,
77,4/11/22 10:40,1.9,4.97,,,,
78,4/11/22 10:50,1.9,4.78,,,,
79,4/11/22 11:00,1.9,4.6,,,,
80,4/11/22 11:10,1.9,4.6,,,,
81,4/11/22 11:20,1.9,5.74,,,,
82,4/11/22 11:30,1.9,6.52,,,,
