Plot Title: 21135139,,,,,,,,
#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 21135139, SEN S/N: 21135139)",temperature_C,"Temp, °F (LGR S/N: 21135139, SEN S/N: 21135139)",Coupler Detached (LGR S/N: 21135139),Coupler Attached (LGR S/N: 21135139),Host Connected (LGR S/N: 21135139),End Of File (LGR S/N: 21135139)
1,4/10/22 22:00,1.8,18.87222222,65.97,Logged,,,
2,4/10/22 22:10,12.5,18.92777778,66.07,,,,
3,4/10/22 22:20,1.8,19,66.2,,,,
4,4/10/22 22:30,-0.5,19.06111111,66.31,,,,
5,4/10/22 22:40,1.8,19.11111111,66.4,,,,
6,4/10/22 22:50,-0.5,19.17777778,66.52,,,,
7,4/10/22 23:00,1.8,19.21111111,66.58,,,,
8,4/10/22 23:10,1.8,19.25,66.65,,,,
9,4/10/22 23:20,12.5,19.28888889,66.72,,,,
10,4/10/22 23:30,-0.5,19.32777778,66.79,,,,
11,4/10/22 23:40,12.5,19.36111111,66.85,,,,
12,4/10/22 23:50,1.8,19.37777778,66.88,,,,
13,4/11/22 0:00,1.8,19.41111111,66.94,,,,
14,4/11/22 0:10,1.8,19.42222222,66.96,,,,
15,4/11/22 0:20,1.8,19.43888889,66.99,,,,
16,4/11/22 0:30,1.8,19.46111111,67.03,,,,
17,4/11/22 0:40,-0.5,19.47777778,67.06,,,,
18,4/11/22 0:50,1.8,19.47777778,67.06,,,,
19,4/11/22 1:00,-0.5,19.5,67.1,,,,
20,4/11/22 1:10,1.8,19.51111111,67.12,,,,
21,4/11/22 1:20,1.8,19.51111111,67.12,,,,
22,4/11/22 1:30,1.8,19.51111111,67.12,,,,
23,4/11/22 1:40,1.8,19.51111111,67.12,,,,
24,4/11/22 1:50,1.8,19.51111111,67.12,,,,
25,4/11/22 2:00,1.8,19.51111111,67.12,,,,
26,4/11/22 2:10,1.8,19.5,67.1,,,,
27,4/11/22 2:20,1.8,19.5,67.1,,,,
28,4/11/22 2:30,-0.5,19.47777778,67.06,,,,
29,4/11/22 2:40,1.8,19.47777778,67.06,,,,
30,4/11/22 2:50,1.8,19.47222222,67.05,,,,
31,4/11/22 3:00,1.8,19.46111111,67.03,,,,
32,4/11/22 3:10,2.6,19.46111111,67.03,,,,
33,4/11/22 3:20,12.5,19.42777778,66.97,,,,
34,4/11/22 3:30,1.8,19.42222222,66.96,,,,
35,4/11/22 3:40,1.8,19.41111111,66.94,,,,
