Plot Title: 10778332,,,,,,,
#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 10778332, SEN S/N: 10778332)","Temp, °C (LGR S/N: 10778332, SEN S/N: 10778332)",Coupler Detached (LGR S/N: 10778332),Coupler Attached (LGR S/N: 10778332),Host Connected (LGR S/N: 10778332),End Of File (LGR S/N: 10778332)
1,4/10/22 22:00,7.1,18.71,Logged,,,
2,4/10/22 22:10,4.8,18.75,,,,
3,4/10/22 22:20,7.1,18.81,,,,
4,4/10/22 22:30,7.1,18.86,,,,
5,4/10/22 22:40,7.1,18.9,,,,
6,4/10/22 22:50,3.7,18.95,,,,
7,4/10/22 23:00,7.1,18.98,,,,
8,4/10/22 23:10,7.1,19.01,,,,
9,4/10/22 23:20,7.1,19.03,,,,
10,4/10/22 23:30,7.1,19.06,,,,
11,4/10/22 23:40,7.1,19.07,,,,
12,4/10/22 23:50,7.1,19.09,,,,
13,4/11/22 0:00,7.1,19.1,,,,
14,4/11/22 0:10,3.7,19.11,,,,
15,4/11/22 0:20,7.1,19.11,,,,
16,4/11/22 0:30,7.1,19.13,,,,
17,4/11/22 0:40,7.1,19.13,,,,
18,4/11/22 0:50,7.1,19.13,,,,
19,4/11/22 1:00,7.1,19.13,,,,
20,4/11/22 1:10,7.1,19.11,,,,
21,4/11/22 1:20,7.1,19.11,,,,
22,4/11/22 1:30,7.1,19.11,,,,
23,4/11/22 1:40,7.1,19.1,,,,
24,4/11/22 1:50,7.1,19.09,,,,
25,4/11/22 2:00,7.1,19.09,,,,
26,4/11/22 2:10,7.1,19.07,,,,
27,4/11/22 2:20,7.1,19.06,,,,
28,4/11/22 2:30,3.7,19.05,,,,
29,4/11/22 2:40,7.1,19.03,,,,
30,4/11/22 2:50,7.1,19.02,,,,
31,4/11/22 3:00,7.1,19.01,,,,
32,4/11/22 3:10,4.8,18.98,,,,
33,4/11/22 3:20,4.8,18.95,,,,
34,4/11/22 3:30,7.1,18.94,,,,
35,4/11/22 3:40,7.1,18.91,,,,
36,4/11/22 3:50,7.1,18.91,,,,
37,4/11/22 4:00,7.1,18.89,,,,
38,4/11/22 4:10,3.4,18.86,,,,
39,4/11/22 4:20,3.7,18.85,,,,
40,4/11/22 4:30,7.1,18.82,,,,
41,4/11/22 4:40,7.1,18.79,,,,
42,4/11/22 4:50,7.1,18.77,,,,
43,4/11/22 5:00,7.1,18.75,,,,
44,4/11/22 5:10,7.1,18.73,,,,
45,4/11/22 5:20,3.7,18.7,,,,
46,4/11/22 5:30,3.7,18.67,,,,
47,4/11/22 5:40,7.1,18.66,,,,
48,4/11/22 5:50,7.1,18.62,,,,
49,4/11/22 6:00,7.1,18.61,,,,
50,4/11/22 6:10,7.1,18.58,,,,
51,4/11/22 6:20,7.1,18.55,,,,
52,4/11/22 6:30,4.8,18.53,,,,
53,4/11/22 6:40,3.7,18.51,,,,
54,4/11/22 6:50,7.1,18.5,,,,
55,4/11/22 7:00,7.1,18.47,,,,
56,4/11/22 7:10,7.1,18.45,,,,
57,4/11/22 7:20,7.1,17.9,,,,
58,4/11/22 7:30,7.1,16.21,,,,
59,4/11/22 7:40,7.1,15.21,,,,
60,4/11/22 7:50,7.1,14.71,,,,
61,4/11/22 8:00,4.9,14.44,,,,
62,4/11/22 8:10,7.1,14.27,,,,
63,4/11/22 8:20,3.7,13.44,,,,
64,4/11/22 8:30,7.1,12.54,,,,
65,4/11/22 8:40,7.1,11.73,,,,
66,4/11/22 8:50,7.1,10.9,,,,
67,4/11/22 9:00,3.7,10.15,,,,
68,4/11/22 9:10,7.1,9.72,,,,
69,4/11/22 9:20,7.1,9.9,,,,
70,4/11/22 9:30,7.1,9.96,,,,
71,4/11/22 9:40,3.7,9.76,,,,
72,4/11/22 9:50,7.1,9.29,,,,
73,4/11/22 10:00,7.1,8.17,,,,
74,4/11/22 10:10,7.1,7.22,,,,
75,4/11/22 10:20,7.1,6.94,,,,
76,4/11/22 10:30,7.1,7.1,,,,
77,4/11/22 10:40,7.1,6.98,,,,
78,4/11/22 10:50,7.1,6.67,,,,
79,4/11/22 11:00,7.1,6.38,,,,
80,4/11/22 11:10,7.1,6.7,,,,
81,4/11/22 11:20,3.8,6.8,,,,
82,4/11/22 11:30,3.8,6.92,,,,
83,4/11/22 11:40,7.1,7.25,,,,
84,4/11/22 11:50,3.8,7.69,,,,
85,4/11/22 12:00,3.8,8.77,,,,
86,4/11/22 12:10,3.7,9.49,,,,
87,4/11/22 12:20,3.7,10.14,,,,
88,4/11/22 12:30,7.1,10.67,,,,
89,4/11/22 12:40,7.1,11.14,,,,
90,4/11/22 12:50,7.1,11.61,,,,
91,4/11/22 13:00,7.1,12.12,,,,
92,4/11/22 13:10,7.1,12.67,,,,
93,4/11/22 13:20,7.1,13.21,,,,
94,4/11/22 13:30,7.1,13.67,,,,
95,4/11/22 13:40,3.7,14.14,,,,
96,4/11/22 13:50,3.7,14.23,,,,
97,4/11/22 14:00,7.1,13.92,,,,
98,4/11/22 14:10,7.1,13.33,,,,
99,4/11/22 14:20,7.1,11.07,,,,
100,4/11/22 14:30,7.1,9.55,,,,
101,4/11/22 14:40,13.2,8.6,,,,
102,4/11/22 14:50,5.3,8.01,,,,
103,4/11/22 15:00,3.8,7.65,,,,
104,4/11/22 15:10,3.8,7.41,,,,
105,4/11/22 15:20,3.4,7.27,,,,
106,4/11/22 15:30,3.4,7.18,,,,
107,4/11/22 15:40,3.8,7.17,,,,
108,4/11/22 15:50,3,7.14,,,,
109,4/11/22 16:00,3.8,7.11,,,,
110,4/11/22 16:10,3.8,7.13,,,,
111,4/11/22 16:20,3.8,7.14,,,,
112,4/11/22 16:30,3.8,7.14,,,,
113,4/11/22 16:40,3.8,7.14,,,,
114,4/11/22 16:50,3.8,7.17,,,,
115,4/11/22 17:00,3.8,7.19,,,,
116,4/11/22 17:10,3.8,7.22,,,,
117,4/11/22 17:20,3.8,7.25,,,,
118,4/11/22 17:30,3,7.29,,,,
119,4/11/22 17:40,3.8,7.3,,,,
120,4/11/22 17:50,3,7.33,,,,
121,4/11/22 18:00,3.8,7.35,,,,
122,4/11/22 18:10,3.8,7.38,,,,
123,4/11/22 18:20,3.8,7.38,,,,
124,4/11/22 18:30,3,7.41,,,,
125,4/11/22 18:40,3.8,7.43,,,,
126,4/11/22 18:50,3,7.46,,,,
127,4/11/22 19:00,3.8,7.47,,,,
128,4/11/22 19:10,3,7.47,,,,
129,4/11/22 19:20,3.8,7.49,,,,
130,4/11/22 19:30,3,7.49,,,,
131,4/11/22 19:40,3,7.47,,,,
132,4/11/22 19:50,3,7.49,,,,
133,4/11/22 20:00,3,7.47,,,,
134,4/11/22 20:10,3,7.47,,,,
135,4/11/22 20:20,3,7.5,,,,
136,4/11/22 20:30,2.6,7.46,,,,
137,4/11/22 20:40,3.8,7.45,,,,
138,4/11/22 20:50,3.8,7.47,,,,
139,4/11/22 21:00,5.6,7.46,,,,
140,4/11/22 21:10,24.9,7.41,,,,
141,4/11/22 21:20,54.7,7.39,,,,
142,4/11/22 21:30,92.9,7.38,,,,
143,4/11/22 21:40,83.4,7.39,,,,
144,4/11/22 21:50,76.2,7.38,,,,
145,4/11/22 22:00,70.5,7.38,,,,
146,4/11/22 22:10,67.1,7.39,,,,
147,4/11/22 22:20,64.9,7.38,,,,
148,4/11/22 22:30,63.7,7.38,,,,
149,4/11/22 22:40,63,7.37,,,,
150,4/11/22 22:50,62.6,7.34,,,,
