Plot Title: 21135136,,,,,,,
#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 21135136, SEN S/N: 21135136)","Temp, °C (LGR S/N: 21135136, SEN S/N: 21135136)",Coupler Detached (LGR S/N: 21135136),Coupler Attached (LGR S/N: 21135136),Host Connected (LGR S/N: 21135136),End Of File (LGR S/N: 21135136)
1,5/24/22 8:40,7.7,13.47,,,,
2,5/24/22 8:40,,,Logged,,,
3,5/24/22 8:45,5.5,14.46,,,,
4,5/24/22 8:50,5.5,14.17,,,,
5,5/24/22 8:55,7.7,13.77,,,,
6,5/24/22 9:00,7.7,13.44,,,,
7,5/24/22 9:05,7.7,13.17,,,,
8,5/24/22 9:10,7.7,12.95,,,,
9,5/24/22 9:15,7.7,12.77,,,,
10,5/24/22 9:20,7.7,12.55,,,,
11,5/24/22 9:25,7.7,12.42,,,,
12,5/24/22 9:30,5.5,12.6,,,,
13,5/24/22 9:35,7.7,12.74,,,,
14,5/24/22 9:40,7.7,12.9,,,,
15,5/24/22 9:45,5.5,12.95,,,,
16,5/24/22 9:50,7.7,13,,,,
17,5/24/22 9:55,7.7,13.05,,,,
18,5/24/22 10:00,7.7,13.09,,,,
19,5/24/22 10:05,7.7,13.1,,,,
20,5/24/22 10:10,7.7,13.1,,,,
21,5/24/22 10:15,7.7,13.09,,,,
22,5/24/22 10:20,7.7,13.06,,,,
23,5/24/22 10:25,7.7,13.05,,,,
24,5/24/22 10:30,7.7,13.01,,,,
25,5/24/22 10:35,7.7,12.97,,,,
26,5/24/22 10:40,7.7,12.95,,,,
27,5/24/22 10:45,7.7,12.91,,,,
28,5/24/22 10:50,7.7,12.87,,,,
29,5/24/22 10:55,7.7,12.83,,,,
30,5/24/22 11:00,7.7,12.79,,,,
31,5/24/22 11:05,7.7,12.74,,,,
32,5/24/22 11:10,7.7,12.69,,,,
33,5/24/22 11:15,7.7,12.65,,,,
34,5/24/22 11:20,7.7,12.6,,,,
35,5/24/22 11:25,7.7,12.55,,,,
36,5/24/22 11:30,7.7,12.5,,,,
37,5/24/22 11:35,7.7,12.46,,,,
38,5/24/22 11:40,5.5,12.41,,,,
39,5/24/22 11:45,7.7,12.37,,,,
40,5/24/22 11:50,7.7,12.33,,,,
41,5/24/22 11:55,7.7,12.33,,,,
42,5/24/22 12:00,7.7,12.65,,,,
43,5/24/22 12:05,5.5,12.83,,,,
44,5/24/22 12:10,7.7,13.14,,,,
45,5/24/22 12:15,7.7,13.19,,,,
46,5/24/22 12:20,7.7,13.1,,,,
47,5/24/22 12:25,7.7,13.33,,,,
48,5/24/22 12:30,5.5,14.16,,,,
49,5/24/22 12:35,7.6,14.76,,,,
50,5/24/22 12:40,7.6,15.13,,,,
51,5/24/22 12:45,7.6,16.21,,,,
52,5/24/22 12:50,7.6,17.65,,,,
53,5/24/22 12:55,7.6,16.94,,,,
54,5/24/22 13:00,7.6,16.72,,,,
55,5/24/22 13:05,7.6,16.52,,,,
56,5/24/22 13:10,7.6,16.11,,,,
57,5/24/22 13:15,7.6,15.16,,,,
58,5/24/22 13:20,5.5,14.39,,,,
59,5/24/22 13:25,7.7,14.48,,,,
60,5/24/22 13:30,5.5,14.71,,,,
61,5/24/22 13:35,7.7,14.05,,,,
62,5/24/22 13:40,7.7,13.37,,,,
63,5/24/22 13:45,7.7,12.46,,,,
64,5/24/22 13:50,7.7,11.48,,,,
65,5/24/22 13:55,7.7,10.78,,,,
66,5/24/22 14:00,7.7,10.06,,,,
67,5/24/22 14:05,7.7,9.49,,,,
68,5/24/22 14:10,5.6,9.17,,,,
69,5/24/22 14:15,7.7,8.94,,,,
70,5/24/22 14:20,7.7,8.84,,,,
71,5/24/22 14:25,7.7,8.79,,,,
72,5/24/22 14:30,5.5,10.1,,,,
73,5/24/22 14:35,12.3,7.31,,,,
74,5/24/22 14:40,14.1,7.72,,,,
75,5/24/22 14:45,22,3.45,,,,
76,5/24/22 14:50,22,2.89,,,,
77,5/24/22 14:55,22.4,2.49,,,,
78,5/24/22 15:00,22.4,2.13,,,,
79,5/24/22 15:05,22.4,1.96,,,,
80,5/24/22 15:10,22.1,1.82,,,,
81,5/24/22 15:15,21.3,1.73,,,,
82,5/24/22 15:20,21,1.67,,,,
83,5/24/22 15:25,20.3,1.63,,,,
84,5/24/22 15:30,20.3,1.59,,,,
85,5/24/22 15:35,20.3,1.58,,,,
86,5/24/22 15:40,20.6,1.55,,,,
87,5/24/22 15:45,20.6,1.54,,,,
88,5/24/22 15:50,20.6,1.53,,,,
89,5/24/22 15:55,20.3,1.51,,,,
90,5/24/22 16:00,20.3,1.51,,,,
91,5/24/22 16:05,20.3,1.5,,,,
92,5/24/22 16:10,20.3,1.49,,,,
93,5/24/22 16:15,20.3,1.49,,,,
94,5/24/22 16:20,20.3,1.48,,,,
95,5/24/22 16:25,20.3,1.48,,,,
96,5/24/22 16:30,20.6,1.48,,,,
97,5/24/22 16:35,20.6,1.46,,,,
98,5/24/22 16:40,20.6,1.45,,,,
99,5/24/22 16:45,20.6,1.46,,,,
100,5/24/22 16:50,21,1.45,,,,
101,5/24/22 16:55,21,1.45,,,,
102,5/24/22 17:00,21,1.48,,,,
103,5/24/22 17:05,21,1.46,,,,
104,5/24/22 17:10,21.4,1.45,,,,
105,5/24/22 17:15,21.4,1.45,,,,
106,5/24/22 17:20,21,1.45,,,,
107,5/24/22 17:25,21,1.45,,,,
108,5/24/22 17:30,21.4,1.45,,,,
109,5/24/22 17:35,21.4,1.45,,,,
110,5/24/22 17:40,21,1.45,,,,
111,5/24/22 17:45,21.4,1.45,,,,
112,5/24/22 17:50,21,1.45,,,,
113,5/24/22 17:55,21,1.44,,,,
114,5/24/22 18:00,21,1.44,,,,
115,5/24/22 18:05,21,1.44,,,,
116,5/24/22 18:10,21,1.45,,,,
117,5/24/22 18:15,21,1.44,,,,
118,5/24/22 18:20,21,1.44,,,,
119,5/24/22 18:25,21,1.44,,,,
120,5/24/22 18:30,21.4,1.44,,,,
121,5/24/22 18:35,21,1.42,,,,
122,5/24/22 18:40,21,1.44,,,,
123,5/24/22 18:45,21,1.44,,,,
124,5/24/22 18:50,21,1.44,,,,
125,5/24/22 18:55,21,1.44,,,,
126,5/24/22 19:00,21,1.42,,,,
127,5/24/22 19:05,20.6,1.44,,,,
128,5/24/22 19:10,20.6,1.44,,,,
129,5/24/22 19:15,20.6,1.44,,,,
130,5/24/22 19:20,21,1.44,,,,
131,5/24/22 19:25,20.6,1.44,,,,
132,5/24/22 19:30,20.6,1.44,,,,
133,5/24/22 19:35,21,1.42,,,,
134,5/24/22 19:40,20.6,1.42,,,,
135,5/24/22 19:45,20.6,1.44,,,,
136,5/24/22 19:50,20.6,1.42,,,,
137,5/24/22 19:55,20.6,1.42,,,,
138,5/24/22 20:00,21,1.44,,,,
139,5/24/22 20:05,20.6,1.44,,,,
140,5/24/22 20:10,20.6,1.42,,,,
141,5/24/22 20:15,20.6,1.42,,,,
142,5/24/22 20:20,20.6,1.42,,,,
143,5/24/22 20:25,20.6,1.42,,,,
144,5/24/22 20:30,20.6,1.42,,,,
145,5/24/22 20:35,20.6,1.42,,,,
146,5/24/22 20:40,20.3,1.42,,,,
147,5/24/22 20:45,20.6,1.42,,,,
148,5/24/22 20:50,20.3,1.42,,,,
149,5/24/22 20:55,20.3,1.42,,,,
150,5/24/22 21:00,20.3,1.42,,,,
151,5/24/22 21:05,20.3,1.41,,,,
152,5/24/22 21:10,20.3,1.42,,,,
153,5/24/22 21:15,20.3,1.42,,,,
154,5/24/22 21:20,20.3,1.42,,,,
155,5/24/22 21:25,20.3,1.42,,,,
156,5/24/22 21:30,20.3,1.41,,,,
157,5/24/22 21:35,20.3,1.42,,,,
158,5/24/22 21:40,20.3,1.41,,,,
159,5/24/22 21:45,20.3,1.42,,,,
160,5/24/22 21:50,20.3,1.41,,,,
161,5/24/22 21:55,20.3,1.41,,,,
162,5/24/22 22:00,19.9,1.42,,,,
163,5/24/22 22:05,19.9,1.41,,,,
164,5/24/22 22:10,19.9,1.42,,,,
165,5/24/22 22:15,19.9,1.41,,,,
166,5/24/22 22:20,20.3,1.41,,,,
167,5/24/22 22:25,19.9,1.41,,,,
168,5/24/22 22:30,19.9,1.41,,,,
169,5/24/22 22:35,19.9,1.41,,,,
170,5/24/22 22:40,19.9,1.41,,,,
171,5/24/22 22:45,19.9,1.41,,,,
172,5/24/22 22:50,19.9,1.42,,,,
173,5/24/22 22:55,19.9,1.42,,,,
174,5/24/22 23:00,19.9,1.41,,,,
175,5/24/22 23:05,19.9,1.41,,,,
176,5/24/22 23:10,19.9,1.41,,,,
177,5/24/22 23:15,19.9,1.41,,,,
178,5/24/22 23:20,19.6,1.41,,,,
179,5/24/22 23:25,19.6,1.41,,,,
180,5/24/22 23:30,19.6,1.41,,,,
181,5/24/22 23:35,19.2,1.42,,,,
182,5/24/22 23:40,19.6,1.42,,,,
183,5/24/22 23:45,19.2,1.42,,,,
184,5/24/22 23:50,19.2,1.41,,,,
185,5/24/22 23:55,19.2,1.41,,,,
186,5/25/22 0:00,19.6,1.41,,,,
187,5/25/22 0:05,19.2,1.41,,,,
188,5/25/22 0:10,19.2,1.42,,,,
189,5/25/22 0:15,19.6,1.41,,,,
190,5/25/22 0:20,19.6,1.4,,,,
191,5/25/22 0:25,19.2,1.41,,,,
192,5/25/22 0:30,19.6,1.4,,,,
193,5/25/22 0:35,19.6,1.41,,,,
194,5/25/22 0:40,19.2,1.42,,,,
195,5/25/22 0:45,19.6,1.41,,,,
196,5/25/22 0:50,19.6,1.41,,,,
197,5/25/22 0:55,19.6,1.42,,,,
198,5/25/22 1:00,19.6,1.41,,,,
199,5/25/22 1:05,19.2,1.41,,,,
200,5/25/22 1:10,19.2,1.41,,,,
201,5/25/22 1:15,19.6,1.41,,,,
202,5/25/22 1:20,19.6,1.41,,,,
203,5/25/22 1:25,19.6,1.4,,,,
204,5/25/22 1:30,19.6,1.41,,,,
205,5/25/22 1:35,19.6,1.41,,,,
206,5/25/22 1:40,19.6,1.41,,,,
207,5/25/22 1:45,19.6,1.41,,,,
208,5/25/22 1:50,19.6,1.41,,,,
209,5/25/22 1:55,19.6,1.41,,,,
210,5/25/22 2:00,19.6,1.41,,,,
211,5/25/22 2:05,19.6,1.41,,,,
212,5/25/22 2:10,19.2,1.41,,,,
213,5/25/22 2:15,19.6,1.4,,,,
214,5/25/22 2:20,19.6,1.41,,,,
215,5/25/22 2:25,19.2,1.42,,,,
216,5/25/22 2:30,19.6,1.41,,,,
217,5/25/22 2:35,19.2,1.41,,,,
218,5/25/22 2:40,19.6,1.41,,,,
219,5/25/22 2:45,19.2,1.41,,,,
220,5/25/22 2:50,19.2,1.4,,,,
221,5/25/22 2:55,19.6,1.4,,,,
222,5/25/22 3:00,19.2,1.4,,,,
223,5/25/22 3:05,19.2,1.41,,,,
224,5/25/22 3:10,19.2,1.41,,,,
225,5/25/22 3:15,19.2,1.4,,,,
226,5/25/22 3:20,19.2,1.4,,,,
227,5/25/22 3:25,19.2,1.41,,,,
228,5/25/22 3:30,19.2,1.4,,,,
229,5/25/22 3:35,19.2,1.4,,,,
230,5/25/22 3:40,19.2,1.41,,,,
231,5/25/22 3:45,19.2,1.4,,,,
232,5/25/22 3:50,19.2,1.41,,,,
233,5/25/22 3:55,19.2,1.4,,,,
234,5/25/22 4:00,19.2,1.41,,,,
235,5/25/22 4:05,19.2,1.4,,,,
236,5/25/22 4:10,19.2,1.4,,,,
237,5/25/22 4:15,19.2,1.4,,,,
238,5/25/22 4:20,19.2,1.4,,,,
239,5/25/22 4:25,19.2,1.41,,,,
240,5/25/22 4:30,19.2,1.39,,,,
241,5/25/22 4:35,19.2,1.39,,,,
242,5/25/22 4:40,19.2,1.4,,,,
243,5/25/22 4:45,19.2,1.41,,,,
244,5/25/22 4:50,19.2,1.39,,,,
245,5/25/22 4:55,19.2,1.41,,,,
246,5/25/22 5:00,18.8,1.4,,,,
247,5/25/22 5:05,19.2,1.4,,,,
248,5/25/22 5:10,19.2,1.41,,,,
249,5/25/22 5:15,19.2,1.4,,,,
250,5/25/22 5:20,19.2,1.4,,,,
251,5/25/22 5:25,19.2,1.4,,,,
252,5/25/22 5:30,19.2,1.4,,,,
253,5/25/22 5:35,19.2,1.4,,,,
254,5/25/22 5:40,19.2,1.4,,,,
255,5/25/22 5:45,19.2,1.41,,,,
