Plot Title: 10778334,,,,,,,
#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 10778334, SEN S/N: 10778334)","Temp, °C (LGR S/N: 10778334, SEN S/N: 10778334)",Coupler Detached (LGR S/N: 10778334),Coupler Attached (LGR S/N: 10778334),Host Connected (LGR S/N: 10778334),End Of File (LGR S/N: 10778334)
1,4/10/22 22:00,1.5,17.98,Logged,,,
2,4/10/22 22:10,1.9,18.05,,,,
3,4/10/22 22:20,1.9,18.11,,,,
4,4/10/22 22:30,5.6,18.19,,,,
5,4/10/22 22:40,1.9,18.24,,,,
6,4/10/22 22:50,1.9,18.3,,,,
7,4/10/22 23:00,1.9,18.36,,,,
8,4/10/22 23:10,5.6,18.38,,,,
9,4/10/22 23:20,1.9,18.45,,,,
10,4/10/22 23:30,5.6,18.48,,,,
11,4/10/22 23:40,5.6,18.52,,,,
12,4/10/22 23:50,5.6,18.56,,,,
13,4/11/22 0:00,5.6,18.59,,,,
14,4/11/22 0:10,5.6,18.61,,,,
15,4/11/22 0:20,5.6,18.64,,,,
16,4/11/22 0:30,1.9,18.67,,,,
17,4/11/22 0:40,1.9,18.68,,,,
18,4/11/22 0:50,1.9,18.69,,,,
19,4/11/22 1:00,1.5,18.72,,,,
20,4/11/22 1:10,5.6,18.73,,,,
21,4/11/22 1:20,5.6,18.73,,,,
22,4/11/22 1:30,5.6,18.74,,,,
23,4/11/22 1:40,1.9,18.74,,,,
24,4/11/22 1:50,5.6,18.74,,,,
25,4/11/22 2:00,5.6,18.74,,,,
26,4/11/22 2:10,1.9,18.74,,,,
27,4/11/22 2:20,1.9,18.74,,,,
28,4/11/22 2:30,5.6,18.74,,,,
29,4/11/22 2:40,5.6,18.73,,,,
30,4/11/22 2:50,1.9,18.73,,,,
31,4/11/22 3:00,1.9,18.72,,,,
32,4/11/22 3:10,1.9,18.7,,,,
33,4/11/22 3:20,1.9,18.7,,,,
34,4/11/22 3:30,5.6,18.68,,,,
35,4/11/22 3:40,1.9,18.68,,,,
36,4/11/22 3:50,1.9,18.65,,,,
37,4/11/22 4:00,1.9,18.64,,,,
38,4/11/22 4:10,1.9,18.63,,,,
39,4/11/22 4:20,5.6,18.6,,,,
40,4/11/22 4:30,1.9,18.59,,,,
41,4/11/22 4:40,1.9,18.58,,,,
42,4/11/22 4:50,1.9,18.55,,,,
43,4/11/22 5:00,5.6,18.52,,,,
44,4/11/22 5:10,5.6,18.51,,,,
45,4/11/22 5:20,1.9,18.48,,,,
46,4/11/22 5:30,1.9,18.47,,,,
47,4/11/22 5:40,1.9,18.45,,,,
48,4/11/22 5:50,1.9,18.42,,,,
49,4/11/22 6:00,1.9,18.38,,,,
50,4/11/22 6:10,3,18.37,,,,
51,4/11/22 6:20,1.9,18.36,,,,
52,4/11/22 6:30,5.6,18.33,,,,
53,4/11/22 6:40,5.6,18.33,,,,
54,4/11/22 6:50,1.9,18.29,,,,
55,4/11/22 7:00,5.6,18.27,,,,
56,4/11/22 7:10,5.6,18.25,,,,
57,4/11/22 7:20,5.6,18.23,,,,
58,4/11/22 7:30,5.6,18.19,,,,
59,4/11/22 7:40,1.9,18.11,,,,
60,4/11/22 7:50,5.6,17.96,,,,
61,4/11/22 8:00,5.6,17.66,,,,
62,4/11/22 8:10,1.9,17.19,,,,
63,4/11/22 8:20,1.5,16.65,,,,
64,4/11/22 8:30,1.9,15.83,,,,
65,4/11/22 8:40,1.9,14.07,,,,
66,4/11/22 8:50,1.5,12.51,,,,
67,4/11/22 9:00,1.9,11.26,,,,
68,4/11/22 9:10,1.9,10.65,,,,
69,4/11/22 9:20,5.7,10.82,,,,
70,4/11/22 9:30,1.5,11.03,,,,
71,4/11/22 9:40,5.7,11.24,,,,
72,4/11/22 9:50,1.9,10.44,,,,
73,4/11/22 10:00,5.7,8.93,,,,
74,4/11/22 10:10,5.7,7.67,,,,
75,4/11/22 10:20,5.7,6.25,,,,
76,4/11/22 10:30,5.7,5.32,,,,
77,4/11/22 10:40,5.7,4.65,,,,
78,4/11/22 10:50,1.9,4.13,,,,
79,4/11/22 11:00,5.7,3.71,,,,
80,4/11/22 11:10,1.9,4.11,,,,
81,4/11/22 11:20,1.9,4.79,,,,
82,4/11/22 11:30,1.9,5.36,,,,
83,4/11/22 11:40,5.7,5.89,,,,
84,4/11/22 11:50,1.9,6.33,,,,
85,4/11/22 12:00,1.9,7.05,,,,
86,4/11/22 12:10,1.9,7.64,,,,
87,4/11/22 12:20,1.9,8.19,,,,
88,4/11/22 12:30,1.9,8.69,,,,
89,4/11/22 12:40,5.7,9.15,,,,
90,4/11/22 12:50,1.9,9.61,,,,
91,4/11/22 13:00,5.7,10.07,,,,
92,4/11/22 13:10,1.9,10.56,,,,
93,4/11/22 13:20,1.9,11.05,,,,
94,4/11/22 13:30,5.7,11.52,,,,
95,4/11/22 13:40,1.9,12.05,,,,
96,4/11/22 13:50,1.9,12.23,,,,
97,4/11/22 14:00,5.7,12.16,,,,
98,4/11/22 14:10,1.9,11.97,,,,
99,4/11/22 14:20,3,11.92,,,,
100,4/11/22 14:30,1.9,8.17,,,,
101,4/11/22 14:40,5.7,6.12,,,,
102,4/11/22 14:50,8.8,4.62,,,,
103,4/11/22 15:00,8.8,4.03,,,,
104,4/11/22 15:10,1.9,3.82,,,,
105,4/11/22 15:20,21,3.79,,,,
106,4/11/22 15:30,21,3.81,,,,
107,4/11/22 15:40,21,3.91,,,,
108,4/11/22 15:50,21,4.07,,,,
109,4/11/22 16:00,21,4.2,,,,
110,4/11/22 16:10,21,4.35,,,,
111,4/11/22 16:20,1.9,4.5,,,,
112,4/11/22 16:30,21,4.56,,,,
113,4/11/22 16:40,8.8,4.57,,,,
114,4/11/22 16:50,8.8,4.51,,,,
115,4/11/22 17:00,21,4.42,,,,
116,4/11/22 17:10,21,4.31,,,,
117,4/11/22 17:20,8.8,4.2,,,,
118,4/11/22 17:30,1.9,4.13,,,,
119,4/11/22 17:40,5.7,4.07,,,,
120,4/11/22 17:50,21,3.99,,,,
121,4/11/22 18:00,8.8,3.88,,,,
122,4/11/22 18:10,21,3.8,,,,
123,4/11/22 18:20,8.8,3.73,,,,
124,4/11/22 18:30,2.3,3.64,,,,
125,4/11/22 18:40,21,3.53,,,,
126,4/11/22 18:50,21,3.46,,,,
127,4/11/22 19:00,21,3.42,,,,
128,4/11/22 19:10,8.8,3.36,,,,
129,4/11/22 19:20,21,3.3,,,,
130,4/11/22 19:30,8.8,3.24,,,,
131,4/11/22 19:40,21,3.17,,,,
132,4/11/22 19:50,21,3.13,,,,
133,4/11/22 20:00,8.8,3.04,,,,
134,4/11/22 20:10,21,3,,,,
135,4/11/22 20:20,2.3,2.93,,,,
136,4/11/22 20:30,21,2.87,,,,
137,4/11/22 20:40,2.3,2.82,,,,
138,4/11/22 20:50,21,2.78,,,,
139,4/11/22 21:00,2.3,2.74,,,,
140,4/11/22 21:10,2.3,2.71,,,,
141,4/11/22 21:20,2.3,2.69,,,,
142,4/11/22 21:30,2.3,2.65,,,,
143,4/11/22 21:40,1.1,2.62,,,,
144,4/11/22 21:50,2.3,2.62,,,,
145,4/11/22 22:00,21,2.61,,,,
146,4/11/22 22:10,1.9,2.62,,,,
147,4/11/22 22:20,2.3,2.64,,,,
148,4/11/22 22:30,8.8,2.64,,,,
149,4/11/22 22:40,2.3,2.65,,,,
150,4/11/22 22:50,0.7,2.68,,,,
151,4/11/22 23:00,2.3,2.68,,,,
152,4/11/22 23:10,2.3,2.68,,,,
153,4/11/22 23:20,2.3,2.65,,,,
154,4/11/22 23:30,21,2.62,,,,
155,4/11/22 23:40,2.3,2.59,,,,
156,4/11/22 23:50,2.3,2.57,,,,
157,4/12/22 0:00,2.3,2.61,,,,
158,4/12/22 0:10,2.3,2.61,,,,
159,4/12/22 0:20,0.7,2.62,,,,
160,4/12/22 0:30,0.7,2.61,,,,
161,4/12/22 0:40,0.7,2.57,,,,
162,4/12/22 0:50,2.3,2.53,,,,
163,4/12/22 1:00,0.7,2.51,,,,
164,4/12/22 1:10,0.7,2.47,,,,
165,4/12/22 1:20,2.3,2.46,,,,
166,4/12/22 1:30,2.3,2.42,,,,
167,4/12/22 1:40,0.7,2.38,,,,
168,4/12/22 1:50,0.7,2.34,,,,
169,4/12/22 2:00,2.3,2.3,,,,
170,4/12/22 2:10,0.7,2.26,,,,
171,4/12/22 2:20,2.3,2.24,,,,
172,4/12/22 2:30,1.9,2.21,,,,
173,4/12/22 2:40,0.7,2.17,,,,
174,4/12/22 2:50,0.7,2.13,,,,
175,4/12/22 3:00,0.7,2.1,,,,
176,4/12/22 3:10,0.7,2.11,,,,
177,4/12/22 3:20,0.7,2.08,,,,
178,4/12/22 3:30,0.7,2.07,,,,
179,4/12/22 3:40,0.7,2.1,,,,
180,4/12/22 3:50,0.7,2.07,,,,
181,4/12/22 4:00,1.9,2.1,,,,
182,4/12/22 4:10,0.7,2.11,,,,
183,4/12/22 4:20,0.7,2.1,,,,
184,4/12/22 4:30,2.3,2.08,,,,
185,4/12/22 4:40,0.7,2.08,,,,
186,4/12/22 4:50,0.7,2.08,,,,
187,4/12/22 5:00,2.3,2,,,,
188,4/12/22 5:10,2.3,1.86,,,,
189,4/12/22 5:20,8.8,1.64,,,,
190,4/12/22 5:30,2.3,1.44,,,,
191,4/12/22 5:40,0.8,1.28,,,,
192,4/12/22 5:50,2.3,1.1,,,,
193,4/12/22 6:00,0.8,0.95,,,,
194,4/12/22 6:10,2.3,0.79,,,,
195,4/12/22 6:20,2.3,0.64,,,,
196,4/12/22 6:30,1.1,0.51,,,,
197,4/12/22 6:40,1.1,0.38,,,,
