#,"Date Time, GMT-06:00","Full Range, μS/cm (LGR S/N: 10778333, SEN S/N: 10778333)","Temp, °C (LGR S/N: 10778333, SEN S/N: 10778333)",Coupler Detached (LGR S/N: 10778333),Coupler Attached (LGR S/N: 10778333),Host Connected (LGR S/N: 10778333),End Of File (LGR S/N: 10778333)
1,4/10/22 22:00,5.5,18.23,Logged,,,
2,4/10/22 22:10,5.5,18.31,,,,
3,4/10/22 22:20,5.5,18.39,,,,
4,4/10/22 22:30,1.7,18.47,,,,
5,4/10/22 22:40,5.5,18.55,,,,
6,4/10/22 22:50,5.5,18.61,,,,
7,4/10/22 23:00,5.5,18.69,,,,
8,4/10/22 23:10,5.5,18.74,,,,
9,4/10/22 23:20,5.5,18.81,,,,
10,4/10/22 23:30,1.7,18.87,,,,
11,4/10/22 23:40,5.5,18.92,,,,
12,4/10/22 23:50,1.7,18.97,,,,
13,4/11/22 0:00,1.7,19.01,,,,
14,4/11/22 0:10,5.5,19.05,,,,
15,4/11/22 0:20,5.5,19.09,,,,
16,4/11/22 0:30,5.5,19.13,,,,
17,4/11/22 0:40,5.5,19.17,,,,
18,4/11/22 0:50,5.5,19.2,,,,
19,4/11/22 1:00,5.5,19.22,,,,
20,4/11/22 1:10,5.5,19.25,,,,
21,4/11/22 1:20,5.5,19.26,,,,
22,4/11/22 1:30,5.5,19.29,,,,
23,4/11/22 1:40,5.5,19.3,,,,
24,4/11/22 1:50,5.5,19.31,,,,
25,4/11/22 2:00,1.7,19.33,,,,
26,4/11/22 2:10,1.7,19.33,,,,
27,4/11/22 2:20,1.7,19.34,,,,
28,4/11/22 2:30,5.5,19.34,,,,
29,4/11/22 2:40,5.5,19.35,,,,
30,4/11/22 2:50,5.5,19.35,,,,
31,4/11/22 3:00,5.5,19.34,,,,
32,4/11/22 3:10,5.5,19.34,,,,
33,4/11/22 3:20,5.5,19.34,,,,
34,4/11/22 3:30,5.5,19.34,,,,
35,4/11/22 3:40,5.5,19.33,,,,
36,4/11/22 3:50,5.5,19.31,,,,
37,4/11/22 4:00,5.5,19.3,,,,
38,4/11/22 4:10,5.5,19.3,,,,
39,4/11/22 4:20,5.5,19.29,,,,
40,4/11/22 4:30,5.5,19.27,,,,
41,4/11/22 4:40,5.5,19.26,,,,
42,4/11/22 4:50,5.5,19.23,,,,
43,4/11/22 5:00,5.5,19.22,,,,
44,4/11/22 5:10,1.7,19.21,,,,
45,4/11/22 5:20,5.5,19.18,,,,
46,4/11/22 5:30,3.2,19.17,,,,
47,4/11/22 5:40,5.5,19.16,,,,
48,4/11/22 5:50,1.7,19.13,,,,
49,4/11/22 6:00,5.5,19.12,,,,
50,4/11/22 6:10,1.7,19.09,,,,
51,4/11/22 6:20,5.5,19.08,,,,
52,4/11/22 6:30,5.5,19.05,,,,
53,4/11/22 6:40,5.5,19.03,,,,
54,4/11/22 6:50,5.5,19,,,,
55,4/11/22 7:00,5.5,18.99,,,,
56,4/11/22 7:10,1.7,18.99,,,,
57,4/11/22 7:20,5.5,19.05,,,,
58,4/11/22 7:30,5.5,18.99,,,,
59,4/11/22 7:40,5.5,18.73,,,,
60,4/11/22 7:50,5.5,18.34,,,,
61,4/11/22 8:00,5.5,17.92,,,,
62,4/11/22 8:10,5.5,17.56,,,,
63,4/11/22 8:20,1.7,17.14,,,,
64,4/11/22 8:30,5.5,16.47,,,,
65,4/11/22 8:40,5.5,15.32,,,,
66,4/11/22 8:50,5.5,14.12,,,,
67,4/11/22 9:00,5.5,12.93,,,,
68,4/11/22 9:10,5.5,11.86,,,,
69,4/11/22 9:20,5.5,10.96,,,,
70,4/11/22 9:30,3.2,10.21,,,,
71,4/11/22 9:40,5.5,9.57,,,,
72,4/11/22 9:50,1.7,8.62,,,,
73,4/11/22 10:00,5.5,7.48,,,,
74,4/11/22 10:10,5.6,6.49,,,,
75,4/11/22 10:20,5.6,5.45,,,,
76,4/11/22 10:30,1.7,4.87,,,,
77,4/11/22 10:40,1.7,4.49,,,,
78,4/11/22 10:50,1.7,4.2,,,,
79,4/11/22 11:00,5.6,3.97,,,,
80,4/11/22 11:10,5.6,4.81,,,,
81,4/11/22 11:20,1.7,5.97,,,,
82,4/11/22 11:30,1.7,6.65,,,,
83,4/11/22 11:40,1.7,7.18,,,,
84,4/11/22 11:50,5.5,7.67,,,,
85,4/11/22 12:00,5.5,15.86,,,,
86,4/11/22 12:10,5.5,14.75,,,,
87,4/11/22 12:20,5.5,13.88,,,,
88,4/11/22 12:30,5.5,13.53,,,,
89,4/11/22 12:40,5.5,13.48,,,,
90,4/11/22 12:50,5.5,13.67,,,,
91,4/11/22 13:00,5.5,13.99,,,,
92,4/11/22 13:10,1.7,14.4,,,,
93,4/11/22 13:20,5.5,14.86,,,,
94,4/11/22 13:30,1.7,15.22,,,,
95,4/11/22 13:40,5.5,15.3,,,,
