MiniDOT Logger Concatenated Data File
Sensor:             7450-931212
Concatenation Date: 2021Oct15 13:27:50 MDT

DO concentration compensated for salinity: 0.01 (ppt)
Saturation computed at elevation: 2988.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1620837840,           2021-05-12 16:44:00,           2021-05-12 10:44:00,      3.390000,     13.285000,          7.404541,                   102.742217,      0.984000
                1620838440,           2021-05-12 16:54:00,           2021-05-12 10:54:00,      3.400000,     12.925000,          7.461536,                   102.688442,      0.984000
                1620839040,           2021-05-12 17:04:00,           2021-05-12 11:04:00,      3.410000,     12.634000,          7.511531,                   102.690712,      0.984000
                1620839640,           2021-05-12 17:14:00,           2021-05-12 11:14:00,      3.400000,     12.272000,          7.561527,                   102.517319,      0.982000
                1620840240,           2021-05-12 17:24:00,           2021-05-12 11:24:00,      3.410000,     12.076000,          7.595524,                   102.513097,      0.982000
                1620840840,           2021-05-12 17:34:00,           2021-05-12 11:34:00,      3.410000,     12.023000,          7.607523,                   102.549171,      0.983000
                1620841440,           2021-05-12 17:44:00,           2021-05-12 11:44:00,      3.410000,     12.121000,          7.559526,                   102.133488,      0.981000
                1620842040,           2021-05-12 17:54:00,           2021-05-12 11:54:00,      3.410000,     12.334000,          7.462533,                   101.319878,      0.982000
                1620842640,           2021-05-12 18:04:00,           2021-05-12 12:04:00,      3.420000,     12.749000,          7.391539,                   101.316819,      0.982000
                1620843240,           2021-05-12 18:14:00,           2021-05-12 12:14:00,      3.420000,     13.617000,          7.246552,                   101.308279,      0.982000
                1620843840,           2021-05-12 18:24:00,           2021-05-12 12:24:00,      3.420000,     14.693000,          7.079566,                   101.385984,      0.982000
                1620844440,           2021-05-12 18:34:00,           2021-05-12 12:34:00,      3.420000,     15.852000,          6.903580,                   101.418360,      0.982000
                1620845040,           2021-05-12 18:44:00,           2021-05-12 12:44:00,      3.420000,     17.289000,          6.699597,                   101.519806,      0.982000
                1620845640,           2021-05-12 18:54:00,           2021-05-12 12:54:00,      3.420000,     18.066000,          6.587607,                   101.482216,      0.982000
                1620846240,           2021-05-12 19:04:00,           2021-05-12 13:04:00,      3.420000,     18.394000,          6.536611,                   101.394299,      0.982000
                1620846840,           2021-05-12 19:14:00,           2021-05-12 13:14:00,      3.420000,     18.074000,          6.589606,                   101.530161,      0.979000
                1620847440,           2021-05-12 19:24:00,           2021-05-12 13:24:00,      3.440000,      3.175000,          9.001390,                    97.276869,      0.971000
                1620848040,           2021-05-12 19:34:00,           2021-05-12 13:34:00,      3.430000,      2.352000,          9.331363,                    98.613430,      0.979000
                1620848640,           2021-05-12 19:44:00,           2021-05-12 13:44:00,      3.430000,      2.078000,          9.412356,                    98.724466,      0.981000
                1620849240,           2021-05-12 19:54:00,           2021-05-12 13:54:00,      3.430000,      1.982000,          9.447353,                    98.830043,      0.981000
                1620849840,           2021-05-12 20:04:00,           2021-05-12 14:04:00,      3.430000,      2.014000,          9.460352,                    99.053291,      0.981000
                1620850440,           2021-05-12 20:14:00,           2021-05-12 14:14:00,      3.430000,      2.046000,          9.462352,                    99.161538,      0.982000
                1620851040,           2021-05-12 20:24:00,           2021-05-12 14:24:00,      3.430000,      2.046000,          9.436354,                    98.889087,      0.982000
                1620851640,           2021-05-12 20:34:00,           2021-05-12 14:34:00,      3.430000,      2.088000,          9.438354,                    99.024385,      0.982000
                1620852240,           2021-05-12 20:44:00,           2021-05-12 14:44:00,      3.430000,      2.025000,          9.440354,                    98.873837,      0.982000
                1620852840,           2021-05-12 20:54:00,           2021-05-12 14:54:00,      3.430000,      2.025000,          9.434354,                    98.811000,      0.982000
                1620853440,           2021-05-12 21:04:00,           2021-05-12 15:04:00,      3.430000,      2.004000,          9.443353,                    98.848084,      0.981000
                1620854040,           2021-05-12 21:14:00,           2021-05-12 15:14:00,      3.430000,      2.046000,          9.442354,                    98.951960,      0.982000
                1620854640,           2021-05-12 21:24:00,           2021-05-12 15:24:00,      3.430000,      2.014000,          9.447353,                    98.917186,      0.982000
                1620855240,           2021-05-12 21:34:00,           2021-05-12 15:34:00,      3.430000,      2.004000,          9.442353,                    98.837617,      0.982000
                1620855840,           2021-05-12 21:44:00,           2021-05-12 15:44:00,      3.430000,      1.940000,          9.461352,                    98.861985,      0.981000
                1620856440,           2021-05-12 21:54:00,           2021-05-12 15:54:00,      3.430000,      1.919000,          9.454352,                    98.731654,      0.981000
                1620857040,           2021-05-12 22:04:00,           2021-05-12 16:04:00,      3.430000,      1.866000,          9.463351,                    98.681205,      0.981000
