Tme,wtemp_C,wtrhgt__2_mm,wtrhgt__3_mm
6/30/2020 11:30,10.8,-34,-34
6/30/2020 11:40,6.8,60,45
6/30/2020 11:50,5.3,61,60
6/30/2020 12:00,5.5,62,60
6/30/2020 12:10,5.6,60,61
6/30/2020 12:20,5.8,58,60
6/30/2020 12:30,5.8,45,59
6/30/2020 12:40,6,44,46
6/30/2020 12:50,6.1,43,44
6/30/2020 13:00,6.3,46,45
6/30/2020 13:10,6.4,42,45
6/30/2020 13:20,6.5,47,45
6/30/2020 13:30,6.6,45,46
6/30/2020 13:40,6.7,46,46
6/30/2020 13:50,6.8,45,45
6/30/2020 14:00,6.8,44,45
6/30/2020 14:10,6.8,45,46
6/30/2020 14:20,6.8,46,46
6/30/2020 14:30,6.7,44,45
6/30/2020 14:40,6.7,47,46
6/30/2020 14:50,6.7,45,46
6/30/2020 15:00,6.7,47,46
6/30/2020 15:10,6.7,45,46
6/30/2020 15:20,6.6,44,45
6/30/2020 15:30,6.5,45,46
6/30/2020 15:40,6.3,45,45
6/30/2020 15:50,6.2,44,45
6/30/2020 16:00,6.1,46,46
6/30/2020 16:10,6.2,46,45
6/30/2020 16:20,6.1,44,45
6/30/2020 16:30,6,46,45
6/30/2020 16:40,5.9,46,45
6/30/2020 16:50,5.8,46,46
6/30/2020 17:00,5.7,47,45
6/30/2020 17:10,5.6,47,46
6/30/2020 17:20,5.6,44,45
6/30/2020 17:30,5.5,45,45
6/30/2020 17:40,5.4,45,46
6/30/2020 17:50,5.4,46,46
6/30/2020 18:00,5.3,45,45
6/30/2020 18:10,5.3,46,46
6/30/2020 18:20,5.2,48,47
6/30/2020 18:30,5.2,43,46
6/30/2020 18:40,5.1,49,46
6/30/2020 18:50,5.1,45,45
6/30/2020 19:00,5.1,46,46
6/30/2020 19:10,5,47,46
6/30/2020 19:20,5,45,46
6/30/2020 19:30,4.9,45,45
6/30/2020 19:40,4.9,47,46
6/30/2020 19:50,4.8,46,47
6/30/2020 20:00,4.8,46,46
6/30/2020 20:10,4.7,46,46
6/30/2020 20:20,4.7,46,46
6/30/2020 20:30,4.6,46,46
6/30/2020 20:40,4.6,46,46
6/30/2020 20:50,4.5,48,47
6/30/2020 21:00,4.5,46,47
6/30/2020 21:10,4.4,47,47
6/30/2020 21:20,4.4,46,46
6/30/2020 21:30,4.3,46,47
6/30/2020 21:40,4.2,44,46
6/30/2020 21:50,4.2,48,47
6/30/2020 22:00,4.2,46,47
6/30/2020 22:10,4.1,46,46
6/30/2020 22:20,4.1,47,46
6/30/2020 22:30,4,49,47
6/30/2020 22:40,4,48,47
6/30/2020 22:50,4,47,47
6/30/2020 23:00,3.9,50,47
6/30/2020 23:10,3.9,45,46
6/30/2020 23:20,3.8,47,47
6/30/2020 23:30,3.8,47,46
6/30/2020 23:40,3.8,47,47
6/30/2020 23:50,3.7,47,46
7/1/2020 0:00,3.7,46,47
7/1/2020 0:10,3.7,48,47
7/1/2020 0:20,3.7,47,46
7/1/2020 0:30,3.6,49,47
7/1/2020 0:40,3.6,45,46
7/1/2020 0:50,3.6,50,48
7/1/2020 1:00,3.6,48,47
7/1/2020 1:10,3.5,48,48
7/1/2020 1:20,3.5,47,47
7/1/2020 1:30,3.5,48,47
7/1/2020 1:40,3.4,48,47
7/1/2020 1:50,3.4,48,47
7/1/2020 2:00,3.4,49,47
7/1/2020 2:10,3.3,50,47
7/1/2020 2:20,3.3,46,48
7/1/2020 2:30,3.3,48,47
7/1/2020 2:40,3.2,48,47
7/1/2020 2:50,3.2,45,48
7/1/2020 3:00,3.2,46,46
7/1/2020 3:10,3.2,50,47
7/1/2020 3:20,3.1,48,47
7/1/2020 3:30,3.1,48,47
7/1/2020 3:40,3.1,45,47
7/1/2020 3:50,3.1,46,47
7/1/2020 4:00,3.1,46,47
7/1/2020 4:10,3,46,47
7/1/2020 4:20,3,48,47
7/1/2020 4:30,3,49,46
7/1/2020 4:40,3,47,47
7/1/2020 4:50,3,46,47
7/1/2020 5:00,3,46,46
7/1/2020 5:10,2.9,47,47
7/1/2020 5:20,2.9,44,47
7/1/2020 5:30,2.9,47,46
7/1/2020 5:40,2.9,47,47
7/1/2020 5:50,2.9,49,48
7/1/2020 6:00,2.9,48,47
7/1/2020 6:10,2.9,47,47
7/1/2020 6:20,2.9,45,47
7/1/2020 6:30,2.9,47,47
7/1/2020 6:40,2.9,45,47
7/1/2020 6:50,2.9,47,48
7/1/2020 7:00,2.9,48,47
7/1/2020 7:10,3,48,47
7/1/2020 7:20,3,46,47
7/1/2020 7:30,3.1,44,47
7/1/2020 7:40,3.1,47,46
