Time,wtemp_C,wtrhgt__2_mm,wtrhgt__3_mm
6/30/2020 11:20,6.4,-41,-41
6/30/2020 11:30,5.1,310,286
6/30/2020 11:40,5,311,311
6/30/2020 11:50,5,312,311
6/30/2020 12:00,5.2,308,308
6/30/2020 12:10,5.3,309,308
6/30/2020 12:20,5.5,307,309
6/30/2020 12:30,5.6,299,299
6/30/2020 12:40,5.8,300,300
6/30/2020 12:50,5.9,296,299
6/30/2020 13:00,6,298,297
6/30/2020 13:10,6.2,297,298
6/30/2020 13:20,6.3,298,298
6/30/2020 13:30,6.4,299,299
6/30/2020 13:40,6.5,299,299
6/30/2020 13:50,6.6,299,299
6/30/2020 14:00,6.6,299,299
6/30/2020 14:10,6.6,300,300
6/30/2020 14:20,6.6,300,300
6/30/2020 14:30,6.6,300,300
6/30/2020 14:40,6.6,300,300
6/30/2020 14:50,6.5,301,300
6/30/2020 15:00,6.5,301,301
6/30/2020 15:10,6.5,301,301
6/30/2020 15:20,6.4,301,301
6/30/2020 15:30,6.3,301,301
6/30/2020 15:40,6.1,301,301
6/30/2020 15:50,6.1,301,302
6/30/2020 16:00,6,302,302
6/30/2020 16:10,6,302,302
6/30/2020 16:20,5.9,302,302
6/30/2020 16:30,5.8,303,302
6/30/2020 16:40,5.7,302,302
6/30/2020 16:50,5.7,303,303
6/30/2020 17:00,5.6,303,303
6/30/2020 17:10,5.6,303,303
6/30/2020 17:20,5.5,304,303
6/30/2020 17:30,5.4,303,303
6/30/2020 17:40,5.4,304,303
6/30/2020 17:50,5.3,304,303
6/30/2020 18:00,5.3,303,304
6/30/2020 18:10,5.2,304,304
6/30/2020 18:20,5.2,304,304
6/30/2020 18:30,5.1,304,304
6/30/2020 18:40,5.1,304,304
6/30/2020 18:50,5.1,304,304
6/30/2020 19:00,5,304,304
6/30/2020 19:10,5,304,304
6/30/2020 19:20,5,304,304
6/30/2020 19:30,4.9,304,304
6/30/2020 19:40,4.9,305,304
6/30/2020 19:50,4.8,304,305
6/30/2020 20:00,4.8,305,305
6/30/2020 20:10,4.8,305,305
6/30/2020 20:20,4.7,304,305
6/30/2020 20:30,4.7,305,305
6/30/2020 20:40,4.6,305,305
6/30/2020 20:50,4.6,305,305
6/30/2020 21:00,4.6,306,305
6/30/2020 21:10,4.5,306,305
6/30/2020 21:20,4.5,306,305
6/30/2020 21:30,4.4,306,306
6/30/2020 21:40,4.4,306,306
6/30/2020 21:50,4.3,305,306
6/30/2020 22:00,4.3,306,306
