sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
13826,06/16/2020 08:10:00,6.9,8.2,-10,-10
13827,06/16/2020 08:20:00,6.9,8.2,-10,-10
13828,06/16/2020 08:30:00,6.9,8.2,-10,-10
13829,06/16/2020 08:40:00,6.9,8.2,-10,-10
13830,06/16/2020 08:50:00,6.9,8.2,-10,-10
13831,06/16/2020 09:00:00,6.9,8.3,-10,-10
13832,06/16/2020 09:10:00,6.9,8.3,-10,-10
13833,06/16/2020 09:20:00,6.9,8.3,-10,-10
13834,06/16/2020 09:30:00,6.9,8.4,-10,-10
13835,06/16/2020 09:40:00,6.9,8.4,-10,-10
13836,06/16/2020 09:50:00,7.0,8.5,-10,-10
13837,06/16/2020 10:00:00,7.0,8.6,-10,-10
13838,06/16/2020 10:10:00,7.0,8.7,-10,-10
13839,06/16/2020 10:20:00,7.0,8.8,-10,-10
13840,06/16/2020 10:30:00,7.0,9.0,-10,-10
13841,06/16/2020 10:40:00,7.0,9.2,-10,-10
13842,06/16/2020 10:50:00,7.0,9.3,-10,-10
13843,06/16/2020 11:00:00,7.0,9.5,-10,-10
13844,06/16/2020 11:10:00,7.0,9.7,-10,-10
13845,06/16/2020 11:20:00,7.0,9.9,-10,-10
13846,06/16/2020 11:30:00,7.0,10.0,-10,-10
13847,06/16/2020 11:40:00,7.0,10.1,-10,-10
13848,06/16/2020 11:50:00,7.0,10.3,-10,-10
13849,06/16/2020 12:00:00,7.0,10.4,-10,-10
13850,06/16/2020 12:10:00,7.0,10.5,-10,-10
13851,06/16/2020 12:20:00,7.0,10.6,-10,-10
13852,06/16/2020 12:30:00,7.0,10.8,-10,-10
13853,06/16/2020 12:40:00,7.0,10.9,-10,-10
13854,06/16/2020 12:50:00,7.0,10.9,-10,-10
13855,06/16/2020 13:00:00,7.0,11.0,-10,-10
13856,06/16/2020 13:10:00,7.0,11.1,-10,-10
13857,06/16/2020 13:20:00,7.0,11.2,-10,-10
13858,06/16/2020 13:30:00,7.0,11.3,-10,-10
13859,06/16/2020 13:40:00,7.0,11.5,-10,-10
13860,06/16/2020 13:50:00,7.0,11.7,-10,-10
13861,06/16/2020 14:00:00,7.0,11.7,-10,-10
13862,06/16/2020 14:10:00,7.0,11.8,-10,-10
13863,06/16/2020 14:20:00,7.0,11.9,-10,-10
13864,06/16/2020 14:30:00,7.0,11.9,-10,-10
13865,06/16/2020 14:40:00,7.0,12.0,-10,-10
13866,06/16/2020 14:50:00,7.0,12.0,-10,-10
13867,06/16/2020 15:00:00,7.0,12.1,-10,-10
13868,06/16/2020 15:10:00,7.0,12.3,-10,-10
13869,06/16/2020 15:20:00,7.0,12.4,-6,-8
13870,06/16/2020 15:30:00,7.0,12.5,-6,-6
13871,06/16/2020 15:40:00,7.0,12.6,-6,-6
13872,06/16/2020 15:50:00,7.0,12.6,-6,-6
13873,06/16/2020 16:00:00,7.0,12.6,-6,-6
13874,06/16/2020 16:10:00,7.0,12.6,-6,-6
13875,06/16/2020 16:20:00,7.0,12.6,-6,-6
13876,06/16/2020 16:30:00,7.0,12.6,-6,-6
13877,06/16/2020 16:40:00,7.0,12.6,-6,-6
13878,06/16/2020 16:50:00,7.0,12.6,-6,-6
13879,06/16/2020 17:00:00,7.0,12.6,-6,-6
13880,06/16/2020 17:10:00,7.0,12.6,-6,-6
13881,06/16/2020 17:20:00,7.0,12.7,-6,-6
13882,06/16/2020 17:30:00,7.0,12.9,-6,-7
13883,06/16/2020 17:40:00,7.0,13.0,-6,-7
13884,06/16/2020 17:50:00,7.0,13.2,-7,-7
13885,06/16/2020 18:00:00,7.0,13.3,-7,-7
13886,06/16/2020 18:10:00,7.0,13.3,-7,-7
13887,06/16/2020 18:20:00,7.0,13.3,-7,-7
13888,06/16/2020 18:30:00,7.0,13.3,-7,-7
13889,06/16/2020 18:40:00,7.0,13.3,-7,-7
13890,06/16/2020 18:50:00,7.0,13.5,-7,-7
13891,06/16/2020 19:00:00,7.0,13.6,-6,-6
13892,06/16/2020 19:10:00,7.0,13.8,-7,-6
13893,06/16/2020 19:20:00,7.0,14.0,-7,-7
13894,06/16/2020 19:30:00,7.0,14.0,-7,-7
13895,06/16/2020 19:40:00,7.0,13.9,-7,-7
13896,06/16/2020 19:50:00,7.0,13.8,-6,-7
13897,06/16/2020 20:00:00,7.0,13.7,-7,-7
13898,06/16/2020 20:10:00,7.0,13.6,-7,-6
13899,06/16/2020 20:20:00,7.0,13.5,-7,-7
