sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
4031,04/03/2020 07:40:00,1.2,0.6,-10,-10
4032,04/03/2020 07:50:00,1.2,0.6,-10,-10
4033,04/03/2020 08:00:00,1.2,0.6,-10,-10
4034,04/03/2020 08:10:00,1.2,0.6,-10,-10
4035,04/03/2020 08:20:00,1.2,0.6,-10,-10
4036,04/03/2020 08:30:00,1.2,0.6,-10,-10
4037,04/03/2020 08:40:00,1.2,0.6,-10,-10
4038,04/03/2020 08:50:00,1.2,0.6,-10,-10
4039,04/03/2020 09:00:00,1.2,0.6,-10,-10
4040,04/03/2020 09:10:00,1.2,0.6,-10,-10
4041,04/03/2020 09:20:00,1.2,0.6,-10,-10
4042,04/03/2020 09:30:00,1.2,0.6,-10,-10
4043,04/03/2020 09:40:00,1.2,0.6,-10,-10
4044,04/03/2020 09:50:00,1.2,0.6,-10,-10
4045,04/03/2020 10:00:00,1.2,0.6,-10,-10
4046,04/03/2020 10:10:00,1.2,0.6,-10,-10
4047,04/03/2020 10:20:00,1.2,0.6,-10,-10
4048,04/03/2020 10:30:00,1.2,0.6,-10,-10
4049,04/03/2020 10:40:00,1.2,0.6,-10,-10
4050,04/03/2020 10:50:00,1.2,0.6,-10,-10
4051,04/03/2020 11:00:00,1.2,0.6,-10,-10
4052,04/03/2020 11:10:00,1.2,0.6,-10,-10
4053,04/03/2020 11:20:00,1.2,0.6,-10,-10
4054,04/03/2020 11:30:00,1.2,0.6,-10,-10
4055,04/03/2020 11:40:00,1.2,0.6,-10,-10
4056,04/03/2020 11:50:00,1.2,0.6,-10,-10
4057,04/03/2020 12:00:00,1.2,0.6,-10,-10
4058,04/03/2020 12:10:00,1.2,0.6,-10,-10
4059,04/03/2020 12:20:00,1.2,0.6,-10,-10
4060,04/03/2020 12:30:00,1.2,0.6,-10,-10
4061,04/03/2020 12:40:00,1.2,0.6,-10,-10
4062,04/03/2020 12:50:00,1.2,0.6,-10,-10
4063,04/03/2020 13:00:00,1.2,0.6,-10,-10
4064,04/03/2020 13:10:00,1.2,0.6,-10,-10
4065,04/03/2020 13:20:00,1.2,0.6,-10,-10
4066,04/03/2020 13:30:00,1.2,0.6,-10,-10
4067,04/03/2020 13:40:00,1.2,0.6,-10,-10
4068,04/03/2020 13:50:00,1.2,0.6,-10,-10
4069,04/03/2020 14:00:00,1.2,0.6,-10,-10
4070,04/03/2020 14:10:00,1.2,0.6,-10,-10
4071,04/03/2020 14:20:00,1.2,0.6,-10,-10
4072,04/03/2020 14:30:00,1.2,0.6,-10,-10
4073,04/03/2020 14:40:00,1.2,0.6,-10,-10
4074,04/03/2020 14:50:00,1.2,0.6,-10,-10
4075,04/03/2020 15:00:00,1.2,0.6,-10,-10
4076,04/03/2020 15:10:00,1.2,0.6,-10,-10
4077,04/03/2020 15:20:00,1.2,0.6,-10,-10
4078,04/03/2020 15:30:00,1.2,0.6,-10,-10
4079,04/03/2020 15:40:00,1.2,0.6,-10,-10
4080,04/03/2020 15:50:00,1.2,0.6,-10,-10
4081,04/03/2020 16:00:00,1.2,0.6,-10,-10
4082,04/03/2020 16:10:00,1.2,0.6,-10,-10
4083,04/03/2020 16:20:00,1.2,0.6,-10,-10
4084,04/03/2020 16:30:00,1.2,0.6,-10,-10
4085,04/03/2020 16:40:00,1.2,0.6,-10,-10
4086,04/03/2020 16:50:00,1.2,0.6,-10,-10
4087,04/03/2020 17:00:00,1.2,0.6,-10,-10
4088,04/03/2020 17:10:00,1.2,0.6,-10,-10
4089,04/03/2020 17:20:00,1.2,0.6,-10,-10
4090,04/03/2020 17:30:00,1.2,0.6,-10,-10
4091,04/03/2020 17:40:00,1.2,0.6,-10,-10
4092,04/03/2020 17:50:00,1.2,0.6,-10,-10
4093,04/03/2020 18:00:00,1.2,0.6,-10,-10
4094,04/03/2020 18:10:00,1.2,0.6,-10,-10
4095,04/03/2020 18:20:00,1.2,0.6,-10,-10
4096,04/03/2020 18:30:00,1.2,0.6,-10,-10
4097,04/03/2020 18:40:00,1.2,0.6,-10,-10
4098,04/03/2020 18:50:00,1.2,0.6,-10,-10
4099,04/03/2020 19:00:00,1.2,0.6,-10,-10
4100,04/03/2020 19:10:00,1.2,0.6,-10,-10
4101,04/03/2020 19:20:00,1.2,0.6,-10,-10
4102,04/03/2020 19:30:00,1.2,0.6,-10,-10
4103,04/03/2020 19:40:00,1.2,0.6,-10,-10
4104,04/03/2020 19:50:00,1.2,0.6,-10,-10
4105,04/03/2020 20:00:00,1.2,0.6,-10,-10
4106,04/03/2020 20:10:00,1.2,0.6,-10,-10
4107,04/03/2020 20:20:00,1.2,0.6,-10,-10
4108,04/03/2020 20:30:00,1.2,0.6,-10,-10
4109,04/03/2020 20:40:00,1.2,0.6,-10,-10
4110,04/03/2020 20:50:00,1.2,0.6,-10,-10
4111,04/03/2020 21:00:00,1.2,0.6,-10,-10
4112,04/03/2020 21:10:00,1.2,0.6,-10,-10
4113,04/03/2020 21:20:00,1.2,0.6,-10,-10
4114,04/03/2020 21:30:00,1.2,0.6,-10,-10
4115,04/03/2020 21:40:00,1.2,0.6,-10,-10
4116,04/03/2020 21:50:00,1.2,0.6,-10,-10
4117,04/03/2020 22:00:00,1.2,0.6,-10,-10
4118,04/03/2020 22:10:00,1.2,0.6,-10,-10
4119,04/03/2020 22:20:00,1.2,0.6,-10,-10
4120,04/03/2020 22:30:00,1.2,0.6,-10,-10
4121,04/03/2020 22:40:00,1.2,0.6,-10,-10
4122,04/03/2020 22:50:00,1.2,0.6,-10,-10
4123,04/03/2020 23:00:00,1.2,0.6,-10,-10
4124,04/03/2020 23:10:00,1.2,0.6,-10,-10
4125,04/03/2020 23:20:00,1.2,0.6,-10,-10
4126,04/03/2020 23:30:00,1.2,0.6,-10,-10
4127,04/03/2020 23:40:00,1.2,0.6,-10,-10
