sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
14683,06/16/2020 07:00:00,5.1,6.4,-51,-51
14684,06/16/2020 07:10:00,5.1,6.8,-51,-51
14685,06/16/2020 07:20:00,5.2,7.2,-51,-51
14686,06/16/2020 07:30:00,5.2,7.6,-51,-51
14687,06/16/2020 07:40:00,5.2,7.9,-51,-51
14688,06/16/2020 07:50:00,5.2,8.3,-51,-51
14689,06/16/2020 08:00:00,5.2,8.6,-51,-51
14690,06/16/2020 08:10:00,5.2,9.1,-51,-51
14691,06/16/2020 08:20:00,5.2,9.7,-51,-51
14692,06/16/2020 08:30:00,5.2,10.4,-51,-51
14693,06/16/2020 08:40:00,5.2,11.1,-51,-51
14694,06/16/2020 08:50:00,5.2,11.9,-51,-51
14695,06/16/2020 09:00:00,5.2,12.9,-51,-51
14696,06/16/2020 09:10:00,5.2,13.7,-51,-51
14697,06/16/2020 09:20:00,5.2,14.4,-51,-51
14698,06/16/2020 09:30:00,5.2,15.4,-51,-51
14699,06/16/2020 09:40:00,5.2,16.3,-51,-51
14700,06/16/2020 09:50:00,5.2,17.3,-51,-51
14701,06/16/2020 10:00:00,5.2,17.9,-51,-51
14702,06/16/2020 10:10:00,5.2,18.3,-52,-51
14703,06/16/2020 10:20:00,5.2,18.5,-52,-52
14704,06/16/2020 10:30:00,5.2,18.7,-52,-52
14705,06/16/2020 10:40:00,5.2,18.9,-52,-52
14706,06/16/2020 10:50:00,5.2,19.1,-52,-52
14707,06/16/2020 11:00:00,5.2,19.4,-52,-52
14708,06/16/2020 11:10:00,5.2,19.7,-51,-52
14709,06/16/2020 11:20:00,5.2,20.1,-51,-51
14710,06/16/2020 11:30:00,5.2,20.2,-51,-51
14711,06/16/2020 11:40:00,5.2,19.9,-52,-52
14712,06/16/2020 11:50:00,5.2,19.5,-52,-52
14713,06/16/2020 12:00:00,5.2,19.2,-52,-52
14714,06/16/2020 12:10:00,5.2,19.1,-52,-52
14715,06/16/2020 12:20:00,5.2,19.6,-51,-52
14716,06/16/2020 12:30:00,5.2,20.4,-51,-51
14717,06/16/2020 12:40:00,5.2,21.0,-52,-52
14718,06/16/2020 12:50:00,5.2,21.3,-52,-52
14719,06/16/2020 13:00:00,5.2,21.5,-52,-52
14720,06/16/2020 13:10:00,5.2,22.0,-51,-52
14721,06/16/2020 13:20:00,5.2,22.4,-51,-51
14722,06/16/2020 13:30:00,5.2,22.5,-51,-51
14723,06/16/2020 13:40:00,5.2,22.8,-51,-51
14724,06/16/2020 13:50:00,5.2,23.2,-52,-52
14725,06/16/2020 14:00:00,5.2,23.8,-52,-52
14726,06/16/2020 14:10:00,5.2,24.1,-52,-52
14727,06/16/2020 14:20:00,5.2,24.7,-52,-52
14728,06/16/2020 14:30:00,5.2,25.4,-52,-52
14729,06/16/2020 14:40:00,5.2,25.1,-52,-52
14730,06/16/2020 14:50:00,5.2,24.3,-52,-52
14731,06/16/2020 15:00:00,5.2,23.4,-52,-52
14732,06/16/2020 15:10:00,5.2,22.6,-51,-52
14733,06/16/2020 15:20:00,5.2,21.8,-52,-51
14734,06/16/2020 15:30:00,5.2,21.2,-51,-52
14735,06/16/2020 15:40:00,5.2,20.9,-51,-51
14736,06/16/2020 15:50:00,5.2,21.0,-51,-51
14737,06/16/2020 16:00:00,5.2,21.1,-52,-51
14738,06/16/2020 16:10:00,5.2,21.7,-51,-51
14739,06/16/2020 16:20:00,5.3,23.0,-52,-52
14740,06/16/2020 16:30:00,5.3,24.0,-52,-52
14741,06/16/2020 16:40:00,5.3,24.6,-52,-52
14742,06/16/2020 16:50:00,5.3,25.2,-52,-52
14743,06/16/2020 17:00:00,5.3,24.9,-52,-52
14744,06/16/2020 17:10:00,5.3,24.0,-52,-52
14745,06/16/2020 17:20:00,5.3,23.0,-51,-51
14746,06/16/2020 17:30:00,5.3,22.2,-51,-51
14747,06/16/2020 17:40:00,5.3,21.6,-52,-52
14748,06/16/2020 17:50:00,5.3,21.3,-52,-51
14749,06/16/2020 18:00:00,5.3,21.0,-51,-52
14750,06/16/2020 18:10:00,5.3,20.7,-51,-51
14751,06/16/2020 18:20:00,5.3,20.4,-51,-51
14752,06/16/2020 18:30:00,5.3,20.0,-51,-51
14753,06/16/2020 18:40:00,5.3,19.5,-52,-52
14754,06/16/2020 18:50:00,5.3,19.1,-52,-52
14755,06/16/2020 19:00:00,5.3,18.6,-52,-52
14756,06/16/2020 19:10:00,5.3,18.2,-51,-51
14757,06/16/2020 19:20:00,5.3,17.7,-51,-51
14758,06/16/2020 19:30:00,5.3,17.1,-51,-51
14759,06/16/2020 19:40:00,5.3,16.5,-51,-51
14760,06/16/2020 19:50:00,5.3,16.0,-51,-51
14761,06/16/2020 20:00:00,5.3,15.4,-51,-51
14762,06/16/2020 20:10:00,5.3,14.9,-51,-51
14763,06/16/2020 20:20:00,5.3,14.3,-51,-51
14764,06/16/2020 20:30:00,5.3,13.7,-51,-51
14765,06/16/2020 20:40:00,5.3,13.2,-51,-51
14766,06/16/2020 20:50:00,5.3,12.7,-51,-51
14767,06/16/2020 21:00:00,5.3,12.2,-51,-51
14768,06/16/2020 21:10:00,5.3,11.7,-51,-51
14769,06/16/2020 21:20:00,5.3,11.2,-51,-51
14770,06/16/2020 21:30:00,5.3,10.9,-51,-51
14771,06/16/2020 21:40:00,5.3,10.6,-51,-51
14772,06/16/2020 21:50:00,5.3,10.3,-51,-51
14773,06/16/2020 22:00:00,5.3,10.0,-51,-51
14774,06/16/2020 22:10:00,5.3,9.7,-51,-51
14775,06/16/2020 22:20:00,5.3,9.5,-51,-51
14776,06/16/2020 22:30:00,5.3,9.3,-51,-51
14777,06/16/2020 22:40:00,5.3,9.1,-51,-51
14778,06/16/2020 22:50:00,5.3,9.0,-51,-51
14779,06/16/2020 23:00:00,5.3,8.8,-51,-51
14780,06/16/2020 23:10:00,5.3,8.6,-51,-51
14781,06/16/2020 23:20:00,5.3,8.4,-51,-51
14782,06/16/2020 23:30:00,5.3,8.2,-51,-51
14783,06/16/2020 23:40:00,5.3,8.0,-51,-51
14784,06/16/2020 23:50:00,5.3,7.8,-51,-51
14785,06/17/2020 00:00:00,5.3,7.6,-51,-51
14786,06/17/2020 00:10:00,5.3,7.4,-51,-51
14787,06/17/2020 00:20:00,5.3,7.3,-51,-51
14788,06/17/2020 00:30:00,5.3,7.2,-51,-51
14789,06/17/2020 00:40:00,5.3,7.1,-51,-51
14790,06/17/2020 00:50:00,5.3,6.9,-51,-51
14791,06/17/2020 01:00:00,5.3,6.8,-51,-51
14792,06/17/2020 01:10:00,5.3,6.7,-51,-51
14793,06/17/2020 01:20:00,5.3,6.5,-51,-51
14794,06/17/2020 01:30:00,5.3,6.2,-51,-51
14795,06/17/2020 01:40:00,5.3,6.0,-51,-51
14796,06/17/2020 01:50:00,5.3,5.8,-51,-51
14797,06/17/2020 02:00:00,5.3,5.6,-51,-51
14798,06/17/2020 02:10:00,5.3,5.4,-51,-51
14799,06/17/2020 02:20:00,5.3,5.3,-51,-51
14800,06/17/2020 02:30:00,5.3,5.2,-51,-51
14801,06/17/2020 02:40:00,5.3,5.1,-51,-51
14802,06/17/2020 02:50:00,5.3,4.9,-51,-51
14803,06/17/2020 03:00:00,5.3,4.9,-51,-51
14804,06/17/2020 03:10:00,5.3,4.7,-51,-51
14805,06/17/2020 03:20:00,5.3,4.7,-51,-51
14806,06/17/2020 03:30:00,5.3,4.6,-51,-51
14807,06/17/2020 03:40:00,5.3,4.6,-51,-51
14808,06/17/2020 03:50:00,5.3,4.5,-51,-51
14809,06/17/2020 04:00:00,5.3,4.4,-51,-51
14810,06/17/2020 04:10:00,5.3,4.1,-51,-51
14811,06/17/2020 04:20:00,5.3,3.9,-51,-51
14812,06/17/2020 04:30:00,5.3,3.7,-51,-51
14813,06/17/2020 04:40:00,5.3,3.5,-51,-51
14814,06/17/2020 04:50:00,5.3,3.4,-51,-51
14815,06/17/2020 05:00:00,5.3,3.5,-51,-51
14816,06/17/2020 05:10:00,5.3,3.6,-51,-51
14817,06/17/2020 05:20:00,5.3,3.7,-51,-51
14818,06/17/2020 05:30:00,5.3,3.9,-51,-51
14819,06/17/2020 05:40:00,5.3,4.2,-51,-51
14820,06/17/2020 05:50:00,5.3,4.7,-51,-51
14821,06/17/2020 06:00:00,5.3,5.2,-51,-51
14822,06/17/2020 06:10:00,5.3,5.6,-51,-51
14823,06/17/2020 06:20:00,5.3,5.9,-51,-51
14824,06/17/2020 06:30:00,5.3,6.0,-51,-51
14825,06/17/2020 06:40:00,5.3,6.1,-51,-51
14826,06/17/2020 06:50:00,5.3,6.2,-51,-51
14827,06/17/2020 07:00:00,5.3,6.4,-51,-51
