sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3,formatted_datetime
7346,7/2/21 12:10,5.8,102,101,7/2/21 12:10
7347,7/2/21 12:20,6,101,100,7/2/21 12:20
7348,7/2/21 12:30,6.2,101,101,7/2/21 12:30
7349,7/2/21 12:40,6.4,100,101,7/2/21 12:40
7350,7/2/21 12:50,6.6,102,101,7/2/21 12:50
7351,7/2/21 13:00,6.8,101,100,7/2/21 13:00
7352,7/2/21 13:10,7.1,100,101,7/2/21 13:10
7353,7/2/21 13:20,7.3,100,100,7/2/21 13:20
7354,7/2/21 13:30,7.4,98,100,7/2/21 13:30
7355,7/2/21 13:40,7.4,100,100,7/2/21 13:40
7356,7/2/21 13:50,7.4,99,100,7/2/21 13:50
7357,7/2/21 14:00,7.4,100,100,7/2/21 14:00
7358,7/2/21 14:10,7.4,99,100,7/2/21 14:10
7359,7/2/21 14:20,7.5,98,100,7/2/21 14:20
7360,7/2/21 14:30,7.5,100,100,7/2/21 14:30
7361,7/2/21 14:40,7.5,101,100,7/2/21 14:40
7362,7/2/21 14:50,7.5,101,100,7/2/21 14:50
7363,7/2/21 15:00,7.5,99,100,7/2/21 15:00
7364,7/2/21 15:10,7.4,97,100,7/2/21 15:10
7365,7/2/21 15:20,7.4,99,100,7/2/21 15:20
7366,7/2/21 15:30,7.4,98,99,7/2/21 15:30
7367,7/2/21 15:40,7.4,99,100,7/2/21 15:40
7368,7/2/21 15:50,7.4,99,99,7/2/21 15:50
7369,7/2/21 16:00,7.4,100,100,7/2/21 16:00
7370,7/2/21 16:10,7.4,99,100,7/2/21 16:10
7371,7/2/21 16:20,7.5,99,99,7/2/21 16:20
7372,7/2/21 16:30,7.4,100,99,7/2/21 16:30
7373,7/2/21 16:40,7.4,100,99,7/2/21 16:40
7374,7/2/21 16:50,7.4,101,99,7/2/21 16:50
7375,7/2/21 17:00,7.4,101,100,7/2/21 17:00
7376,7/2/21 17:10,7.5,101,99,7/2/21 17:10
7377,7/2/21 17:20,7.5,98,99,7/2/21 17:20
7378,7/2/21 17:30,7.4,99,100,7/2/21 17:30
7379,7/2/21 17:40,7.4,100,99,7/2/21 17:40
7380,7/2/21 17:50,7.3,99,99,7/2/21 17:50
7381,7/2/21 18:00,7.3,99,99,7/2/21 18:00
7382,7/2/21 18:10,7.3,100,100,7/2/21 18:10
7383,7/2/21 18:20,7.3,99,99,7/2/21 18:20
7384,7/2/21 18:30,7.2,98,99,7/2/21 18:30
7385,7/2/21 18:40,7.2,97,99,7/2/21 18:40
7386,7/2/21 18:50,7.1,99,98,7/2/21 18:50
7387,7/2/21 19:00,7.1,100,99,7/2/21 19:00
7388,7/2/21 19:10,7,100,99,7/2/21 19:10
7389,7/2/21 19:20,7,99,100,7/2/21 19:20
7390,7/2/21 19:30,7,99,99,7/2/21 19:30
7391,7/2/21 19:40,6.9,100,99,7/2/21 19:40
