sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
8944,30/06/2021 10:30:00,7.4,8.7,0,0
8945,30/06/2021 10:40:00,7.4,8.7,0,0
8946,30/06/2021 10:50:00,7.4,8.7,0,0
8947,30/06/2021 11:00:00,7.4,8.7,0,0
8948,30/06/2021 11:10:00,7.4,8.7,0,0
8949,30/06/2021 11:20:00,7.4,8.6,0,0
8950,30/06/2021 11:30:00,7.4,8.6,0,0
8951,30/06/2021 11:40:00,7.4,8.6,0,0
8952,30/06/2021 11:50:00,7.4,8.6,0,0
8953,30/06/2021 12:00:00,7.4,8.6,0,0
8954,30/06/2021 12:10:00,7.4,8.6,0,0
8955,30/06/2021 12:20:00,7.4,8.6,0,0
8956,30/06/2021 12:30:00,7.4,8.6,0,0
8957,30/06/2021 12:40:00,7.4,8.6,0,0
8958,30/06/2021 12:50:00,7.4,8.6,0,0
8959,30/06/2021 13:00:00,7.4,8.6,0,0
8960,30/06/2021 13:10:00,7.4,8.6,0,0
8961,30/06/2021 13:20:00,7.4,8.6,0,0
8962,30/06/2021 13:30:00,7.4,8.6,0,0
8963,30/06/2021 13:40:00,7.4,8.6,0,0
8964,30/06/2021 13:50:00,7.4,8.6,0,0
8965,30/06/2021 14:00:00,7.4,8.6,0,0
8966,30/06/2021 14:10:00,7.4,8.6,0,0
8967,30/06/2021 14:20:00,7.4,8.6,0,0
8968,30/06/2021 14:30:00,7.4,8.6,0,0
8969,30/06/2021 14:40:00,7.4,8.6,0,0
8970,30/06/2021 14:50:00,7.4,8.6,0,0
8971,30/06/2021 15:00:00,7.4,8.6,0,0
8972,30/06/2021 15:10:00,7.4,8.7,0,0
8973,30/06/2021 15:20:00,7.4,8.7,0,0
8974,30/06/2021 15:30:00,7.4,8.7,0,0
8975,30/06/2021 15:40:00,7.4,8.7,0,0
8976,30/06/2021 15:50:00,7.4,8.7,0,0
8977,30/06/2021 16:00:00,7.4,8.7,0,0
8978,30/06/2021 16:10:00,7.4,8.8,0,0
8979,30/06/2021 16:20:00,7.4,8.8,0,0
8980,30/06/2021 16:30:00,7.4,8.8,0,0
8981,30/06/2021 16:40:00,7.4,8.8,0,0
8982,30/06/2021 16:50:00,7.4,8.8,0,0
8983,30/06/2021 17:00:00,7.4,8.9,0,0
8984,30/06/2021 17:10:00,7.4,8.9,0,0
8985,30/06/2021 17:20:00,7.4,8.9,0,0
8986,30/06/2021 17:30:00,7.4,8.9,0,0
8987,30/06/2021 17:40:00,7.4,8.9,0,0
8988,30/06/2021 17:50:00,7.4,8.9,0,0
8989,30/06/2021 18:00:00,7.4,8.9,0,0
8990,30/06/2021 18:10:00,7.4,8.9,0,1
8991,30/06/2021 18:20:00,7.4,9.0,0,0
8992,30/06/2021 18:30:00,7.4,9.0,1,1
8993,30/06/2021 18:40:00,7.4,9.0,1,1
8994,30/06/2021 18:50:00,7.4,9.0,1,1
8995,30/06/2021 19:00:00,7.3,9.1,0,0
8996,30/06/2021 19:10:00,7.3,9.1,1,1
8997,30/06/2021 19:20:00,7.3,9.1,1,1
8998,30/06/2021 19:30:00,7.3,9.1,1,1
