sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3
13278,05/08/2021 18:30:00,7.8,-50,-50
13279,05/08/2021 18:40:00,7.8,-50,-50
13280,05/08/2021 18:50:00,7.7,-50,-50
13281,05/08/2021 19:00:00,7.7,-49,-50
13282,05/08/2021 19:10:00,7.7,-50,-50
13283,05/08/2021 19:20:00,7.7,-50,-50
13284,05/08/2021 19:30:00,7.7,-50,-50
13285,05/08/2021 19:40:00,7.7,-49,-50
13286,05/08/2021 19:50:00,7.7,-49,-49
13287,05/08/2021 20:00:00,7.7,-50,-50
13288,05/08/2021 20:10:00,7.7,-49,-50
13289,05/08/2021 20:20:00,7.7,-49,-49
13290,05/08/2021 20:30:00,7.7,-49,-50
13291,05/08/2021 20:40:00,7.7,-50,-50
13292,05/08/2021 20:50:00,7.7,-49,-49
13293,05/08/2021 21:00:00,7.7,-49,-49
13294,05/08/2021 21:10:00,7.7,-49,-49
13295,05/08/2021 21:20:00,7.7,-49,-49
13296,05/08/2021 21:30:00,7.7,-49,-49
13297,05/08/2021 21:40:00,7.7,-49,-49
13298,05/08/2021 21:50:00,7.7,-49,-49
13299,05/08/2021 22:00:00,7.7,-49,-49
13300,05/08/2021 22:10:00,7.7,-49,-49
13301,05/08/2021 22:20:00,7.7,-49,-49
13302,05/08/2021 22:30:00,7.7,-49,-49
13303,05/08/2021 22:40:00,7.7,-50,-49
13304,05/08/2021 22:50:00,7.7,-50,-50
13305,05/08/2021 23:00:00,7.7,-50,-50
13306,05/08/2021 23:10:00,7.7,-49,-50
13307,05/08/2021 23:20:00,7.7,-49,-49
13308,05/08/2021 23:30:00,7.7,-49,-49
13309,05/08/2021 23:40:00,7.7,-49,-49
13310,05/08/2021 23:50:00,7.7,-49,-49
13311,06/08/2021 00:00:00,7.7,-49,-49
13312,06/08/2021 00:10:00,7.7,-49,-49
13313,06/08/2021 00:20:00,7.7,-49,-49
13314,06/08/2021 00:30:00,7.7,-49,-49
13315,06/08/2021 00:40:00,7.7,-49,-49
13316,06/08/2021 00:50:00,7.7,-49,-49
13317,06/08/2021 01:00:00,7.7,-49,-49
13318,06/08/2021 01:10:00,7.7,-49,-49
13319,06/08/2021 01:20:00,7.7,-49,-49
13320,06/08/2021 01:30:00,7.7,-49,-49
13321,06/08/2021 01:40:00,7.7,-49,-49
13322,06/08/2021 01:50:00,7.7,-49,-49
13323,06/08/2021 02:00:00,7.7,-49,-49
13324,06/08/2021 02:10:00,7.7,-49,-49
13325,06/08/2021 02:20:00,7.7,-49,-49
13326,06/08/2021 02:30:00,7.7,-49,-49
13327,06/08/2021 02:40:00,7.7,-49,-49
13328,06/08/2021 02:50:00,7.7,-49,-49
13329,06/08/2021 03:00:00,7.7,-49,-49
13330,06/08/2021 03:10:00,7.7,-49,-49
13331,06/08/2021 03:20:00,7.7,-49,-49
13332,06/08/2021 03:30:00,7.7,-49,-49
13333,06/08/2021 03:40:00,7.7,-49,-49
13334,06/08/2021 03:50:00,7.7,-49,-49
13335,06/08/2021 04:00:00,7.7,-49,-49
13336,06/08/2021 04:10:00,7.7,-49,-49
13337,06/08/2021 04:20:00,7.7,-49,-49
13338,06/08/2021 04:30:00,7.7,-49,-49
13339,06/08/2021 04:40:00,7.7,-49,-49
13340,06/08/2021 04:50:00,7.7,-49,-49
13341,06/08/2021 05:00:00,7.7,-49,-49
13342,06/08/2021 05:10:00,7.7,-49,-49
13343,06/08/2021 05:20:00,7.7,-49,-49
13344,06/08/2021 05:30:00,7.7,-49,-49
13345,06/08/2021 05:40:00,7.7,-49,-49
13346,06/08/2021 05:50:00,7.7,-49,-49
13347,06/08/2021 06:00:00,7.7,-49,-49
13348,06/08/2021 06:10:00,7.7,-49,-49
13349,06/08/2021 06:20:00,7.7,-49,-49
13350,06/08/2021 06:30:00,7.7,-49,-49
13351,06/08/2021 06:40:00,7.7,-49,-49
13352,06/08/2021 06:50:00,7.7,-49,-49
13353,06/08/2021 07:00:00,7.7,-49,-49
13354,06/08/2021 07:10:00,7.7,-49,-49
13355,06/08/2021 07:20:00,7.7,-49,-49
13356,06/08/2021 07:30:00,7.7,-49,-49
13357,06/08/2021 07:40:00,7.7,-49,-49
13358,06/08/2021 07:50:00,7.7,-49,-49
13359,06/08/2021 08:00:00,7.7,-49,-49
13360,06/08/2021 08:10:00,7.7,-49,-49
13361,06/08/2021 08:20:00,7.7,-49,-49
13362,06/08/2021 08:30:00,7.7,-49,-49
13363,06/08/2021 08:40:00,7.7,-49,-49
13364,06/08/2021 08:50:00,7.7,-49,-49
13365,06/08/2021 09:00:00,7.7,-49,-49
13366,06/08/2021 09:10:00,7.7,-49,-49
13367,06/08/2021 09:20:00,7.7,-49,-49
13368,06/08/2021 09:30:00,7.7,-49,-49
13369,06/08/2021 09:40:00,7.7,-49,-49
13370,06/08/2021 09:50:00,7.7,-49,-49
13371,06/08/2021 10:00:00,7.7,-50,-49
13372,06/08/2021 10:10:00,7.7,-49,-50
13373,06/08/2021 10:20:00,7.7,-50,-50
13374,06/08/2021 10:30:00,7.7,-50,-50
13375,06/08/2021 10:40:00,7.7,-50,-50
13376,06/08/2021 10:50:00,7.7,-50,-50
13377,06/08/2021 11:00:00,7.7,-50,-50
13378,06/08/2021 11:10:00,7.7,-50,-50
13379,06/08/2021 11:20:00,7.7,-50,-50
13380,06/08/2021 11:30:00,7.7,-50,-50
13381,06/08/2021 11:40:00,7.7,-50,-50
