sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
718,05/04/2021 07:30:00,0.6,0.2,53,53
719,05/04/2021 07:40:00,0.6,0.2,53,53
720,05/04/2021 07:50:00,0.6,0.2,53,53
721,05/04/2021 08:00:00,0.6,0.2,52,52
722,05/04/2021 08:10:00,0.6,0.2,52,52
723,05/04/2021 08:20:00,0.6,0.2,52,52
724,05/04/2021 08:30:00,0.6,0.2,52,52
725,05/04/2021 08:40:00,0.6,0.2,52,52
726,05/04/2021 08:50:00,0.6,0.2,52,52
727,05/04/2021 09:00:00,0.6,0.2,52,52
728,05/04/2021 09:10:00,0.6,0.2,52,52
729,05/04/2021 09:20:00,0.6,0.2,52,52
730,05/04/2021 09:30:00,0.6,0.2,51,51
731,05/04/2021 09:40:00,0.6,0.2,51,51
732,05/04/2021 09:50:00,0.6,0.2,51,51
733,05/04/2021 10:00:00,0.6,0.2,51,51
734,05/04/2021 10:10:00,0.6,0.2,51,51
735,05/04/2021 10:20:00,0.6,0.2,51,51
736,05/04/2021 10:30:00,0.6,0.2,51,51
737,05/04/2021 10:40:00,0.6,0.2,51,51
738,05/04/2021 10:50:00,0.6,0.2,51,51
739,05/04/2021 11:00:00,0.6,0.2,51,51
740,05/04/2021 11:10:00,0.6,0.2,51,51
741,05/04/2021 11:20:00,0.6,0.2,50,50
742,05/04/2021 11:30:00,0.6,0.2,50,50
743,05/04/2021 11:40:00,0.6,0.2,50,50
744,05/04/2021 11:50:00,0.6,0.2,50,50
745,05/04/2021 12:00:00,0.6,0.2,50,50
746,05/04/2021 12:10:00,0.6,0.2,50,50
747,05/04/2021 12:20:00,0.6,0.2,50,50
748,05/04/2021 12:30:00,0.6,0.2,50,50
749,05/04/2021 12:40:00,0.6,0.2,49,50
750,05/04/2021 12:50:00,0.6,0.2,50,50
751,05/04/2021 13:00:00,0.6,0.2,49,50
752,05/04/2021 13:10:00,0.6,0.2,49,49
753,05/04/2021 13:20:00,0.6,0.2,49,49
754,05/04/2021 13:30:00,0.6,0.2,49,49
755,05/04/2021 13:40:00,0.6,0.2,49,49
756,05/04/2021 13:50:00,0.6,0.2,49,49
757,05/04/2021 14:00:00,0.6,0.2,49,49
758,05/04/2021 14:10:00,0.6,0.2,49,49
759,05/04/2021 14:20:00,0.6,0.2,49,49
