sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4,batt_mi_5
1,04/29/2021 08:00:00,14.1,14.5,-34,-34,3.99
2,04/29/2021 08:10:00,14.8,15.5,-33,-33,3.99
3,04/29/2021 08:20:00,15.8,17.1,-33,-33,3.99
4,04/29/2021 08:30:00,16.1,18.8,-33,-33,3.99
5,04/29/2021 08:40:00,16.8,20.2,-31,-33,3.99
6,04/29/2021 08:50:00,16.8,20.6,-37,-34,3.99
7,04/29/2021 09:00:00,17.1,21.3,-36,-36,3.99
8,04/29/2021 09:10:00,17.1,21.6,-42,-39,3.99
9,04/29/2021 09:20:00,17.1,21.3,-45,-44,3.99
10,04/29/2021 09:30:00,17.5,20.9,-35,-40,3.99
11,04/29/2021 09:40:00,22.7,22.7,-36,-35,3.99
12,04/29/2021 09:50:00,28.7,24.2,-32,-35,3.99
13,04/29/2021 10:00:00,31.6,22.3,-33,-33,3.99
14,04/29/2021 10:10:00,32.8,19.9,-29,-31,3.99
15,04/29/2021 10:20:00,25.3,6.9,-43,-40,3.99
16,04/29/2021 10:30:00,14.8,2.9,-46,-43,3.99
17,04/29/2021 10:40:00,8.5,1.9,-46,-46,3.99
18,04/29/2021 10:50:00,7.2,1.9,-46,-46,3.99
19,04/29/2021 11:00:00,5.9,2.2,-42,-44,3.99
20,04/29/2021 11:10:00,2.5,3.2,-50,-49,3.99
21,04/29/2021 11:20:00,1.5,3.2,-49,-50,3.99
22,04/29/2021 11:30:00,0.8,3.2,-49,-49,3.99
23,04/29/2021 11:40:00,0.5,3.2,-49,-49,3.99
24,04/29/2021 11:50:00,0.5,3.2,-49,-49,3.99
25,04/29/2021 12:00:00,0.5,3.2,-49,-49,3.99
26,04/29/2021 12:10:00,0.5,3.2,-49,-49,3.99
27,04/29/2021 12:20:00,0.5,3.5,-49,-49,3.99
28,04/29/2021 12:30:00,0.5,3.9,-49,-49,3.99
29,04/29/2021 12:40:00,0.5,4.2,-49,-49,3.99
30,04/29/2021 12:50:00,0.5,5.2,-49,-49,3.99
31,04/29/2021 13:00:00,0.5,6.5,-49,-49,3.99
32,04/29/2021 13:10:00,0.5,6.5,-49,-49,3.99
33,04/29/2021 13:20:00,0.5,5.9,-49,-49,3.99
34,04/29/2021 13:30:00,0.5,5.6,-49,-49,3.99
35,04/29/2021 13:40:00,0.5,5.2,-49,-49,3.99
36,04/29/2021 13:50:00,0.5,5.2,-49,-49,3.99
37,04/29/2021 14:00:00,0.5,5.2,-49,-49,3.99
38,04/29/2021 14:10:00,0.5,5.9,-49,-49,3.99
39,04/29/2021 14:20:00,0.5,7.2,-49,-49,3.99
40,04/29/2021 14:30:00,0.5,8.2,-49,-49,3.99
41,04/29/2021 14:40:00,0.5,8.5,-49,-49,3.99
42,04/29/2021 14:50:00,0.5,9.2,-49,-49,3.99
43,04/29/2021 15:00:00,0.5,11.2,-49,-49,3.99
44,04/29/2021 15:10:00,0.5,12.5,-49,-49,3.99
45,04/29/2021 15:20:00,0.5,12.5,-49,-49,3.99
46,04/29/2021 15:30:00,0.5,13.8,-49,-49,3.99
47,04/29/2021 15:40:00,0.5,15.8,-49,-49,3.99
48,04/29/2021 15:50:00,0.5,15.5,-49,-49,3.99
49,04/29/2021 16:00:00,0.5,13.5,-49,-49,3.99
50,04/29/2021 16:10:00,0.5,11.5,-49,-49,3.99
51,04/29/2021 16:20:00,0.5,10.2,-49,-49,3.99
52,04/29/2021 16:30:00,0.5,9.8,-49,-49,3.99
53,04/29/2021 16:40:00,0.5,10.5,-49,-49,3.99
54,04/29/2021 16:50:00,0.5,13.5,-49,-49,3.99
55,04/29/2021 17:00:00,0.5,17.5,-49,-49,3.99
56,04/29/2021 17:10:00,0.5,20.2,-49,-49,3.99
57,04/29/2021 17:20:00,0.1,19.9,-16,-27,3.99
58,04/29/2021 17:30:00,0.1,18.2,-5,-9,3.99
59,04/29/2021 17:40:00,0.1,15.5,-2,-3,3.99
60,04/29/2021 17:50:00,0.5,13.1,0,-1,3.99
61,04/29/2021 18:00:00,0.5,11.5,0,0,3.99
62,04/29/2021 18:10:00,0.5,9.8,0,0,3.99
63,04/29/2021 18:20:00,0.5,8.2,1,1,3.99
64,04/29/2021 18:30:00,0.5,6.9,0,0,3.99
65,04/29/2021 18:40:00,0.5,5.9,-1,0,3.99
66,04/29/2021 18:50:00,0.5,5.2,-2,-1,3.99
67,04/29/2021 19:00:00,0.5,5.2,-4,-3,3.99
68,04/29/2021 19:10:00,0.5,4.6,-5,-5,3.99
69,04/29/2021 19:20:00,0.5,3.9,-7,-6,3.99
70,04/29/2021 19:30:00,0.5,3.2,-8,-8,3.99
71,04/29/2021 19:40:00,0.5,2.5,-10,-9,3.99
72,04/29/2021 19:50:00,0.5,2.2,-11,-11,3.99
73,04/29/2021 20:00:00,0.5,1.5,-12,-12,3.99
74,04/29/2021 20:10:00,0.5,1.5,-14,-13,3.99
75,04/29/2021 20:20:00,0.5,1.2,-15,-15,3.99
76,04/29/2021 20:30:00,0.5,0.8,-17,-16,3.99
77,04/29/2021 20:40:00,0.5,0.8,-18,-17,3.99
78,04/29/2021 20:50:00,0.5,0.5,-19,-18,3.99
79,04/29/2021 21:00:00,0.5,0.5,-20,-20,3.99
80,04/29/2021 21:10:00,0.5,0.5,-21,-21,3.99
81,04/29/2021 21:20:00,0.5,0.1,-22,-22,3.99
82,04/29/2021 21:30:00,0.5,0.1,-24,-23,3.99
83,04/29/2021 21:40:00,0.5,0.1,-25,-24,3.99
84,04/29/2021 21:50:00,0.5,0.1,-26,-26,3.99
85,04/29/2021 22:00:00,0.5,0.1,-27,-27,3.99
86,04/29/2021 22:10:00,0.5,0.1,-29,-28,3.99
87,04/29/2021 22:20:00,0.5,-0.2,-30,-29,3.99
88,04/29/2021 22:30:00,0.5,-0.2,-31,-30,3.99
