sample,datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3,wtrhgt__4
1,05/05/2021 13:30:00,0.9,1.8,-52,-52
2,05/05/2021 13:40:00,0.8,1.8,-52,-52
3,05/05/2021 13:50:00,0.6,1.8,-52,-52
4,05/05/2021 14:00:00,0.5,1.8,-52,-52
5,05/05/2021 14:10:00,0.5,1.8,-52,-52
6,05/05/2021 14:20:00,0.5,2.0,-52,-52
7,05/05/2021 14:30:00,0.5,2.2,-52,-52
8,05/05/2021 14:40:00,0.5,2.3,-52,-52
9,05/05/2021 14:50:00,0.5,2.5,-52,-52
10,05/05/2021 15:00:00,0.5,2.6,-52,-52
11,05/05/2021 15:10:00,0.5,2.6,-52,-52
12,05/05/2021 15:20:00,0.5,2.7,-52,-52
13,05/05/2021 15:30:00,0.5,2.8,-52,-52
14,05/05/2021 15:40:00,0.5,2.8,-52,-52
15,05/05/2021 15:50:00,0.5,2.8,-52,-52
16,05/05/2021 16:00:00,0.5,2.8,-52,-52
17,05/05/2021 16:10:00,0.5,2.8,-52,-52
18,05/05/2021 16:20:00,0.5,2.7,-52,-52
19,05/05/2021 16:30:00,0.5,2.7,-52,-52
20,05/05/2021 16:40:00,0.5,2.8,-52,-52
21,05/05/2021 16:50:00,0.5,2.9,-52,-52
22,05/05/2021 17:00:00,0.5,3.1,-52,-52
23,05/05/2021 17:10:00,0.5,3.3,-52,-52
24,05/05/2021 17:20:00,0.5,3.6,-52,-52
25,05/05/2021 17:30:00,0.5,3.7,-52,-52
26,05/05/2021 17:40:00,0.5,4.3,-52,-52
27,05/05/2021 17:50:00,0.5,4.7,-52,-52
28,05/05/2021 18:00:00,0.5,4.6,-52,-52
29,05/05/2021 18:10:00,0.5,4.2,-52,-52
30,05/05/2021 18:20:00,0.5,3.9,-52,-52
31,05/05/2021 18:30:00,0.5,3.6,-52,-52
32,05/05/2021 18:40:00,0.5,3.5,-52,-52
33,05/05/2021 18:50:00,0.5,3.2,-52,-52
34,05/05/2021 19:00:00,0.5,3.0,-52,-52
35,05/05/2021 19:10:00,0.5,2.8,-52,-52
36,05/05/2021 19:20:00,0.5,2.5,-52,-52
37,05/05/2021 19:30:00,0.5,2.2,-52,-52
38,05/05/2021 19:40:00,0.5,1.9,-52,-52
39,05/05/2021 19:50:00,0.5,1.5,-52,-52
40,05/05/2021 20:00:00,0.5,1.3,-52,-52
41,05/05/2021 20:10:00,0.5,1.0,-52,-52
42,05/05/2021 20:20:00,0.5,0.8,-52,-52
43,05/05/2021 20:30:00,0.5,0.6,-52,-52
44,05/05/2021 20:40:00,0.5,0.5,-52,-52
45,05/05/2021 20:50:00,0.5,0.3,-52,-52
46,05/05/2021 21:00:00,0.5,0.2,-52,-52
47,05/05/2021 21:10:00,0.5,0.1,-52,-52
48,05/05/2021 21:20:00,0.5,-0.1,-52,-52
49,05/05/2021 21:30:00,0.5,-0.2,-52,-52
50,05/05/2021 21:40:00,0.5,-0.2,-52,-52
51,05/05/2021 21:50:00,0.5,-0.3,-52,-52
52,05/05/2021 22:00:00,0.5,-0.5,-52,-52
53,05/05/2021 22:10:00,0.5,-0.5,-52,-52
54,05/05/2021 22:20:00,0.5,-0.6,-52,-52
55,05/05/2021 22:30:00,0.5,-0.8,-52,-52
56,05/05/2021 22:40:00,0.5,-0.9,-52,-52
57,05/05/2021 22:50:00,0.5,-1.0,-52,-52
58,05/05/2021 23:00:00,0.5,-1.0,-52,-52
59,05/05/2021 23:10:00,0.5,-1.0,-52,-52
60,05/05/2021 23:20:00,0.5,-1.0,-52,-52
61,05/05/2021 23:30:00,0.5,-1.0,-52,-52
62,05/05/2021 23:40:00,0.5,-1.0,-52,-52
63,05/05/2021 23:50:00,0.5,-1.0,-52,-52
64,05/06/2021 00:00:00,0.5,-1.1,-52,-52
65,05/06/2021 00:10:00,0.5,-1.1,-52,-52
66,05/06/2021 00:20:00,0.5,-1.1,-52,-52
67,05/06/2021 00:30:00,0.5,-1.2,-52,-52
68,05/06/2021 00:40:00,0.5,-1.3,-52,-52
69,05/06/2021 00:50:00,0.5,-1.4,-52,-52
70,05/06/2021 01:00:00,0.5,-1.5,-52,-52
71,05/06/2021 01:10:00,0.5,-1.6,-52,-52
72,05/06/2021 01:20:00,0.5,-1.6,-52,-52
73,05/06/2021 01:30:00,0.5,-1.7,-52,-52
74,05/06/2021 01:40:00,0.5,-1.8,-52,-52
75,05/06/2021 01:50:00,0.5,-1.8,-52,-52
76,05/06/2021 02:00:00,0.5,-1.9,-52,-52
77,05/06/2021 02:10:00,0.5,-1.9,-52,-52
78,05/06/2021 02:20:00,0.5,-2.0,-52,-52
79,05/06/2021 02:30:00,0.5,-2.0,-52,-52
80,05/06/2021 02:40:00,0.5,-2.1,-52,-52
81,05/06/2021 02:50:00,0.5,-2.1,-52,-52
82,05/06/2021 03:00:00,0.5,-2.2,-52,-52
83,05/06/2021 03:10:00,0.5,-2.2,-52,-52
84,05/06/2021 03:20:00,0.5,-2.3,-52,-52
85,05/06/2021 03:30:00,0.5,-2.3,-52,-52
86,05/06/2021 03:40:00,0.5,-2.4,-52,-52
87,05/06/2021 03:50:00,0.5,-2.4,-52,-52
88,05/06/2021 04:00:00,0.5,-2.5,-52,-52
89,05/06/2021 04:10:00,0.5,-2.5,-52,-52
90,05/06/2021 04:20:00,0.5,-2.5,-52,-52
91,05/06/2021 04:30:00,0.5,-2.5,-52,-52
92,05/06/2021 04:40:00,0.5,-2.6,-52,-52
93,05/06/2021 04:50:00,0.5,-2.6,-52,-52
94,05/06/2021 05:00:00,0.5,-2.7,-52,-52
