sample,datetime,wtemp_a_1,wtrhgt_2,wtrhgt_3
5497,4/8/22 16:00,0.9,63,64
5498,4/8/22 16:10,0.9,64,64
5499,4/8/22 16:20,0.9,64,64
5500,4/8/22 16:30,0.9,64,64
5501,4/8/22 16:40,0.9,64,64
5502,4/8/22 16:50,0.9,64,64
5503,4/8/22 17:00,0.9,64,64
5504,4/8/22 17:10,0.9,64,64
5505,4/8/22 17:20,0.9,64,64
5506,4/8/22 17:30,0.9,64,64
5507,4/8/22 17:40,0.9,64,64
5508,4/8/22 17:50,0.9,64,64
5509,4/8/22 18:00,0.9,64,64
5510,4/8/22 18:10,0.9,64,64
5511,4/8/22 18:20,0.9,64,64
5512,4/8/22 18:30,0.9,64,64
5513,4/8/22 18:40,0.9,64,64
5514,4/8/22 18:50,0.9,64,64
5515,4/8/22 19:00,0.9,64,64
5516,4/8/22 19:10,0.9,64,64
5517,4/8/22 19:20,0.9,64,64
5518,4/8/22 19:30,0.9,64,64
5519,4/8/22 19:40,0.9,64,64
5520,4/8/22 19:50,0.9,64,64
5521,4/8/22 20:00,0.9,64,64
5522,4/8/22 20:10,0.9,64,64
5523,4/8/22 20:20,0.9,64,64
5524,4/8/22 20:30,0.9,64,64
5525,4/8/22 20:40,0.9,64,64
5526,4/8/22 20:50,0.9,64,64
5527,4/8/22 21:00,0.9,64,64
5528,4/8/22 21:10,0.9,64,64
5529,4/8/22 21:20,0.8,64,64
5530,4/8/22 21:30,0.8,64,64
5531,4/8/22 21:40,0.8,64,64
5532,4/8/22 21:50,0.8,64,64
5533,4/8/22 22:00,0.8,64,64
5534,4/8/22 22:10,0.8,64,64
5535,4/8/22 22:20,0.8,64,64
5536,4/8/22 22:30,0.8,64,64
5537,4/8/22 22:40,0.8,64,64
5538,4/8/22 22:50,0.8,64,64
5539,4/8/22 23:00,0.8,64,64
5540,4/8/22 23:10,0.8,64,64
5541,4/8/22 23:20,0.8,64,64
5542,4/8/22 23:30,0.8,64,64
5543,4/8/22 23:40,0.8,64,64
5544,4/8/22 23:50,0.8,64,64
5545,4/8/22 0:00,0.8,64,64
5546,4/9/22 0:10,0.8,64,64
5547,4/9/22 0:20,0.8,64,64
5548,4/9/22 0:30,0.8,64,64
5549,4/9/22 0:40,0.8,64,64
5550,4/9/22 0:50,0.8,64,64
5551,4/9/22 1:00,0.7,64,64
5552,4/9/22 1:10,0.7,64,64
5553,4/9/22 1:20,0.7,64,64
5554,4/9/22 1:30,0.7,64,64
5555,4/9/22 1:40,0.7,64,64
5556,4/9/22 1:50,0.7,64,64
5557,4/9/22 2:00,0.7,64,64
5558,4/9/22 2:10,0.7,64,64
5559,4/9/22 2:20,0.7,64,64
5560,4/9/22 2:30,0.7,64,64
5561,4/9/22 2:40,0.7,64,64
5562,4/9/22 2:50,0.7,64,64
5563,4/9/22 3:00,0.7,64,64
5564,4/9/22 3:10,0.7,64,64
