sample,datetime,wtemp_a_1,wtrhgt__2,wtrhgt__3
1,1/3/22 12:00,0,57,57
2,1/3/22 12:10,0,57,57
3,1/3/22 12:20,0,57,57
4,1/3/22 12:30,0,57,57
5,1/3/22 12:40,0,57,57
6,1/3/22 12:50,0,57,57
7,1/3/22 13:00,0,56,56
8,1/3/22 13:10,0,56,56
9,1/3/22 13:20,0,56,56
10,1/3/22 13:30,0,56,56
11,1/3/22 13:40,0,57,56
12,1/3/22 13:50,0,56,56
13,1/3/22 14:00,0,56,56
14,1/3/22 14:10,0,57,56
15,1/3/22 14:20,0,56,56
16,1/3/22 14:30,0,56,56
17,1/3/22 14:40,0,56,56
18,1/3/22 14:50,0,56,56
19,1/3/22 15:00,0,57,56
20,1/3/22 15:10,0,56,56
21,1/3/22 15:20,0,57,57
22,1/3/22 15:30,0,56,57
23,1/3/22 15:40,0,57,56
24,1/3/22 15:50,0,57,57
25,1/3/22 16:00,0,57,57
26,1/3/22 16:10,0,57,57
27,1/3/22 16:20,0,57,57
28,1/3/22 16:30,0,57,57
29,1/3/22 16:40,0,57,57
30,1/3/22 16:50,0,57,57
31,1/3/22 17:00,0,57,57
32,1/3/22 17:10,0,57,57
33,1/3/22 17:20,0,57,57
34,1/3/22 17:30,0,57,57
35,1/3/22 17:40,0,57,57
36,1/3/22 17:50,0,57,57
37,1/3/22 18:00,0,57,57
38,1/3/22 18:10,0,57,57
39,1/3/22 18:20,0,57,57
40,1/3/22 18:30,0,57,57
41,1/3/22 18:40,0,57,57
42,1/3/22 18:50,0,57,57
43,1/3/22 19:00,0,57,57
44,1/3/22 19:10,0,57,57
45,1/3/22 19:20,0,57,57
46,1/3/22 19:30,0,57,57
47,1/3/22 19:40,0,57,57
48,1/3/22 19:50,0,57,57
49,1/3/22 20:00,0,57,57
50,1/3/22 20:10,0,57,57
51,1/3/22 20:20,0,57,57
52,1/3/22 20:30,0,57,57
53,1/3/22 20:40,0,57,57
54,1/3/22 20:50,0,57,57
55,1/3/22 21:00,0,57,57
56,1/3/22 21:10,0,57,57
57,1/3/22 21:20,0,57,57
58,1/3/22 21:30,0,58,57
59,1/3/22 21:40,0,58,58
60,1/3/22 21:50,0,58,58
61,1/3/22 22:00,0,58,58
62,1/3/22 22:10,0,57,58
63,1/3/22 22:20,0,57,58
64,1/3/22 22:30,0,57,57
65,1/3/22 22:40,0,57,57
66,1/3/22 22:50,0,58,57
67,1/3/22 23:00,0,57,57
68,1/3/22 23:10,0,57,57
69,1/3/22 23:20,0,57,57
70,1/3/22 23:30,0,57,57
71,1/3/22 23:40,0,57,57
72,1/3/22 23:50,0,57,57
73,1/3/22 0:00,0,57,57
74,2/3/22 0:10,0,57,57
75,2/3/22 0:20,0,57,57
76,2/3/22 0:30,0,56,57
77,2/3/22 0:40,0,57,57
78,2/3/22 0:50,0,56,57
79,2/3/22 1:00,0,56,57
80,2/3/22 1:10,0,57,56
81,2/3/22 1:20,0,57,56
82,2/3/22 1:30,0,56,56
83,2/3/22 1:40,0,56,56
84,2/3/22 1:50,0,56,56
85,2/3/22 2:00,0,56,56
86,2/3/22 2:10,0,56,56
87,2/3/22 2:20,0,56,56
88,2/3/22 2:30,0,56,56
89,2/3/22 2:40,0,56,56
90,2/3/22 2:50,0,56,56
91,2/3/22 3:00,0,56,56
92,2/3/22 3:10,0,56,56
93,2/3/22 3:20,0,56,56
94,2/3/22 3:30,0,56,56
95,2/3/22 3:40,0,56,56
96,2/3/22 3:50,0,56,56
97,2/3/22 4:00,0,56,56
98,2/3/22 4:10,0,56,56
99,2/3/22 4:20,0,56,56
100,2/3/22 4:30,0,56,56
