Created by Omnilog Version 7.2 at 16/05/2022 12:02:38,,,,
Logger Type   WT-HR 64K,,,,
Serial Number   1804237,,,,
Logging Period   10min,,,,
Logger Status   Running Looping,,,,
Total Samples   10944,,,,
Number of Trips   6,,,,
Logger ID   Factory Default Reset on 23/04/2018,,,,
,,,,
Sample,Date Time,Water Temp,Water Height,Water Height
Number,d/m/y,Average,Point,Average
,24hr,°C,mm,mm
161,02/03/2022 14:40:00,1.0,10,10
162,02/03/2022 14:50:00,1.0,10,10
163,02/03/2022 15:00:00,1.0,10,10
164,02/03/2022 15:10:00,1.0,10,10
165,02/03/2022 15:20:00,1.0,10,10
166,02/03/2022 15:30:00,1.0,10,10
167,02/03/2022 15:40:00,1.0,10,10
168,02/03/2022 15:50:00,1.0,10,10
169,02/03/2022 16:00:00,1.0,10,10
170,02/03/2022 16:10:00,1.0,10,10
171,02/03/2022 16:20:00,1.0,10,10
172,02/03/2022 16:30:00,1.0,10,10
173,02/03/2022 16:40:00,1.0,10,10
174,02/03/2022 16:50:00,1.0,10,10
175,02/03/2022 17:00:00,1.0,10,10
176,02/03/2022 17:10:00,1.0,10,10
177,02/03/2022 17:20:00,1.0,10,10
178,02/03/2022 17:30:00,1.0,10,10
179,02/03/2022 17:40:00,1.0,10,10
180,02/03/2022 17:50:00,1.0,10,10
181,02/03/2022 18:00:00,1.0,10,10
182,02/03/2022 18:10:00,1.0,10,10
183,02/03/2022 18:20:00,1.0,10,10
184,02/03/2022 18:30:00,1.0,10,10
185,02/03/2022 18:40:00,1.0,10,10
186,02/03/2022 18:50:00,1.0,10,10
187,02/03/2022 19:00:00,1.0,10,10
188,02/03/2022 19:10:00,1.0,10,10
189,02/03/2022 19:20:00,1.0,10,10
190,02/03/2022 19:30:00,1.0,10,10
191,02/03/2022 19:40:00,1.0,10,10
192,02/03/2022 19:50:00,1.0,10,10
193,02/03/2022 20:00:00,1.0,10,10
194,02/03/2022 20:10:00,1.0,10,10
195,02/03/2022 20:20:00,1.0,10,10
196,02/03/2022 20:30:00,1.0,10,10
197,02/03/2022 20:40:00,1.0,10,10
198,02/03/2022 20:50:00,1.0,10,10
199,02/03/2022 21:00:00,1.0,10,10
200,02/03/2022 21:10:00,1.0,10,10
201,02/03/2022 21:20:00,1.0,10,10
202,02/03/2022 21:30:00,1.0,10,10
203,02/03/2022 21:40:00,1.0,10,10
204,02/03/2022 21:50:00,1.0,10,10
205,02/03/2022 22:00:00,1.0,10,10
206,02/03/2022 22:10:00,1.0,10,10
207,02/03/2022 22:20:00,1.0,10,10
208,02/03/2022 22:30:00,1.0,10,10
209,02/03/2022 22:40:00,1.0,10,10
210,02/03/2022 22:50:00,1.0,10,10
211,02/03/2022 23:00:00,1.0,10,10
212,02/03/2022 23:10:00,1.0,10,10
213,02/03/2022 23:20:00,1.0,10,10
214,02/03/2022 23:30:00,1.0,10,10
215,02/03/2022 23:40:00,1.0,10,10
216,02/03/2022 23:50:00,1.0,10,10
217,03/03/2022 00:00:00,1.0,10,10
218,03/03/2022 00:10:00,1.0,10,10
219,03/03/2022 00:20:00,1.0,10,10
220,03/03/2022 00:30:00,1.0,10,10
221,03/03/2022 00:40:00,1.0,10,10
222,03/03/2022 00:50:00,1.0,10,10
223,03/03/2022 01:00:00,1.0,10,11
224,03/03/2022 01:10:00,1.0,10,10
225,03/03/2022 01:20:00,1.0,10,10
226,03/03/2022 01:30:00,1.0,10,10
227,03/03/2022 01:40:00,1.0,10,10
228,03/03/2022 01:50:00,1.0,10,10
229,03/03/2022 02:00:00,1.0,10,10
230,03/03/2022 02:10:00,1.0,10,10
231,03/03/2022 02:20:00,1.0,10,10
232,03/03/2022 02:30:00,1.0,10,10
233,03/03/2022 02:40:00,1.0,10,10
234,03/03/2022 02:50:00,1.0,10,10
235,03/03/2022 03:00:00,1.0,11,10
236,03/03/2022 03:10:00,1.0,10,10
237,03/03/2022 03:20:00,1.0,10,10
238,03/03/2022 03:30:00,1.0,10,10
239,03/03/2022 03:40:00,1.0,10,10
240,03/03/2022 03:50:00,1.0,10,10
241,03/03/2022 04:00:00,1.0,10,11
242,03/03/2022 04:10:00,1.0,10,10
243,03/03/2022 04:20:00,1.0,10,10
244,03/03/2022 04:30:00,1.0,10,10
245,03/03/2022 04:40:00,1.0,10,11
246,03/03/2022 04:50:00,1.0,10,11
247,03/03/2022 05:00:00,1.0,10,10
248,03/03/2022 05:10:00,1.0,10,11
249,03/03/2022 05:20:00,1.0,10,10
250,03/03/2022 05:30:00,1.0,10,10
251,03/03/2022 05:40:00,1.0,10,10
252,03/03/2022 05:50:00,1.0,10,11
253,03/03/2022 06:00:00,1.0,10,10
254,03/03/2022 06:10:00,1.0,10,10
255,03/03/2022 06:20:00,1.0,10,10
256,03/03/2022 06:30:00,1.0,10,10
257,03/03/2022 06:40:00,1.0,10,10
258,03/03/2022 06:50:00,1.0,10,10
259,03/03/2022 07:00:00,1.0,10,10
260,03/03/2022 07:10:00,1.0,10,10
261,03/03/2022 07:20:00,1.0,10,11
262,03/03/2022 07:30:00,1.0,10,11
263,03/03/2022 07:40:00,1.0,10,10
264,03/03/2022 07:50:00,1.0,10,10
265,03/03/2022 08:00:00,1.0,10,10
266,03/03/2022 08:10:00,1.0,10,10
267,03/03/2022 08:20:00,1.0,10,11
268,03/03/2022 08:30:00,1.0,10,10
269,03/03/2022 08:40:00,1.0,10,10
270,03/03/2022 08:50:00,1.0,10,10
271,03/03/2022 09:00:00,1.0,10,10
272,03/03/2022 09:10:00,1.0,10,10
273,03/03/2022 09:20:00,1.0,10,10
274,03/03/2022 09:30:00,1.0,10,10
275,03/03/2022 09:40:00,1.0,10,10
276,03/03/2022 09:50:00,1.0,10,10
277,03/03/2022 10:00:00,1.0,10,10
278,03/03/2022 10:10:00,1.0,10,10
279,03/03/2022 10:20:00,1.0,10,10
280,03/03/2022 10:30:00,1.0,10,10
281,03/03/2022 10:40:00,1.0,10,10
