Created by Omnilog Version 7.2 at 10/05/2022 09:59:55,,,,
Logger Type   WT-HR 64K,,,,
Serial Number   1607220,,,,
Logging Period   10min,,,,
Logger Status   Running Looping,,,,
Total Samples   10068,,,,
Number of Trips   17,,,,
Logger ID   Factory Default Reset on 19/07/2016,,,,
,,,,
Sample,Date Time,Water Temp,Water Height,Water Height
Number,d/m/y,Average,Point,Average
,24hr,°C,mm,mm
1,01/03/2022 12:00:00,0.3,-53,-53
2,01/03/2022 12:10:00,0.3,-53,-53
3,01/03/2022 12:20:00,0.3,-53,-53
4,01/03/2022 12:30:00,0.3,-53,-53
5,01/03/2022 12:40:00,0.3,-53,-53
6,01/03/2022 12:50:00,0.3,-53,-53
7,01/03/2022 13:00:00,0.3,-53,-53
8,01/03/2022 13:10:00,0.3,-53,-53
9,01/03/2022 13:20:00,0.3,-53,-53
10,01/03/2022 13:30:00,0.3,-53,-53
11,01/03/2022 13:40:00,0.3,-53,-53
12,01/03/2022 13:50:00,0.3,-53,-53
13,01/03/2022 14:00:00,0.3,-53,-53
14,01/03/2022 14:10:00,0.3,-53,-53
15,01/03/2022 14:20:00,0.3,-53,-53
16,01/03/2022 14:30:00,0.3,-53,-53
17,01/03/2022 14:40:00,0.3,-53,-53
18,01/03/2022 14:50:00,0.3,-53,-53
19,01/03/2022 15:00:00,0.3,-53,-53
20,01/03/2022 15:10:00,0.3,-53,-53
21,01/03/2022 15:20:00,0.3,-53,-53
22,01/03/2022 15:30:00,0.3,-53,-53
23,01/03/2022 15:40:00,0.3,-53,-53
24,01/03/2022 15:50:00,0.3,-53,-53
25,01/03/2022 16:00:00,0.3,-53,-53
26,01/03/2022 16:10:00,0.3,-53,-53
27,01/03/2022 16:20:00,0.3,-53,-53
28,01/03/2022 16:30:00,0.3,-53,-53
29,01/03/2022 16:40:00,0.3,-53,-53
30,01/03/2022 16:50:00,0.3,-53,-53
31,01/03/2022 17:00:00,0.3,-53,-53
32,01/03/2022 17:10:00,0.3,-53,-53
33,01/03/2022 17:20:00,0.3,-53,-53
34,01/03/2022 17:30:00,0.3,-53,-53
35,01/03/2022 17:40:00,0.3,-53,-53
36,01/03/2022 17:50:00,0.3,-53,-53
37,01/03/2022 18:00:00,0.3,-53,-53
38,01/03/2022 18:10:00,0.3,-53,-53
39,01/03/2022 18:20:00,0.3,-53,-53
40,01/03/2022 18:30:00,0.3,-53,-53
41,01/03/2022 18:40:00,0.3,-53,-53
42,01/03/2022 18:50:00,0.3,-53,-53
43,01/03/2022 19:00:00,0.3,-53,-53
44,01/03/2022 19:10:00,0.3,-53,-53
45,01/03/2022 19:20:00,0.3,-53,-53
46,01/03/2022 19:30:00,0.3,-53,-53
47,01/03/2022 19:40:00,0.3,-53,-53
48,01/03/2022 19:50:00,0.3,-53,-53
49,01/03/2022 20:00:00,0.3,-53,-53
50,01/03/2022 20:10:00,0.3,-53,-53
51,01/03/2022 20:20:00,0.3,-53,-53
52,01/03/2022 20:30:00,0.3,-53,-53
53,01/03/2022 20:40:00,0.3,-53,-53
54,01/03/2022 20:50:00,0.3,-53,-53
55,01/03/2022 21:00:00,0.3,-53,-53
56,01/03/2022 21:10:00,0.3,-53,-53
57,01/03/2022 21:20:00,0.3,-53,-53
58,01/03/2022 21:30:00,0.3,-53,-53
59,01/03/2022 21:40:00,0.3,-53,-53
60,01/03/2022 21:50:00,0.3,-53,-53
61,01/03/2022 22:00:00,0.3,-53,-53
62,01/03/2022 22:10:00,0.3,-53,-53
63,01/03/2022 22:20:00,0.3,-53,-53
64,01/03/2022 22:30:00,0.3,-53,-53
65,01/03/2022 22:40:00,0.3,-53,-53
66,01/03/2022 22:50:00,0.3,-53,-53
67,01/03/2022 23:00:00,0.3,-53,-53
68,01/03/2022 23:10:00,0.3,-53,-53
69,01/03/2022 23:20:00,0.3,-53,-53
70,01/03/2022 23:30:00,0.3,-53,-53
71,01/03/2022 23:40:00,0.3,-53,-53
72,01/03/2022 23:50:00,0.3,-53,-53
73,02/03/2022 00:00:00,0.3,-53,-53
74,02/03/2022 00:10:00,0.3,-53,-53
75,02/03/2022 00:20:00,0.3,-53,-53
76,02/03/2022 00:30:00,0.3,-53,-53
77,02/03/2022 00:40:00,0.3,-53,-53
78,02/03/2022 00:50:00,0.3,-53,-53
79,02/03/2022 01:00:00,0.3,-53,-53
80,02/03/2022 01:10:00,0.3,-53,-53
81,02/03/2022 01:20:00,0.3,-53,-53
82,02/03/2022 01:30:00,0.3,-53,-53
83,02/03/2022 01:40:00,0.3,-53,-53
84,02/03/2022 01:50:00,0.3,-53,-53
85,02/03/2022 02:00:00,0.3,-53,-53
86,02/03/2022 02:10:00,0.3,-53,-53
87,02/03/2022 02:20:00,0.3,-53,-53
88,02/03/2022 02:30:00,0.3,-53,-53
89,02/03/2022 02:40:00,0.3,-53,-53
90,02/03/2022 02:50:00,0.3,-53,-53
91,02/03/2022 03:00:00,0.3,-53,-53
92,02/03/2022 03:10:00,0.3,-53,-53
93,02/03/2022 03:20:00,0.3,-53,-53
94,02/03/2022 03:30:00,0.3,-53,-53
95,02/03/2022 03:40:00,0.3,-53,-53
96,02/03/2022 03:50:00,0.3,-53,-53
97,02/03/2022 04:00:00,0.3,-53,-53
98,02/03/2022 04:10:00,0.3,-53,-53
99,02/03/2022 04:20:00,0.3,-53,-53
100,02/03/2022 04:30:00,0.3,-53,-53
101,02/03/2022 04:40:00,0.3,-53,-53
102,02/03/2022 04:50:00,0.3,-53,-53
103,02/03/2022 05:00:00,0.3,-53,-53
104,02/03/2022 05:10:00,0.3,-53,-53
105,02/03/2022 05:20:00,0.3,-53,-53
106,02/03/2022 05:30:00,0.3,-53,-53
107,02/03/2022 05:40:00,0.3,-53,-53
108,02/03/2022 05:50:00,0.3,-53,-53
109,02/03/2022 06:00:00,0.3,-53,-53
110,02/03/2022 06:10:00,0.3,-53,-53
111,02/03/2022 06:20:00,0.3,-53,-53
