"Plot Title: 20879786"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879786, SEN S/N: 20879786)","Temp, °C (LGR S/N: 20879786, SEN S/N: 20879786)","Abs Pres Barom., kPa (LGR S/N: 20833949, SEN S/N: 20833949)","Sensor Depth, meters (LGR S/N: 20879786)"
1,09/18/20 01:00:00 AM,78.434,4.207,71.359,0.721
2,09/18/20 01:10:00 AM,78.443,4.207,71.361,0.722
3,09/18/20 01:20:00 AM,78.453,4.207,71.355,0.724
4,09/18/20 01:30:00 AM,78.472,4.207,71.357,0.726
5,09/18/20 01:40:00 AM,78.462,4.207,71.357,0.725
6,09/18/20 01:50:00 AM,78.462,4.207,71.360,0.724
7,09/18/20 02:00:00 AM,78.472,4.207,71.362,0.725
8,09/18/20 02:10:00 AM,78.462,4.207,71.365,0.724
9,09/18/20 02:20:00 AM,78.472,4.207,71.367,0.725
10,09/18/20 02:30:00 AM,78.472,4.207,71.345,0.727
11,09/18/20 02:40:00 AM,78.472,4.207,71.356,0.726
12,09/18/20 02:50:00 AM,78.472,4.207,71.367,0.725
13,09/18/20 03:00:00 AM,78.472,4.207,71.370,0.724
14,09/18/20 03:10:00 AM,78.481,4.207,71.372,0.725
15,09/18/20 03:20:00 AM,78.472,4.207,71.365,0.725
16,09/18/20 03:30:00 AM,78.462,4.207,71.358,0.724
17,09/18/20 03:40:00 AM,78.462,4.207,71.351,0.725
18,09/18/20 03:50:00 AM,78.462,4.207,71.345,0.726
19,09/18/20 04:00:00 AM,78.472,4.207,71.347,0.727
20,09/18/20 04:10:00 AM,78.472,4.207,71.340,0.727
21,09/18/20 04:20:00 AM,78.453,4.207,71.342,0.725
22,09/18/20 04:30:00 AM,78.472,4.207,71.342,0.727
23,09/18/20 04:40:00 AM,78.462,4.207,71.335,0.727
24,09/18/20 04:50:00 AM,78.462,4.207,71.326,0.728
25,09/18/20 05:00:00 AM,78.462,4.207,71.333,0.727
26,09/18/20 05:10:00 AM,78.472,4.207,71.333,0.728
27,09/18/20 05:20:00 AM,78.462,4.207,71.331,0.727
28,09/18/20 05:30:00 AM,78.462,4.207,71.322,0.728
29,09/18/20 05:40:00 AM,78.453,4.207,71.322,0.727
30,09/18/20 05:50:00 AM,78.472,4.207,71.313,0.730
31,09/18/20 06:00:00 AM,78.472,4.207,71.331,0.728
32,09/18/20 06:10:00 AM,78.472,4.207,71.331,0.728
33,09/18/20 06:20:00 AM,78.481,4.207,71.349,0.727
34,09/18/20 06:30:00 AM,78.481,4.207,71.322,0.730
35,09/18/20 06:40:00 AM,78.472,4.207,71.331,0.728
36,09/18/20 06:50:00 AM,78.491,4.207,71.340,0.729
37,09/18/20 07:00:00 AM,78.491,4.207,71.358,0.727
38,09/18/20 07:10:00 AM,78.491,4.207,71.349,0.728
39,09/18/20 07:20:00 AM,78.501,4.207,71.360,0.728
40,09/18/20 07:30:00 AM,78.501,4.207,71.351,0.729
41,09/18/20 07:40:00 AM,78.501,4.207,71.358,0.728
42,09/18/20 07:50:00 AM,78.501,4.207,71.358,0.728
