"Plot Title: 20879774"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879774, SEN S/N: 20879774)","Temp, °C (LGR S/N: 20879774, SEN S/N: 20879774)","Abs Pres Barom., kPa (LGR S/N: 20833949, SEN S/N: 20833949)","Sensor Depth, meters (LGR S/N: 20879774)"
1,09/18/20 01:00:00 AM,74.126,4.623,71.359,0.282
2,09/18/20 01:10:00 AM,74.136,4.623,71.361,0.283
3,09/18/20 01:20:00 AM,74.136,4.623,71.355,0.284
4,09/18/20 01:30:00 AM,74.136,4.623,71.357,0.283
5,09/18/20 01:40:00 AM,74.136,4.623,71.357,0.283
6,09/18/20 01:50:00 AM,74.136,4.623,71.360,0.283
7,09/18/20 02:00:00 AM,74.136,4.623,71.362,0.283
8,09/18/20 02:10:00 AM,74.136,4.623,71.365,0.283
9,09/18/20 02:20:00 AM,74.126,4.623,71.367,0.281
10,09/18/20 02:30:00 AM,74.136,4.623,71.345,0.285
11,09/18/20 02:40:00 AM,74.136,4.623,71.356,0.283
12,09/18/20 02:50:00 AM,74.116,4.623,71.367,0.280
13,09/18/20 03:00:00 AM,74.126,4.623,71.370,0.281
14,09/18/20 03:10:00 AM,74.136,4.623,71.372,0.282
15,09/18/20 03:20:00 AM,74.106,4.623,71.365,0.280
16,09/18/20 03:30:00 AM,74.096,4.623,71.358,0.279
17,09/18/20 03:40:00 AM,74.096,4.623,71.351,0.280
18,09/18/20 03:50:00 AM,74.096,4.623,71.345,0.281
19,09/18/20 04:00:00 AM,74.066,4.623,71.347,0.277
20,09/18/20 04:10:00 AM,74.076,4.623,71.340,0.279
21,09/18/20 04:20:00 AM,74.086,4.623,71.342,0.280
22,09/18/20 04:30:00 AM,74.066,4.623,71.342,0.278
23,09/18/20 04:40:00 AM,74.066,4.623,71.335,0.278
24,09/18/20 04:50:00 AM,74.086,4.623,71.326,0.281
25,09/18/20 05:00:00 AM,74.086,4.623,71.333,0.281
26,09/18/20 05:10:00 AM,74.076,4.623,71.333,0.280
27,09/18/20 05:20:00 AM,74.076,4.623,71.331,0.280
28,09/18/20 05:30:00 AM,74.066,4.623,71.322,0.280
29,09/18/20 05:40:00 AM,74.076,4.623,71.322,0.281
30,09/18/20 05:50:00 AM,74.096,4.623,71.313,0.284
