"Plot Title: 20879900"
"#","Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 20879900, SEN S/N: 20879900)","Temp, °C (LGR S/N: 20879900, SEN S/N: 20879900)","Coupler Detached (LGR S/N: 20879900)","Coupler Attached (LGR S/N: 20879900)","Host Connected (LGR S/N: 20879900)","Stopped (LGR S/N: 20879900)","End Of File (LGR S/N: 20879900)"
1,09/16/20 04:50:00 PM,70.574,16.332,Logged,,,,
2,09/16/20 05:00:00 PM,70.580,14.613,,,,,
3,09/16/20 05:10:00 PM,70.575,13.461,,,,,
4,09/16/20 05:20:00 PM,70.573,12.690,,,,,
5,09/16/20 05:30:00 PM,70.585,12.013,,,,,
6,09/16/20 05:40:00 PM,70.580,11.431,,,,,
7,09/16/20 05:50:00 PM,70.574,11.041,,,,,
8,09/16/20 06:00:00 PM,70.586,10.651,,,,,
9,09/16/20 06:10:00 PM,70.584,10.357,,,,,
10,09/16/20 06:20:00 PM,70.590,10.063,,,,,
11,09/16/20 06:30:00 PM,70.577,9.768,,,,,
12,09/16/20 06:40:00 PM,70.584,9.472,,,,,
13,09/16/20 06:50:00 PM,70.585,9.275,,,,,
14,09/16/20 07:00:00 PM,70.586,9.077,,,,,
15,09/16/20 07:10:00 PM,70.592,8.779,,,,,
16,09/16/20 07:20:00 PM,70.574,8.382,,,,,
17,09/16/20 07:30:00 PM,70.594,7.983,,,,,
18,09/16/20 07:40:00 PM,70.585,7.582,,,,,
19,09/16/20 07:50:00 PM,70.586,7.179,,,,,
20,09/16/20 08:00:00 PM,70.581,6.877,,,,,
21,09/16/20 08:10:00 PM,70.606,6.573,,,,,
22,09/16/20 08:20:00 PM,70.591,6.268,,,,,
23,09/16/20 08:30:00 PM,70.595,5.962,,,,,
24,09/16/20 08:40:00 PM,70.595,5.757,,,,,
25,09/16/20 08:50:00 PM,70.604,5.552,,,,,
26,09/16/20 09:00:00 PM,70.604,5.347,,,,,
27,09/16/20 09:10:00 PM,70.603,5.141,,,,,
28,09/16/20 09:20:00 PM,70.593,4.934,,,,,
29,09/16/20 09:30:00 PM,70.592,4.727,,,,,
30,09/16/20 09:40:00 PM,70.597,4.623,,,,,
31,09/16/20 09:50:00 PM,70.582,4.519,,,,,
32,09/16/20 10:00:00 PM,70.571,4.311,,,,,
33,09/16/20 10:10:00 PM,70.575,4.207,,,,,
34,09/16/20 10:20:00 PM,70.570,4.102,,,,,
35,09/16/20 10:30:00 PM,70.574,3.998,,,,,
36,09/16/20 10:40:00 PM,70.573,3.788,,,,,
37,09/16/20 10:50:00 PM,70.558,3.683,,,,,
38,09/16/20 11:00:00 PM,70.553,3.578,,,,,
39,09/16/20 11:10:00 PM,70.567,3.472,,,,,
40,09/16/20 11:20:00 PM,70.561,3.367,,,,,
41,09/16/20 11:30:00 PM,70.565,3.261,,,,,
42,09/16/20 11:40:00 PM,70.569,3.155,,,,,
43,09/16/20 11:50:00 PM,70.564,3.049,,,,,
44,09/17/20 12:00:00 AM,70.568,2.943,,,,,
45,09/17/20 12:10:00 AM,70.582,2.837,,,,,
46,09/17/20 12:20:00 AM,70.576,2.730,,,,,
47,09/17/20 12:30:00 AM,70.561,2.624,,,,,
48,09/17/20 12:40:00 AM,70.565,2.517,,,,,
49,09/17/20 12:50:00 AM,70.559,2.410,,,,,
50,09/17/20 01:00:00 AM,70.563,2.303,,,,,
51,09/17/20 01:10:00 AM,70.557,2.195,,,,,
52,09/17/20 01:20:00 AM,70.542,2.088,,,,,
53,09/17/20 01:30:00 AM,70.545,1.980,,,,,
54,09/17/20 01:40:00 AM,70.540,1.872,,,,,
55,09/17/20 01:50:00 AM,70.530,1.872,,,,,
56,09/17/20 02:00:00 AM,70.524,1.764,,,,,
57,09/17/20 02:10:00 AM,70.528,1.656,,,,,
58,09/17/20 02:20:00 AM,70.537,1.656,,,,,
59,09/17/20 02:30:00 AM,70.532,1.548,,,,,
60,09/17/20 02:40:00 AM,70.526,1.439,,,,,
61,09/17/20 02:50:00 AM,70.545,1.439,,,,,
62,09/17/20 03:00:00 AM,70.539,1.330,,,,,
63,09/17/20 03:10:00 AM,70.533,1.221,,,,,
64,09/17/20 03:20:00 AM,70.543,1.221,,,,,
65,09/17/20 03:30:00 AM,70.546,1.112,,,,,
66,09/17/20 03:40:00 AM,70.527,1.112,,,,,
67,09/17/20 03:50:00 AM,70.531,1.003,,,,,
68,09/17/20 04:00:00 AM,70.511,1.003,,,,,
69,09/17/20 04:10:00 AM,70.515,0.893,,,,,
70,09/17/20 04:20:00 AM,70.505,0.893,,,,,
71,09/17/20 04:30:00 AM,70.505,0.893,,,,,
72,09/17/20 04:40:00 AM,70.499,0.784,,,,,
73,09/17/20 04:50:00 AM,70.499,0.784,,,,,
74,09/17/20 05:00:00 AM,70.512,0.674,,,,,
75,09/17/20 05:10:00 AM,70.506,0.563,,,,,
76,09/17/20 05:20:00 AM,70.496,0.563,,,,,
77,09/17/20 05:30:00 AM,70.500,0.453,,,,,
78,09/17/20 05:40:00 AM,70.510,0.453,,,,,
79,09/17/20 05:50:00 AM,70.503,0.343,,,,,
80,09/17/20 06:00:00 AM,70.513,0.343,,,,,
81,09/17/20 06:10:00 AM,70.497,0.232,,,,,
82,09/17/20 06:20:00 AM,70.507,0.232,,,,,
83,09/17/20 06:30:00 AM,70.500,0.121,,,,,
84,09/17/20 06:40:00 AM,70.520,0.121,,,,,
85,09/17/20 06:50:00 AM,70.520,0.121,,,,,
86,09/17/20 07:00:00 AM,70.533,0.010,,,,,
87,09/17/20 07:10:00 AM,70.543,0.010,,,,,
88,09/17/20 07:20:00 AM,70.533,0.010,,,,,
89,09/17/20 07:30:00 AM,70.559,0.121,,,,,
90,09/17/20 07:40:00 AM,70.555,0.232,,,,,
91,09/17/20 07:50:00 AM,70.542,0.343,,,,,
92,09/17/20 08:00:00 AM,70.564,0.563,,,,,
93,09/17/20 08:10:00 AM,70.577,0.784,,,,,
94,09/17/20 08:20:00 AM,70.570,1.003,,,,,
95,09/17/20 08:30:00 AM,70.588,1.330,,,,,
96,09/17/20 08:40:00 AM,70.580,1.548,,,,,
97,09/17/20 08:50:00 AM,70.598,1.872,,,,,
98,09/17/20 09:00:00 AM,70.606,2.195,,,,,
99,09/17/20 09:10:00 AM,70.613,2.517,,,,,
100,09/17/20 09:20:00 AM,70.611,2.837,,,,,
101,09/17/20 09:30:00 AM,70.618,3.155,,,,,
102,09/17/20 09:40:00 AM,70.625,3.472,,,,,
103,09/17/20 09:50:00 AM,70.632,3.788,,,,,
104,09/17/20 10:00:00 AM,70.634,4.207,,,,,
105,09/17/20 10:10:00 AM,70.636,4.623,,,,,
