Plot Title: 20879907,,,
ID,datetime,abs pres_kPa,temp_C
1,8/6/20 13:00,69.474,17.379
2,8/6/20 13:10,69.469,17.189
3,8/6/20 13:20,69.462,17.284
4,8/6/20 13:30,69.437,17.379
5,8/6/20 13:40,69.449,17.475
6,8/6/20 13:50,69.437,17.379
7,8/6/20 14:00,69.418,17.379
8,8/6/20 14:10,69.42,17.76
9,8/6/20 14:20,69.425,17.95
10,8/6/20 14:30,69.429,18.426
11,8/6/20 14:40,69.416,18.616
12,8/6/20 14:50,69.427,18.331
13,8/6/20 15:00,69.404,17.855
14,8/6/20 15:10,69.39,17.379
15,8/6/20 15:20,69.384,17.189
16,8/6/20 15:30,69.382,17.094
17,8/6/20 15:40,69.395,16.903
18,8/6/20 15:50,69.367,16.618
19,8/6/20 16:00,69.378,16.332
20,8/6/20 16:10,69.384,16.237
21,8/6/20 16:20,69.375,16.237
22,8/6/20 16:30,69.368,16.332
23,8/6/20 16:40,69.37,16.713
24,8/6/20 16:50,69.376,16.903
25,8/6/20 17:00,69.382,16.808
26,8/6/20 17:10,69.383,16.523
27,8/6/20 17:20,69.356,16.237
28,8/6/20 17:30,69.344,16.141
29,8/6/20 17:40,69.334,16.141
30,8/6/20 17:50,69.338,15.951
31,8/6/20 18:00,69.32,15.664
32,8/6/20 18:10,69.321,15.378
33,8/6/20 18:20,69.321,15.091
34,8/6/20 18:30,69.287,14.9
35,8/6/20 18:40,69.29,14.709
36,8/6/20 18:50,69.322,14.517
37,8/6/20 19:00,69.319,14.421
38,8/6/20 19:10,69.328,14.421
39,8/6/20 19:20,69.313,14.517
40,8/6/20 19:30,69.322,14.517
41,8/6/20 19:40,69.341,14.23
42,8/6/20 19:50,69.329,13.846
43,8/6/20 20:00,69.338,13.558
44,8/6/20 20:10,69.363,13.173
45,8/6/20 20:20,69.351,12.787
46,8/6/20 20:30,69.372,12.304
47,8/6/20 20:40,69.394,11.819
48,8/6/20 20:50,69.393,11.528
49,8/6/20 21:00,69.393,11.236
50,8/6/20 21:10,69.405,11.041
