Plot Title:  21190576,,,,,,,
#,"Date Time, GMT-06:00","Abs Pres, kPa (LGR S/N: 21190576, SEN S/N: 21190576)","Temp, °C (LGR S/N: 21190576, SEN S/N: 21190576)",Coupler Detached (LGR S/N: 21190576),Coupler Attached (LGR S/N: 21190576),Host Connected (LGR S/N: 21190576),End Of File (LGR S/N: 21190576)
1,5/24/22 8:11,72.74,12.98,,,,
2,5/24/22 8:11,,,Logged,,,
3,5/24/22 8:16,72.74,14.9,,,,
4,5/24/22 8:21,72.725,14.804,,,,
5,5/24/22 8:26,72.733,14.709,,,,
6,5/24/22 8:31,72.73,14.613,,,,
7,5/24/22 8:36,72.219,14.517,,,,
8,5/24/22 8:41,72.242,14.23,,,,
9,5/24/22 8:46,72.237,13.75,,,,
10,5/24/22 8:51,72.238,13.461,,,,
11,5/24/22 8:56,72.224,13.365,,,,
12,5/24/22 9:01,72.217,13.173,,,,
13,5/24/22 9:06,72.203,13.076,,,,
14,5/24/22 9:11,72.21,12.98,,,,
15,5/24/22 9:16,72.207,12.883,,,,
16,5/24/22 9:21,72.185,12.883,,,,
17,5/24/22 9:26,72.182,12.787,,,,
18,5/24/22 9:31,72.2,12.69,,,,
19,5/24/22 9:36,72.189,12.69,,,,
20,5/24/22 9:41,72.186,12.594,,,,
21,5/24/22 9:46,72.197,12.594,,,,
22,5/24/22 9:51,72.205,12.497,,,,
23,5/24/22 9:56,72.205,12.497,,,,
24,5/24/22 10:01,72.179,12.401,,,,
25,5/24/22 10:06,72.179,12.401,,,,
26,5/24/22 10:11,72.187,12.304,,,,
27,5/24/22 10:16,72.176,12.304,,,,
28,5/24/22 10:21,72.172,12.207,,,,
29,5/24/22 10:26,72.169,12.11,,,,
30,5/24/22 10:31,72.169,12.11,,,,
31,5/24/22 10:36,72.154,12.013,,,,
32,5/24/22 10:41,72.143,12.013,,,,
33,5/24/22 10:46,72.154,12.013,,,,
34,5/24/22 10:51,72.143,12.013,,,,
35,5/24/22 10:56,72.146,12.401,,,,
36,5/24/22 11:01,72.111,12.98,,,,
37,5/24/22 11:06,72.128,13.461,,,,
38,5/24/22 11:11,72.097,14.517,,,,
39,5/24/22 11:16,72.087,15.569,,,,
40,5/24/22 11:21,72.077,15.951,,,,
41,5/24/22 11:26,72.121,16.999,,,,
42,5/24/22 11:31,72.112,16.713,,,,
43,5/24/22 11:36,73.773,17.094,,,,
44,5/24/22 11:41,72.101,9.373,,,,
45,5/24/22 11:46,73.732,6.674,,,,
46,5/24/22 11:51,73.686,5.347,,,,
47,5/24/22 11:56,73.666,4.623,,,,
48,5/24/22 12:01,73.625,4.207,,,,
49,5/24/22 12:06,73.607,3.788,,,,
50,5/24/22 12:11,73.586,3.578,,,,
51,5/24/22 12:16,73.56,3.472,,,,
52,5/24/22 12:21,73.544,3.367,,,,
53,5/24/22 12:26,73.539,3.261,,,,
54,5/24/22 12:31,73.534,3.155,,,,
55,5/24/22 12:36,72.023,3.998,,,,
56,5/24/22 12:41,72.101,4.519,,,,
57,5/24/22 12:46,72.1,3.998,,,,
58,5/24/22 12:51,72.119,3.683,,,,
59,5/24/22 12:56,72.143,3.472,,,,
60,5/24/22 13:01,72.127,3.367,,,,
61,5/24/22 13:06,72.156,3.261,,,,
62,5/24/22 13:11,72.173,3.155,,,,
63,5/24/22 13:16,73.666,3.155,,,,
64,5/24/22 13:21,74.397,3.049,,,,
65,5/24/22 13:26,74.32,3.049,,,,
66,5/24/22 13:31,74.243,3.049,,,,
67,5/24/22 13:36,74.161,2.943,,,,
68,5/24/22 13:41,74.095,2.943,,,,
69,5/24/22 13:46,74.03,2.943,,,,
70,5/24/22 13:51,73.953,2.943,,,,
71,5/24/22 13:56,73.887,2.943,,,,
72,5/24/22 14:01,73.832,2.943,,,,
73,5/24/22 14:06,73.788,2.943,,,,
74,5/24/22 14:11,73.733,2.943,,,,
75,5/24/22 14:16,73.711,2.943,,,,
76,5/24/22 14:21,73.667,2.943,,,,
77,5/24/22 14:26,73.623,2.943,,,,
78,5/24/22 14:31,73.591,2.943,,,,
79,5/24/22 14:36,73.558,2.943,,,,
80,5/24/22 14:41,73.525,2.943,,,,
81,5/24/22 14:46,73.503,2.943,,,,
82,5/24/22 14:51,73.481,2.943,,,,
83,5/24/22 14:56,73.448,2.943,,,,
84,5/24/22 15:01,73.437,2.943,,,,
85,5/24/22 15:06,73.404,2.943,,,,
86,5/24/22 15:11,73.404,2.943,,,,
87,5/24/22 15:16,73.382,2.943,,,,
88,5/24/22 15:21,73.371,2.943,,,,
89,5/24/22 15:26,73.371,2.943,,,,
90,5/24/22 15:31,73.349,2.943,,,,
91,5/24/22 15:36,73.338,2.943,,,,
92,5/24/22 15:41,73.327,2.943,,,,
93,5/24/22 15:46,73.294,2.943,,,,
94,5/24/22 15:51,73.294,2.943,,,,
95,5/24/22 15:56,73.272,2.943,,,,
96,5/24/22 16:01,73.272,2.943,,,,
97,5/24/22 16:06,73.261,2.943,,,,
98,5/24/22 16:11,73.234,2.837,,,,
99,5/24/22 16:16,73.228,2.943,,,,
