date,time,voltage_v,co2_ppm,formatted_datetime
6/17/2021,11:50:00 AM,0.1018,339.3333333,06/17/2021 11:50
6/17/2021,12:00:00 PM,0.0999,333,06/17/2021 12:00
6/17/2021,12:10:00 PM,0.1024,341.3333333,06/17/2021 12:10
6/17/2021,12:20:00 PM,0.1042,347.3333333,06/17/2021 12:20
6/17/2021,12:30:00 PM,0.1019,339.6666667,06/17/2021 12:30
6/17/2021,12:40:00 PM,0.1018,339.3333333,06/17/2021 12:40
6/17/2021,12:50:00 PM,0.0967,322.3333333,06/17/2021 12:50
6/17/2021,1:00:00 PM,0.0996,332,06/17/2021 13:00
6/17/2021,1:10:00 PM,0.1014,338,06/17/2021 13:10
6/17/2021,1:20:00 PM,0.1019,339.6666667,06/17/2021 13:20
6/17/2021,1:30:00 PM,0.1002,334,06/17/2021 13:30
6/17/2021,1:40:00 PM,0.0968,322.6666667,06/17/2021 13:40
6/17/2021,1:50:00 PM,0.0996,332,06/17/2021 13:50
6/17/2021,2:00:00 PM,0.1018,339.3333333,06/17/2021 14:00
6/17/2021,2:10:00 PM,0.1023,341,06/17/2021 14:10
6/17/2021,2:20:00 PM,0.1028,342.6666667,06/17/2021 14:20
6/17/2021,2:30:00 PM,0.1049,349.6666667,06/17/2021 14:30
6/17/2021,2:40:00 PM,0.1054,351.3333333,06/17/2021 14:40
6/17/2021,2:50:00 PM,0.1071,357,06/17/2021 14:50
6/17/2021,3:00:00 PM,0.1049,349.6666667,06/17/2021 15:00
6/17/2021,3:10:00 PM,0.1068,356,06/17/2021 15:10
6/17/2021,3:20:00 PM,0.1097,365.6666667,06/17/2021 15:20
6/17/2021,3:30:00 PM,0.1068,356,06/17/2021 15:30
6/17/2021,3:40:00 PM,0.1069,356.3333333,06/17/2021 15:40
6/17/2021,3:50:00 PM,0.107,356.6666667,06/17/2021 15:50
6/17/2021,4:00:00 PM,0.1102,367.3333333,06/17/2021 16:00
6/17/2021,4:10:00 PM,0.1121,373.6666667,06/17/2021 16:10
6/17/2021,4:20:00 PM,0.1111,370.3333333,06/17/2021 16:20
