date,time,formatted_datetime,voltage_v,co2_ppm
6/17/21,11:50:00 AM,6/17/21 11:50,0.1018,339.3333333
6/17/21,12:00:00 PM,6/17/21 12:00,0.0999,333
6/17/21,12:10:00 PM,6/17/21 12:10,0.1024,341.3333333
6/17/21,12:20:00 PM,6/17/21 12:20,0.1042,347.3333333
6/17/21,12:30:00 PM,6/17/21 12:30,0.1019,339.6666667
6/17/21,12:40:00 PM,6/17/21 12:40,0.1018,339.3333333
6/17/21,12:50:00 PM,6/17/21 12:50,0.0967,322.3333333
6/17/21,1:00:00 PM,6/17/21 13:00,0.0996,332
6/17/21,1:10:00 PM,6/17/21 13:10,0.1014,338
6/17/21,1:20:00 PM,6/17/21 13:20,0.1019,339.6666667
6/17/21,1:30:00 PM,6/17/21 13:30,0.1002,334
6/17/21,1:40:00 PM,6/17/21 13:40,0.0968,322.6666667
6/17/21,1:50:00 PM,6/17/21 13:50,0.0996,332
6/17/21,2:00:00 PM,6/17/21 14:00,0.1018,339.3333333
6/17/21,2:10:00 PM,6/17/21 14:10,0.1023,341
6/17/21,2:20:00 PM,6/17/21 14:20,0.1028,342.6666667
6/17/21,2:30:00 PM,6/17/21 14:30,0.1049,349.6666667
6/17/21,2:40:00 PM,6/17/21 14:40,0.1054,351.3333333
6/17/21,2:50:00 PM,6/17/21 14:50,0.1071,357
6/17/21,3:00:00 PM,6/17/21 15:00,0.1049,349.6666667
6/17/21,3:10:00 PM,6/17/21 15:10,0.1068,356
6/17/21,3:20:00 PM,6/17/21 15:20,0.1097,365.6666667
6/17/21,3:30:00 PM,6/17/21 15:30,0.1068,356
6/17/21,3:40:00 PM,6/17/21 15:40,0.1069,356.3333333
6/17/21,3:50:00 PM,6/17/21 15:50,0.107,356.6666667
6/17/21,4:00:00 PM,6/17/21 16:00,0.1102,367.3333333
6/17/21,4:10:00 PM,6/17/21 16:10,0.1121,373.6666667
6/17/21,4:20:00 PM,6/17/21 16:20,0.1111,370.3333333
6/17/21,4:30:00 PM,6/17/21 16:30,0.1093,364.3333333
6/17/21,4:40:00 PM,6/17/21 16:40,0.1089,363
6/17/21,4:50:00 PM,6/17/21 16:50,0.108,360
6/17/21,5:00:00 PM,6/17/21 17:00,0.1067,355.6666667
6/17/21,5:10:00 PM,6/17/21 17:10,0.1092,364
6/17/21,5:20:00 PM,6/17/21 17:20,0.1077,359
6/17/21,5:30:00 PM,6/17/21 17:30,0.1071,357
6/17/21,5:40:00 PM,6/17/21 17:40,0.1092,364
6/17/21,5:50:00 PM,6/17/21 17:50,0.1045,348.3333333
6/17/21,6:00:00 PM,6/17/21 18:00,0.1081,360.3333333
6/17/21,6:10:00 PM,6/17/21 18:10,0.1092,364
6/17/21,6:20:00 PM,6/17/21 18:20,0.1095,365
6/17/21,6:30:00 PM,6/17/21 18:30,0.1122,374
6/17/21,6:40:00 PM,6/17/21 18:40,0.1194,398
6/17/21,6:50:00 PM,6/17/21 18:50,0.114,380
6/17/21,7:00:00 PM,6/17/21 19:00,0.1126,375.3333333
6/17/21,7:10:00 PM,6/17/21 19:10,0.1175,391.6666667
6/17/21,7:20:00 PM,6/17/21 19:20,0.1195,398.3333333
6/17/21,7:30:00 PM,6/17/21 19:30,0.1164,388
6/17/21,7:40:00 PM,6/17/21 19:40,0.118,393.3333333
6/17/21,7:50:00 PM,6/17/21 19:50,0.1222,407.3333333
6/17/21,8:00:00 PM,6/17/21 20:00,0.1272,424
6/17/21,8:10:00 PM,6/17/21 20:10,0.1269,423
6/17/21,8:20:00 PM,6/17/21 20:20,0.1254,418
6/17/21,8:30:00 PM,6/17/21 20:30,0.1248,416
6/17/21,8:40:00 PM,6/17/21 20:40,0.1193,397.6666667
6/17/21,8:50:00 PM,6/17/21 20:50,0.1228,409.3333333
6/17/21,9:00:00 PM,6/17/21 21:00,0.124,413.3333333
6/17/21,9:10:00 PM,6/17/21 21:10,0.1269,423
6/17/21,9:20:00 PM,6/17/21 21:20,0.1255,418.3333333
6/17/21,9:30:00 PM,6/17/21 21:30,0.1236,412
6/17/21,9:40:00 PM,6/17/21 21:40,0.1264,421.3333333
