date,time,voltage_v,co2_ppm
8/4/21,17:00:00,0.1211,403.6666667
8/4/21,17:10:00,0.1238,412.6666667
8/4/21,17:20:00,0.1248,416
8/4/21,17:30:00,0.1252,417.3333333
8/4/21,17:40:00,0.1246,415.3333333
8/4/21,17:50:00,0.1271,423.6666667
8/4/21,18:00:00,0.132,440
8/4/21,18:10:00,0.1277,425.6666667
8/4/21,18:20:00,0.1303,434.3333333
8/4/21,18:30:00,0.1325,441.6666667
8/4/21,18:40:00,0.1325,441.6666667
8/4/21,18:50:00,0.1328,442.6666667
8/4/21,19:00:00,0.1276,425.3333333
8/4/21,19:10:00,0.1315,438.3333333
8/4/21,19:20:00,0.1299,433
8/4/21,19:30:00,0.1275,425
8/4/21,19:40:00,0.1298,432.6666667
8/4/21,19:50:00,0.1278,426
8/4/21,20:00:00,0.1277,425.6666667
8/4/21,20:10:00,0.1295,431.6666667
8/4/21,20:20:00,0.13,433.3333333
8/4/21,20:30:00,0.13,433.3333333
8/4/21,20:40:00,0.132,440
8/4/21,20:50:00,0.1298,432.6666667
8/4/21,21:00:00,0.1278,426
8/4/21,21:10:00,0.1278,426
8/4/21,21:20:00,0.1294,431.3333333
8/4/21,21:30:00,0.1284,428
8/4/21,21:40:00,0.1307,435.6666667
8/4/21,21:50:00,0.1295,431.6666667
8/4/21,22:00:00,0.1287,429
8/4/21,22:10:00,0.1264,421.3333333
8/4/21,22:20:00,0.1254,418
8/4/21,22:30:00,0.1276,425.3333333
8/4/21,22:40:00,0.1284,428
8/4/21,22:50:00,0.1286,428.6666667
8/4/21,23:00:00,0.1292,430.6666667
8/4/21,23:10:00,0.1296,432
8/4/21,23:20:00,0.1299,433
8/4/21,23:30:00,0.1322,440.6666667
8/4/21,23:40:00,0.1316,438.6666667
8/4/21,23:50:00,0.1299,433
8/5/21,0:00:00,0.1263,421
8/5/21,0:10:00,0.1297,432.3333333
8/5/21,0:20:00,0.132,440
8/5/21,0:30:00,0.1322,440.6666667
8/5/21,0:40:00,0.1297,432.3333333
8/5/21,0:50:00,0.1294,431.3333333
8/5/21,1:00:00,0.1287,429
8/5/21,1:10:00,0.1272,424
8/5/21,1:20:00,0.1293,431
8/5/21,1:30:00,0.1257,419
8/5/21,1:40:00,0.1247,415.6666667
8/5/21,1:50:00,0.1247,415.6666667
8/5/21,2:00:00,0.1294,431.3333333
8/5/21,2:10:00,0.1269,423
8/5/21,2:20:00,0.1276,425.3333333
8/5/21,2:30:00,0.1272,424
8/5/21,2:40:00,0.1267,422.3333333
8/5/21,2:50:00,0.1296,432
8/5/21,3:00:00,0.1271,423.6666667
8/5/21,3:10:00,0.127,423.3333333
8/5/21,3:20:00,0.1292,430.6666667
8/5/21,3:30:00,0.1283,427.6666667
8/5/21,3:40:00,0.1249,416.3333333
8/5/21,3:50:00,0.1246,415.3333333
8/5/21,4:00:00,0.1226,408.6666667
8/5/21,4:10:00,0.1254,418
8/5/21,4:20:00,0.1255,418.3333333
8/5/21,4:30:00,0.1268,422.6666667
8/5/21,4:40:00,0.1248,416
8/5/21,4:50:00,0.1246,415.3333333
8/5/21,5:00:00,0.1242,414
8/5/21,5:10:00,0.1246,415.3333333
8/5/21,5:20:00,0.1236,412
8/5/21,5:30:00,0.1245,415
8/5/21,5:40:00,0.1259,419.6666667
8/5/21,5:50:00,0.1222,407.3333333
8/5/21,6:00:00,0.1247,415.6666667
8/5/21,6:10:00,0.1247,415.6666667
8/5/21,6:20:00,0.1246,415.3333333
8/5/21,6:30:00,0.1247,415.6666667
8/5/21,6:40:00,0.1265,421.6666667
8/5/21,6:50:00,0.1221,407
8/5/21,7:00:00,0.1202,400.6666667
8/5/21,7:10:00,0.1203,401
8/5/21,7:20:00,0.1223,407.6666667
8/5/21,7:30:00,0.1197,399
8/5/21,7:40:00,0.1209,403
8/5/21,7:50:00,0.122,406.6666667
8/5/21,8:00:00,0.1242,414
8/5/21,8:10:00,0.1244,414.6666667
