date,time,voltage_v,co2_ppm
6/15/21,15:30:00,0.0963,321
6/15/21,15:40:00,0.099,330
6/15/21,15:50:00,0.0964,321.3333333
6/15/21,16:00:00,0.1006,335.3333333
6/15/21,16:10:00,0.0972,324
6/15/21,16:20:00,0.1013,337.6666667
6/15/21,16:30:00,0.0987,329
6/15/21,16:40:00,0.1005,335
6/15/21,16:50:00,0.1026,342
6/15/21,17:00:00,0.0987,329
6/15/21,17:10:00,0.1011,337
6/15/21,17:20:00,0.1063,354.3333333
6/15/21,17:30:00,0.104,346.6666667
6/15/21,17:40:00,0.1045,348.3333333
6/15/21,17:50:00,0.1041,347
6/15/21,18:00:00,0.1047,349
6/15/21,18:10:00,0.1036,345.3333333
6/15/21,18:20:00,0.1063,354.3333333
6/15/21,18:30:00,0.107,356.6666667
6/15/21,18:40:00,0.1093,364.3333333
6/15/21,18:50:00,0.1093,364.3333333
6/15/21,19:00:00,0.1097,365.6666667
6/15/21,19:10:00,0.1137,379
6/15/21,19:20:00,0.112,373.3333333
6/15/21,19:30:00,0.1089,363
6/15/21,19:40:00,0.1087,362.3333333
6/15/21,19:50:00,0.1106,368.6666667
6/15/21,20:00:00,0.1064,354.6666667
6/15/21,20:10:00,0.1077,359
6/15/21,20:20:00,0.1077,359
6/15/21,20:30:00,0.1073,357.6666667
6/15/21,20:40:00,0.108,360
6/15/21,20:50:00,0.1064,354.6666667
6/15/21,21:00:00,0.1073,357.6666667
6/15/21,21:10:00,0.107,356.6666667
6/15/21,21:20:00,0.109,363.3333333
6/15/21,21:30:00,0.1104,368
6/15/21,21:40:00,0.1101,367
6/15/21,21:50:00,0.1105,368.3333333
6/15/21,22:00:00,0.1094,364.6666667
6/15/21,22:10:00,0.109,363.3333333
6/15/21,22:20:00,0.109,363.3333333
6/15/21,22:30:00,0.1082,360.6666667
6/15/21,22:40:00,0.1067,355.6666667
6/15/21,22:50:00,0.1087,362.3333333
6/15/21,23:00:00,0.1089,363
6/15/21,23:10:00,0.1105,368.3333333
6/15/21,23:20:00,0.1087,362.3333333
6/15/21,23:30:00,0.1112,370.6666667
6/15/21,23:40:00,0.1063,354.3333333
6/15/21,23:50:00,0.1084,361.3333333
6/16/21,0:00:00,0.1077,359
6/16/21,0:10:00,0.1077,359
6/16/21,0:20:00,0.1057,352.3333333
6/16/21,0:30:00,0.1052,350.6666667
6/16/21,0:40:00,0.1079,359.6666667
6/16/21,0:50:00,0.1075,358.3333333
6/16/21,1:00:00,0.1051,350.3333333
6/16/21,1:10:00,0.1041,347
6/16/21,1:20:00,0.1087,362.3333333
6/16/21,1:30:00,0.1036,345.3333333
6/16/21,1:40:00,0.1079,359.6666667
6/16/21,1:50:00,0.1064,354.6666667
6/16/21,2:00:00,0.1073,357.6666667
6/16/21,2:10:00,0.1061,353.6666667
6/16/21,2:20:00,0.1037,345.6666667
6/16/21,2:30:00,0.1082,360.6666667
6/16/21,2:40:00,0.1062,354
6/16/21,2:50:00,0.1054,351.3333333
6/16/21,3:00:00,0.1061,353.6666667
6/16/21,3:10:00,0.1064,354.6666667
6/16/21,3:20:00,0.1062,354
6/16/21,3:30:00,0.1037,345.6666667
