date,time,voltage,co2_ppm,formatted_datetime
8/25/2021,12:10:00 PM,65.28,217.6,08/25/2021 12:10
8/25/2021,12:20:00 PM,65.22,217.4,08/25/2021 12:20
8/25/2021,12:30:00 PM,65.615,218.7166667,08/25/2021 12:30
8/25/2021,12:40:00 PM,63.27,210.9,08/25/2021 12:40
8/25/2021,12:50:00 PM,67.3,224.3333333,08/25/2021 12:50
8/25/2021,1:00:00 PM,66.73,222.4333333,08/25/2021 13:00
8/25/2021,1:10:00 PM,70.17,233.9,08/25/2021 13:10
8/25/2021,1:20:00 PM,67.9,226.3333333,08/25/2021 13:20
8/25/2021,1:30:00 PM,67.085,223.6166667,08/25/2021 13:30
8/25/2021,1:40:00 PM,69.525,231.75,08/25/2021 13:40
8/25/2021,1:50:00 PM,67.79,225.9666667,08/25/2021 13:50
8/25/2021,2:00:00 PM,70.065,233.55,08/25/2021 14:00
8/25/2021,2:10:00 PM,68.47,228.2333333,08/25/2021 14:10
8/25/2021,2:20:00 PM,67.22,224.0666667,08/25/2021 14:20
8/25/2021,2:30:00 PM,68.05,226.8333333,08/25/2021 14:30
8/25/2021,2:40:00 PM,68.275,227.5833333,08/25/2021 14:40
8/25/2021,2:50:00 PM,67.96,226.5333333,08/25/2021 14:50
8/25/2021,3:00:00 PM,70.525,235.0833333,08/25/2021 15:00
8/25/2021,3:10:00 PM,72.055,240.1833333,08/25/2021 15:10
8/25/2021,3:20:00 PM,70.24,234.1333333,08/25/2021 15:20
8/25/2021,3:30:00 PM,70.925,236.4166667,08/25/2021 15:30
8/25/2021,3:40:00 PM,68.095,226.9833333,08/25/2021 15:40
8/25/2021,3:50:00 PM,70.89,236.3,08/25/2021 15:50
8/25/2021,4:00:00 PM,72.87,242.9,08/25/2021 16:00
8/25/2021,4:10:00 PM,68.12,227.0666667,08/25/2021 16:10
8/25/2021,4:20:00 PM,70.405,234.6833333,08/25/2021 16:20
8/25/2021,4:30:00 PM,68.075,226.9166667,08/25/2021 16:30
8/25/2021,4:40:00 PM,67.2,224,08/25/2021 16:40
8/25/2021,4:50:00 PM,63.795,212.65,08/25/2021 16:50
8/25/2021,5:00:00 PM,65.25,217.5,08/25/2021 17:00
8/25/2021,5:10:00 PM,65.52,218.4,08/25/2021 17:10
8/25/2021,5:20:00 PM,65.195,217.3166667,08/25/2021 17:20
8/25/2021,5:30:00 PM,60.44,201.4666667,08/25/2021 17:30
8/25/2021,5:40:00 PM,63.13,210.4333333,08/25/2021 17:40
8/25/2021,5:50:00 PM,65.515,218.3833333,08/25/2021 17:50
8/25/2021,6:00:00 PM,62.75,209.1666667,08/25/2021 18:00
8/25/2021,6:10:00 PM,65.125,217.0833333,08/25/2021 18:10
8/25/2021,6:20:00 PM,62.445,208.15,08/25/2021 18:20
8/25/2021,6:30:00 PM,57.975,193.25,08/25/2021 18:30
8/25/2021,6:40:00 PM,62.935,209.7833333,08/25/2021 18:40
8/25/2021,6:50:00 PM,58.145,193.8166667,08/25/2021 18:50
8/25/2021,7:00:00 PM,60.52,201.7333333,08/25/2021 19:00
8/25/2021,7:10:00 PM,58.4,194.6666667,08/25/2021 19:10
8/25/2021,7:20:00 PM,58.55,195.1666667,08/25/2021 19:20
8/25/2021,7:30:00 PM,58.2,194,08/25/2021 19:30
8/25/2021,7:40:00 PM,59.34,197.8,08/25/2021 19:40
8/25/2021,7:50:00 PM,58.08,193.6,08/25/2021 19:50
8/25/2021,8:00:00 PM,54.435,181.45,08/25/2021 20:00
8/25/2021,8:10:00 PM,55.355,184.5166667,08/25/2021 20:10
8/25/2021,8:20:00 PM,54.99,183.3,08/25/2021 20:20
8/25/2021,8:30:00 PM,53.615,178.7166667,08/25/2021 20:30
8/25/2021,8:40:00 PM,54.215,180.7166667,08/25/2021 20:40
8/25/2021,8:50:00 PM,55.4,184.6666667,08/25/2021 20:50
8/25/2021,9:00:00 PM,55.455,184.85,08/25/2021 21:00
8/25/2021,9:10:00 PM,55.235,184.1166667,08/25/2021 21:10
8/25/2021,9:20:00 PM,53.17,177.2333333,08/25/2021 21:20
8/25/2021,9:30:00 PM,50.76,169.2,08/25/2021 21:30
8/25/2021,9:40:00 PM,51.265,170.8833333,08/25/2021 21:40
8/25/2021,9:50:00 PM,52.5,175,08/25/2021 21:50
8/25/2021,10:00:00 PM,51.835,172.7833333,08/25/2021 22:00
8/25/2021,10:10:00 PM,51.645,172.15,08/25/2021 22:10
8/25/2021,10:20:00 PM,51.845,172.8166667,08/25/2021 22:20
8/25/2021,10:30:00 PM,50.38,167.9333333,08/25/2021 22:30
8/25/2021,10:40:00 PM,50.55,168.5,08/25/2021 22:40
8/25/2021,10:50:00 PM,51.425,171.4166667,08/25/2021 22:50
8/25/2021,11:00:00 PM,50.82,169.4,08/25/2021 23:00
8/25/2021,11:10:00 PM,51.115,170.3833333,08/25/2021 23:10
