date,time,voltage_mv,co2_ppm
6/22/21,15:00:44,115.75,385.8333333
6/22/21,15:10:44,128.14,427.1333333
6/22/21,15:20:44,129.08,430.2666667
6/22/21,15:30:44,126.135,420.45
6/22/21,15:40:44,125.905,419.6833333
6/22/21,15:50:44,128.675,428.9166667
6/22/21,16:00:44,128.75,429.1666667
6/22/21,16:10:44,133.345,444.4833333
6/22/21,16:20:44,130.19,433.9666667
6/22/21,16:30:44,130.895,436.3166667
6/22/21,16:40:44,130.87,436.2333333
6/22/21,16:50:44,131.51,438.3666667
6/22/21,17:00:44,131.68,438.9333333
6/22/21,17:10:44,131.755,439.1833333
6/22/21,17:20:44,133.165,443.8833333
6/22/21,17:30:44,131.82,439.4
6/22/21,17:40:44,137.235,457.45
6/22/21,17:50:44,136.285,454.2833333
6/22/21,18:00:44,135.56,451.8666667
6/22/21,18:10:44,133.84,446.1333333
6/22/21,18:20:44,135.8,452.6666667
6/22/21,18:30:44,136.105,453.6833333
6/22/21,18:40:44,133.5,445
6/22/21,18:50:44,132.93,443.1
6/22/21,19:00:44,130.455,434.85
6/22/21,19:10:44,135.36,451.2
6/22/21,19:20:44,138.34,461.1333333
6/22/21,19:30:44,135.855,452.85
6/22/21,19:40:44,135.705,452.35
6/22/21,19:50:44,135.765,452.55
6/22/21,20:00:44,135.665,452.2166667
6/22/21,20:10:44,136.21,454.0333333
6/22/21,20:20:44,136.08,453.6
6/22/21,20:30:44,135.8,452.6666667
6/22/21,20:40:44,135.39,451.3
6/22/21,20:50:44,135.59,451.9666667
6/22/21,21:00:44,134.12,447.0666667
6/22/21,21:10:44,135.075,450.25
6/22/21,21:20:44,134.85,449.5
6/22/21,21:30:44,137.29,457.6333333
6/22/21,21:40:44,135.635,452.1166667
6/22/21,21:50:44,133.14,443.8
6/22/21,22:00:44,134.15,447.1666667
6/22/21,22:10:44,132.975,443.25
6/22/21,22:20:44,133.015,443.3833333
6/22/21,22:30:44,133.085,443.6166667
6/22/21,22:40:44,132.935,443.1166667
6/22/21,22:50:44,133.79,445.9666667
6/22/21,23:00:44,136.22,454.0666667
6/22/21,23:10:44,138.055,460.1833333
6/22/21,23:20:44,137.275,457.5833333
6/22/21,23:30:44,138.25,460.8333333
6/22/21,23:40:44,139.7,465.6666667
6/22/21,23:50:44,135.525,451.75
6/23/21,0:00:44,135.185,450.6166667
6/23/21,0:10:44,137.98,459.9333333
6/23/21,0:20:44,138.73,462.4333333
6/23/21,0:30:44,138.43,461.4333333
6/23/21,0:40:44,136.39,454.6333333
