Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R66667
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (mV)
5/2/22,9:30:26,74.175
5/2/22,9:40:26,82.595
5/2/22,9:50:26,84.97
5/2/22,10:00:26,82.65
5/2/22,10:10:26,81.015
5/2/22,10:20:26,84.145
5/2/22,10:30:26,84.975
5/2/22,10:40:26,86.065
5/2/22,10:50:26,87.365
5/2/22,11:00:26,90.155
5/2/22,11:10:26,89.735
5/2/22,11:20:26,89.075
5/2/22,11:30:26,87.425
5/2/22,11:40:26,84.83
5/2/22,11:50:26,89.895
5/2/22,12:00:26,91.48
5/2/22,12:10:26,89.765
5/2/22,12:20:26,87.82
5/2/22,12:30:26,92.77
5/2/22,12:40:26,95.87
5/2/22,12:50:26,95.015
5/2/22,13:00:26,94.76
5/2/22,13:10:26,97.155
5/2/22,13:20:26,97.51
5/2/22,13:30:26,96.635
5/2/22,13:40:26,94.655
5/2/22,13:50:26,97.325
5/2/22,14:00:26,97.63
5/2/22,14:10:26,99.165
5/2/22,14:20:26,102.965
5/2/22,14:30:26,99.72
5/2/22,14:40:26,102.875
5/2/22,14:50:26,102.57
5/2/22,15:00:26,104.9
5/2/22,15:10:26,103.14
5/2/22,15:20:26,100.665
5/2/22,15:30:26,102.445
5/2/22,15:40:26,106.945
5/2/22,15:50:26,109.185
5/2/22,16:00:26,107.78
5/2/22,16:10:26,105.485
5/2/22,16:20:26,105.26
5/2/22,16:30:26,105.295
5/2/22,16:40:26,107.415
5/2/22,16:50:26,103.23
5/2/22,17:00:26,107.32
5/2/22,17:10:26,107.67
5/2/22,17:20:26,107.84
5/2/22,17:30:26,107.855
5/2/22,17:40:26,109.18
5/2/22,17:50:26,106.365
5/2/22,18:00:26,108.09
5/2/22,18:10:26,110.16
5/2/22,18:20:26,112.99
5/2/22,18:30:26,111.905
5/2/22,18:40:26,108.125
5/2/22,18:50:26,109.675
5/2/22,19:00:26,109.855
5/2/22,19:10:26,112.24
5/2/22,19:20:26,110.6
5/2/22,19:30:26,108.075
5/2/22,19:40:26,110.095
5/2/22,19:50:26,110.165
5/2/22,20:00:26,107.655
5/2/22,20:10:26,107.305
5/2/22,20:20:26,103.79
5/2/22,20:30:26,105.815
5/2/22,20:40:26,104.865
5/2/22,20:50:26,105.205
5/2/22,21:00:26,105.25
5/2/22,21:10:26,104.975
5/2/22,21:20:26,107.705
5/2/22,21:30:26,105.685
5/2/22,21:40:26,107.96
5/2/22,21:50:26,105.35
5/2/22,22:00:26,102.85
5/2/22,22:10:26,103.58
5/2/22,22:20:26,103.515
5/2/22,22:30:26,103.195
5/2/22,22:40:26,105.045
5/2/22,22:50:26,105.5
5/2/22,23:00:26,105.995
5/2/22,23:10:26,105.68
5/2/22,23:20:26,105.555
5/2/22,23:30:26,106.665
5/2/22,23:40:26,109.18
5/2/22,23:50:26,105.5
5/3/22,0:00:26,103.045
5/3/22,0:10:26,106.385
5/3/22,0:20:26,107.75
5/3/22,0:30:26,107.795
5/3/22,0:40:26,105.88
5/3/22,0:50:26,106.07
5/3/22,1:00:26,108.6
5/3/22,1:10:26,108.455
5/3/22,1:20:26,107.535
5/3/22,1:30:26,107.3
5/3/22,1:40:26,107.795
5/3/22,1:50:26,107.755
5/3/22,2:00:26,110.495
5/3/22,2:10:26,108.4
5/3/22,2:20:26,105.765
5/3/22,2:30:26,107.765
5/3/22,2:40:26,108.625
5/3/22,2:50:26,105.68
5/3/22,3:00:26,107.715
5/3/22,3:10:26,109.93
5/3/22,3:20:26,107.74
5/3/22,3:30:26,108.96
5/3/22,3:40:26,107.9
5/3/22,3:50:26,108.91
5/3/22,4:00:26,107.86
5/3/22,4:10:26,105.69
5/3/22,4:20:26,107.72
5/3/22,4:30:26,107.97
5/3/22,4:40:26,107.88
5/3/22,4:50:26,107.605
5/3/22,5:00:26,107.92
5/3/22,5:10:26,108.045
5/3/22,5:20:26,107.955
5/3/22,5:30:26,107.44
5/3/22,5:40:26,106.145
5/3/22,5:50:26,109.055
5/3/22,6:00:26,109.73
5/3/22,6:10:26,107.045
5/3/22,6:20:26,105.975
5/3/22,6:30:26,106.805
5/3/22,6:40:26,109.915
5/3/22,6:50:26,108.07
5/3/22,7:00:26,108.65
5/3/22,7:10:26,109.765
5/3/22,7:20:26,110.155
5/3/22,7:30:26,113.03
5/3/22,7:40:26,110.81
5/3/22,7:50:26,110.295
5/3/22,8:00:26,108.61
5/3/22,8:10:26,109.56
5/3/22,8:20:26,109.465
5/3/22,8:30:26,110.325
5/3/22,8:40:26,110.63
5/3/22,8:50:26,115.35
5/3/22,9:00:26,113.205
5/3/22,9:10:26,111.825
5/3/22,9:20:26,109.91
5/3/22,9:30:26,110.355
5/3/22,9:40:26,111.75
5/3/22,9:50:26,113.555
5/3/22,10:00:26,112.35
5/3/22,10:10:26,110.215
5/3/22,10:20:26,111.39
5/3/22,10:30:26,115.4
5/3/22,10:40:26,117.095
5/3/22,10:50:26,114.915
5/3/22,11:00:26,110.1
5/3/22,11:10:26,114.1
5/3/22,11:20:26,114.81
5/3/22,11:30:26,115.165
5/3/22,11:40:26,117.025
5/3/22,11:50:26,113.98
5/3/22,12:00:26,115.135
5/3/22,12:10:26,115.015
5/3/22,12:20:26,114.575
5/3/22,12:30:26,115.18
5/3/22,12:40:26,115.13
5/3/22,12:50:26,115.16
5/3/22,13:00:26,116.53
5/3/22,13:10:26,116.435
5/3/22,13:20:26,115.625
5/3/22,13:30:26,117.415
5/3/22,13:40:26,117.67
5/3/22,13:50:26,115.58
5/3/22,14:00:26,115.86
5/3/22,14:10:26,115.68
5/3/22,14:20:26,115.075
5/3/22,14:30:26,112.705
5/3/22,14:40:26,112.44
5/3/22,14:50:26,112.755
5/3/22,15:00:26,115.085
5/3/22,15:10:26,113.905
5/3/22,15:20:26,112.985
5/3/22,15:30:26,112.86
5/3/22,15:40:26,112.235
5/3/22,15:50:26,110.245
5/3/22,16:00:26,112.735
5/3/22,16:10:26,115.375
5/3/22,16:20:26,113.52
5/3/22,16:30:26,110.38
5/3/22,16:40:26,114.6
5/3/22,16:50:26,112.775
5/3/22,17:00:26,110.3
5/3/22,17:10:26,113.375
5/3/22,17:20:26,114.915
5/3/22,17:30:26,111.465
5/3/22,17:40:26,115.7
5/3/22,17:50:26,112.855
5/3/22,18:00:26,111.45
5/3/22,18:10:26,113.035
5/3/22,18:20:26,112.66
5/3/22,18:30:26,113.065
5/3/22,18:40:26,111.565
5/3/22,18:50:26,111.075
5/3/22,19:00:26,110.945
5/3/22,19:10:26,111.65
5/3/22,19:20:26,110.565
5/3/22,19:30:26,113.045
5/3/22,19:40:26,110.485
5/3/22,19:50:26,108.47
5/3/22,20:00:26,110.6
5/3/22,20:10:26,109.285
5/3/22,20:20:26,110.445
5/3/22,20:30:26,110.375
5/3/22,20:40:26,108.2
5/3/22,20:50:26,107.39
5/3/22,21:00:26,106.355
5/3/22,21:10:26,102.84
5/3/22,21:20:26,105.455
5/3/22,21:30:26,105.055
5/3/22,21:40:26,103.735
5/3/22,21:50:26,102.995
5/3/22,22:00:26,102.68
5/3/22,22:10:26,102.165
5/3/22,22:20:26,101.565
5/3/22,22:30:26,102.93
5/3/22,22:40:26,104.515
5/3/22,22:50:26,102.855
5/3/22,23:00:26,102.775
5/3/22,23:10:26,100.37
5/3/22,23:20:26,105.985
5/3/22,23:30:26,106.035
5/3/22,23:40:26,105.365
5/3/22,23:50:26,107.26
5/4/22,0:00:26,103.335
5/4/22,0:10:26,103.055
5/4/22,0:20:26,105.48
5/4/22,0:30:26,105.665
5/4/22,0:40:26,109.915
5/4/22,0:50:26,105.83
5/4/22,1:00:26,104.235
5/4/22,1:10:26,107.535
5/4/22,1:20:26,108.23
5/4/22,1:30:26,109.175
5/4/22,1:40:26,109.02
5/4/22,1:50:26,106.66
5/4/22,2:00:26,108.455
5/4/22,2:10:26,105.28
5/4/22,2:20:26,109.535
5/4/22,2:30:26,107.52
5/4/22,2:40:26,107.715
5/4/22,2:50:26,109.345
5/4/22,3:00:26,108.25
5/4/22,3:10:26,105.38
5/4/22,3:20:26,110.105
5/4/22,3:30:26,107.94
5/4/22,3:40:26,110.58
5/4/22,3:50:26,108.61
5/4/22,4:00:26,109.285
5/4/22,4:10:26,106.19
5/4/22,4:20:26,108.91
5/4/22,4:30:26,107.82
5/4/22,4:40:26,107.05
5/4/22,4:50:26,110.745
5/4/22,5:00:26,107.18
5/4/22,5:10:26,110.765
5/4/22,5:20:26,110.495
5/4/22,5:30:26,106.37
5/4/22,5:40:26,108.52
5/4/22,5:50:26,109.99
5/4/22,6:00:26,106.675
5/4/22,6:10:26,107.62
5/4/22,6:20:26,109.92
5/4/22,6:30:26,108.115
5/4/22,6:40:26,105.465
5/4/22,6:50:26,105.92
5/4/22,7:00:26,108.71
5/4/22,7:10:26,105.4
5/4/22,7:20:26,104.815
5/4/22,7:30:26,107.325
5/4/22,7:40:26,105.25
5/4/22,7:50:26,103.87
5/4/22,8:00:26,103.505
5/4/22,8:10:26,105.89
5/4/22,8:20:26,103.16
5/4/22,8:30:26,105.7
5/4/22,8:40:26,104.06
5/4/22,8:50:26,100.69
5/4/22,9:00:26,104.56
5/4/22,9:10:26,102.55
5/4/22,9:20:26,101.36
5/4/22,9:30:26,105.215
5/4/22,9:40:26,103.045
5/4/22,9:50:26,101.155
5/4/22,10:00:26,107.065
5/4/22,10:10:26,105.595
5/4/22,10:20:26,100.305
5/4/22,10:30:26,103.045
5/4/22,10:40:26,108.185
5/4/22,10:50:26,104.705
5/4/22,11:00:26,105.575
5/4/22,11:10:26,105.72
5/4/22,11:20:26,106.35
5/4/22,11:30:26,106.78
5/4/22,11:40:26,105.95
5/4/22,11:50:26,102.395
5/4/22,12:00:26,105.945
5/4/22,12:10:26,105.565
5/4/22,12:20:26,105.05
5/4/22,12:30:26,107.215
5/4/22,12:40:26,105.5
5/4/22,12:50:26,108.38
5/4/22,13:00:26,103.11
5/4/22,13:10:26,105.705
5/4/22,13:20:26,105.605
5/4/22,13:30:26,105.395
5/4/22,13:40:26,108.165
5/4/22,13:50:26,106.27
5/4/22,14:00:26,109.865
5/4/22,14:10:26,108.125
5/4/22,14:20:26,103.075
5/4/22,14:30:26,108.165
5/4/22,14:40:26,108.42
5/4/22,14:50:26,108.23
5/4/22,15:00:26,107.46
5/4/22,15:10:26,106.11
5/4/22,15:20:26,110.72
5/4/22,15:30:26,108.41
5/4/22,15:40:26,112.17
5/4/22,15:50:26,111
5/4/22,16:00:26,109.465
5/4/22,16:10:26,110.805
5/4/22,16:20:26,110.78
5/4/22,16:30:26,107.99
5/4/22,16:40:26,111
5/4/22,16:50:26,113.075
5/4/22,17:00:26,113.635
5/4/22,17:10:26,108.47
5/4/22,17:20:26,111.295
5/4/22,17:30:26,113.21
5/4/22,17:40:26,113.64
5/4/22,17:50:26,111.96
5/4/22,18:00:26,113.88
5/4/22,18:10:26,110.76
5/4/22,18:20:26,108.61
5/4/22,18:30:26,115.075
5/4/22,18:40:26,112.43
5/4/22,18:50:26,113.37
5/4/22,19:00:26,113.385
5/4/22,19:10:26,113.135
5/4/22,19:20:26,113.52
5/4/22,19:30:26,114.24
5/4/22,19:40:26,112.94
5/4/22,19:50:26,112.73
5/4/22,20:00:26,113.655
5/4/22,20:10:26,113.375
5/4/22,20:20:26,113.985
5/4/22,20:30:26,113.18
5/4/22,20:40:26,112.425
5/4/22,20:50:26,110.6
5/4/22,21:00:26,113.425
5/4/22,21:10:26,115.655
5/4/22,21:20:26,113.435
5/4/22,21:30:26,115.09
5/4/22,21:40:26,114.755
5/4/22,21:50:26,113.875
5/4/22,22:00:26,113.35
5/4/22,22:10:26,115.56
5/4/22,22:20:26,113.22
5/4/22,22:30:26,114.88
5/4/22,22:40:26,113.195
5/4/22,22:50:26,113.2
5/4/22,23:00:26,110.75
5/4/22,23:10:26,116.09
5/4/22,23:20:26,114.7
5/4/22,23:30:26,112.48
5/4/22,23:40:26,112.305
5/4/22,23:50:26,113.895
5/5/22,0:00:26,114.74
5/5/22,0:10:26,115.755
5/5/22,0:20:26,112.245
5/5/22,0:30:26,111.295
5/5/22,0:40:26,111.12
5/5/22,0:50:26,115.005
5/5/22,1:00:26,113.485
5/5/22,1:10:26,113.4
5/5/22,1:20:26,115.67
5/5/22,1:30:26,113.02
5/5/22,1:40:26,113.215
5/5/22,1:50:26,113.085
5/5/22,2:00:26,110.655
5/5/22,2:10:26,111.33
5/5/22,2:20:26,114.585
5/5/22,2:30:26,112.175
5/5/22,2:40:26,111.48
5/5/22,2:50:26,115.24
5/5/22,3:00:26,110.83
5/5/22,3:10:26,114.195
5/5/22,3:20:26,113.31
5/5/22,3:30:26,110.36
5/5/22,3:40:26,112.58
5/5/22,3:50:26,110.89
5/5/22,4:00:26,110.65
5/5/22,4:10:26,115.15
5/5/22,4:20:26,107.97
5/5/22,4:30:26,111.36
5/5/22,4:40:26,113.13
5/5/22,4:50:26,113.225
5/5/22,5:00:26,111.06
5/5/22,5:10:26,109.705
5/5/22,5:20:26,111.075
5/5/22,5:30:26,113.34
5/5/22,5:40:26,114.33
5/5/22,5:50:26,108.195
5/5/22,6:00:26,111.12
5/5/22,6:10:26,110.66
5/5/22,6:20:26,110.79
5/5/22,6:30:26,110.795
5/5/22,6:40:26,110.765
5/5/22,6:50:26,111.595
5/5/22,7:00:26,112.43
5/5/22,7:10:26,109.51
5/5/22,7:20:26,112.96
5/5/22,7:30:26,110.57
5/5/22,7:40:26,113.425
5/5/22,7:50:26,115.79
5/5/22,8:00:26,110.52
5/5/22,8:10:26,110.92
5/5/22,8:20:26,111.845
5/5/22,8:30:26,113.295
5/5/22,8:40:26,111.85
5/5/22,8:50:26,108.445
5/5/22,9:00:26,113.455
5/5/22,9:10:26,116.02
5/5/22,9:20:26,113.195
5/5/22,9:30:26,112.18
5/5/22,9:40:26,110.89
5/5/22,9:50:26,111.305
5/5/22,10:00:26,113.535
5/5/22,10:10:26,113.43
5/5/22,10:20:26,110.265
5/5/22,10:30:26,110.735
5/5/22,10:40:26,112.125
5/5/22,10:50:26,112.42
5/5/22,11:00:26,110.91
5/5/22,11:10:26,110.855
5/5/22,11:20:26,113.685
5/5/22,11:30:26,113.49
5/5/22,11:40:26,114.405
5/5/22,11:50:26,116.4
5/5/22,12:00:26,116.85
5/5/22,12:10:26,113.39
5/5/22,12:20:26,113.27
5/5/22,12:30:26,116.095
5/5/22,12:40:26,116.765
5/5/22,12:50:26,113.64
5/5/22,13:00:26,118.44
5/5/22,13:10:26,116.09
5/5/22,13:20:26,118.97
5/5/22,13:30:26,118.395
5/5/22,13:40:26,117.57
5/5/22,13:50:26,119.975
5/5/22,14:00:26,118.495
5/5/22,14:10:26,120.805
5/5/22,14:20:26,116.08
5/5/22,14:30:26,118.145
5/5/22,14:40:26,120.205
5/5/22,14:50:26,118.615
5/5/22,15:00:26,115.745
5/5/22,15:10:26,118.86
5/5/22,15:20:26,120.93
5/5/22,15:30:26,120.205
5/5/22,15:40:26,118.535
5/5/22,15:50:26,118.255
5/5/22,16:00:26,115.81
5/5/22,16:10:26,120.19
5/5/22,16:20:26,121.275
5/5/22,16:30:26,123.26
5/5/22,16:40:26,118.365
5/5/22,16:50:26,120.33
5/5/22,17:00:26,118.48
5/5/22,17:10:26,119.93
5/5/22,17:20:26,118.47
5/5/22,17:30:26,119.395
5/5/22,17:40:26,119.29
5/5/22,17:50:26,119.67
5/5/22,18:00:26,118.39
5/5/22,18:10:26,117.89
5/5/22,18:20:26,116.36
5/5/22,18:30:26,118.915
5/5/22,18:40:26,120.75
5/5/22,18:50:26,118.165
5/5/22,19:00:26,115.88
5/5/22,19:10:26,116.21
5/5/22,19:20:26,117.37
5/5/22,19:30:26,121.04
5/5/22,19:40:26,120.32
5/5/22,19:50:26,120.505
5/5/22,20:00:26,118.345
5/5/22,20:10:26,116.48
5/5/22,20:20:26,118.47
5/5/22,20:30:26,118.86
5/5/22,20:40:26,119.59
5/5/22,20:50:26,121.03
5/5/22,21:00:26,121.065
5/5/22,21:10:26,119.195
5/5/22,21:20:26,118.645
5/5/22,21:30:26,117.935
5/5/22,21:40:26,116.37
5/5/22,21:50:26,115.925
5/5/22,22:00:26,117.3
5/5/22,22:10:26,116.27
5/5/22,22:20:26,116.58
5/5/22,22:30:26,116.225
5/5/22,22:40:26,117.665
5/5/22,22:50:26,115.795
5/5/22,23:00:26,116.71
5/5/22,23:10:26,118.45
5/5/22,23:20:26,116.82
5/5/22,23:30:26,115.33
5/5/22,23:40:26,115.995
5/5/22,23:50:26,116.155
5/6/22,0:00:26,113.91
5/6/22,0:10:26,116.15
5/6/22,0:20:26,113.295
5/6/22,0:30:26,113.57
5/6/22,0:40:26,116.135
5/6/22,0:50:26,112.99
5/6/22,1:00:26,114.255
5/6/22,1:10:26,113.47
5/6/22,1:20:26,115.715
5/6/22,1:30:26,114.735
5/6/22,1:40:26,115.8
5/6/22,1:50:26,113.265
5/6/22,2:00:26,116.2
5/6/22,2:10:26,118.54
5/6/22,2:20:26,115.935
5/6/22,2:30:26,118.425
5/6/22,2:40:26,115.58
