Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R37137
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (V)
5/30/22,15:31:12,0.0191
5/30/22,15:41:12,0.0153
5/30/22,15:51:12,0.0161
5/30/22,16:01:12,0.017
5/30/22,16:11:12,0.0141
5/30/22,16:21:12,0.0154
5/30/22,16:31:12,0.0164
5/30/22,16:41:12,0.0163
5/30/22,16:51:12,0.0158
5/30/22,17:01:12,0.0161
5/30/22,17:11:12,0.0151
5/30/22,17:21:12,0.0166
5/30/22,17:31:12,0.0189
5/30/22,17:41:12,0.0196
5/30/22,17:51:12,0.0184
5/30/22,18:01:12,0.0187
5/30/22,18:11:12,0.018
5/30/22,18:21:12,0.0173
5/30/22,18:31:12,0.0165
5/30/22,18:41:12,0.0167
5/30/22,18:51:12,0.0167
5/30/22,19:01:12,0.017
5/30/22,19:11:12,0.0172
5/30/22,19:21:12,0.0185
5/30/22,19:31:12,0.0188
5/30/22,19:41:12,0.0174
5/30/22,19:51:12,0.0187
5/30/22,20:01:12,0.0194
5/30/22,20:11:12,0.0185
5/30/22,20:21:12,0.0171
5/30/22,20:31:12,0.0165
5/30/22,20:41:12,0.0154
5/30/22,20:51:12,0.0161
5/30/22,21:01:12,0.0168
5/30/22,21:11:12,0.0167
5/30/22,21:21:12,0.0164
5/30/22,21:31:12,0.0164
5/30/22,21:41:12,0.0157
5/30/22,21:51:12,0.0146
5/30/22,22:01:12,0.0143
5/30/22,22:11:12,0.0141
5/30/22,22:21:12,0.0162
5/30/22,22:31:12,0.017
5/30/22,22:41:12,0.017
5/30/22,22:51:12,0.0172
5/30/22,23:01:12,0.018
5/30/22,23:11:12,0.0168
5/30/22,23:21:12,0.0145
5/30/22,23:31:12,0.0146
5/30/22,23:41:12,0.0145
5/30/22,23:51:12,0.0146
5/31/22,0:01:12,0.017
5/31/22,0:11:12,0.019
5/31/22,0:21:12,0.0144
5/31/22,0:31:12,0.0192
5/31/22,0:41:12,0.0166
5/31/22,0:51:12,0.0144
5/31/22,1:01:12,0.0144
5/31/22,1:11:12,0.0167
5/31/22,1:21:12,0.0171
5/31/22,1:31:12,0.0186
5/31/22,1:41:12,0.0172
5/31/22,1:51:12,0.014
5/31/22,2:01:12,0.0167
5/31/22,2:11:12,0.0174
5/31/22,2:21:12,0.0194
5/31/22,2:31:12,0.0167
5/31/22,2:41:12,0.0163
5/31/22,2:51:12,0.0146
5/31/22,3:01:12,0.0167
5/31/22,3:11:12,0.0183
5/31/22,3:21:12,0.0139
5/31/22,3:31:12,0.0191
5/31/22,3:41:12,0.0149
5/31/22,3:51:12,0.017
5/31/22,4:01:12,0.0166
5/31/22,4:11:12,0.014
5/31/22,4:21:12,0.0173
5/31/22,4:31:12,0.0178
5/31/22,4:41:12,0.0165
5/31/22,4:51:12,0.0142
5/31/22,5:01:12,0.0166
5/31/22,5:11:12,0.0167
5/31/22,5:21:12,0.0167
5/31/22,5:31:12,0.0167
5/31/22,5:41:12,0.0143
5/31/22,5:51:12,0.0151
5/31/22,6:01:12,0.0167
5/31/22,6:11:12,0.0193
5/31/22,6:21:12,0.0165
5/31/22,6:31:12,0.0163
5/31/22,6:41:12,0.0192
5/31/22,6:51:12,0.0164
5/31/22,7:01:12,0.0164
5/31/22,7:11:12,0.0147
5/31/22,7:21:12,0.0157
5/31/22,7:31:12,0.017
5/31/22,7:41:12,0.0179
5/31/22,7:51:12,0.0166
5/31/22,8:01:12,0.0162
5/31/22,8:11:12,0.0142
5/31/22,8:21:12,0.0145
5/31/22,8:31:12,0.0148
5/31/22,8:41:12,0.0165
5/31/22,8:51:12,0.0193
5/31/22,9:01:12,0.0166
5/31/22,9:11:12,0.0153
5/31/22,9:21:12,0.0146
5/31/22,9:31:12,0.0142
5/31/22,9:41:12,0.0157
5/31/22,9:51:12,0.0167
5/31/22,10:01:12,0.0181
5/31/22,10:11:12,0.0182
5/31/22,10:21:12,0.0173
5/31/22,10:31:12,0.0163
5/31/22,10:41:12,0.0166
5/31/22,10:51:12,0.0167
5/31/22,11:01:12,0.0167
5/31/22,11:11:12,0.0148
5/31/22,11:21:12,0.0167
5/31/22,11:31:12,0.0177
5/31/22,11:41:12,0.0187
5/31/22,11:51:12,0.0163
5/31/22,12:01:12,0.0142
5/31/22,12:11:12,0.0145
5/31/22,12:21:12,0.0162
5/31/22,12:31:12,0.0173
