Device Name:,,OM-CP-VOLT101A
Device Description:,,Voltage Data Logger
Serial Number:,,R32422
Device ID:,,MultiChannel
,,
,,Channel 1
Date,Time,Voltage (V)
4/29/22,17:06:10,0.1768
4/29/22,17:16:10,0.1981
4/29/22,17:26:10,0.227
4/29/22,17:36:10,0.2439
4/29/22,17:46:10,0.2543
4/29/22,17:56:10,0.2561
4/29/22,18:06:10,0.2592
4/29/22,18:16:10,0.2543
4/29/22,18:26:10,0.2467
4/29/22,18:36:10,0.0177
4/29/22,18:46:10,0.0195
4/29/22,18:56:10,0.0179
4/29/22,19:06:10,0.0194
4/29/22,19:16:10,0.0189
4/29/22,19:26:10,0.0199
4/29/22,19:36:10,0.019
4/29/22,19:46:10,0.0171
4/29/22,19:56:10,0.0182
4/29/22,20:06:10,0.0202
4/29/22,20:16:10,0.0221
4/29/22,20:26:10,0.0202
4/29/22,20:36:10,0.0206
4/29/22,20:46:10,0.0237
4/29/22,20:56:10,0.0223
4/29/22,21:06:10,0.0228
4/29/22,21:16:10,0.0215
4/29/22,21:26:10,0.0239
4/29/22,21:36:10,0.0202
4/29/22,21:46:10,0.0241
4/29/22,21:56:10,0.0202
4/29/22,22:06:10,0.0195
4/29/22,22:16:10,0.0191
4/29/22,22:26:10,0.0184
4/29/22,22:36:10,0.0201
4/29/22,22:46:10,0.02
4/29/22,22:56:10,0.0191
4/29/22,23:06:10,0.0239
4/29/22,23:16:10,0.0202
4/29/22,23:26:10,0.0165
4/29/22,23:36:10,0.0184
4/29/22,23:46:10,0.0196
4/29/22,23:56:10,0.0198
4/30/22,0:06:10,0.0225
4/30/22,0:16:10,0.0228
4/30/22,0:26:10,0.0232
4/30/22,0:36:10,0.023
4/30/22,0:46:10,0.0199
4/30/22,0:56:10,0.0197
4/30/22,1:06:10,0.0197
4/30/22,1:16:10,0.0231
4/30/22,1:26:10,0.0208
4/30/22,1:36:10,0.0198
4/30/22,1:46:10,0.0161
4/30/22,1:56:10,0.0167
4/30/22,2:06:10,0.0166
4/30/22,2:16:10,0.0161
4/30/22,2:26:10,0.0197
4/30/22,2:36:10,0.0229
4/30/22,2:46:10,0.0198
4/30/22,2:56:10,0.0178
4/30/22,3:06:10,0.0214
4/30/22,3:16:10,0.0205
4/30/22,3:26:10,0.0208
4/30/22,3:36:10,0.0232
4/30/22,3:46:10,0.0207
4/30/22,3:56:10,0.0174
4/30/22,4:06:10,0.021
4/30/22,4:16:10,0.0182
4/30/22,4:26:10,0.0196
4/30/22,4:36:10,0.024
4/30/22,4:46:10,0.0216
4/30/22,4:56:10,0.0193
4/30/22,5:06:10,0.0164
4/30/22,5:16:10,0.0191
4/30/22,5:26:10,0.0201
4/30/22,5:36:10,0.0187
4/30/22,5:46:10,0.0184
4/30/22,5:56:10,0.0192
4/30/22,6:06:10,0.0204
4/30/22,6:16:10,0.0205
4/30/22,6:26:10,0.0193
4/30/22,6:36:10,0.0197
4/30/22,6:46:10,0.0203
4/30/22,6:56:10,0.0169
4/30/22,7:06:10,0.0198
4/30/22,7:16:10,0.0222
4/30/22,7:26:10,0.024
4/30/22,7:36:10,0.0197
4/30/22,7:46:10,0.0197
4/30/22,7:56:10,0.0202
4/30/22,8:06:10,0.0205
4/30/22,8:16:10,0.0186
4/30/22,8:26:10,0.0185
4/30/22,8:36:10,0.0202
4/30/22,8:46:10,0.0199
4/30/22,8:56:10,0.0195
4/30/22,9:06:10,0.0197
4/30/22,9:16:10,0.0211
4/30/22,9:26:10,0.0228
4/30/22,9:36:10,0.0233
4/30/22,9:46:10,0.0232
4/30/22,9:56:10,0.0216
4/30/22,10:06:10,0.0211
4/30/22,10:16:10,0.0235
4/30/22,10:26:10,0.0207
4/30/22,10:36:10,0.0212
4/30/22,10:46:10,0.0237
4/30/22,10:56:10,0.02
4/30/22,11:06:10,0.0198
4/30/22,11:16:10,0.0192
4/30/22,11:26:10,0.0168
4/30/22,11:36:10,0.0188
4/30/22,11:46:10,0.0171
4/30/22,11:56:10,0.0188
4/30/22,12:06:10,0.0172
4/30/22,12:16:10,0.0165
4/30/22,12:26:10,0.0196
4/30/22,12:36:10,0.02
4/30/22,12:46:10,0.0174
4/30/22,12:56:10,0.0164
4/30/22,13:06:10,0.0167
4/30/22,13:16:10,0.0175
4/30/22,13:26:10,0.0204
4/30/22,13:36:10,0.0205
4/30/22,13:46:10,0.0232
4/30/22,13:56:10,0.0231
4/30/22,14:06:10,0.023
4/30/22,14:16:10,0.0194
4/30/22,14:26:10,0.02
4/30/22,14:36:10,0.0235
4/30/22,14:46:10,0.0207
4/30/22,14:56:10,0.0195
4/30/22,15:06:10,0.0204
4/30/22,15:16:10,0.0207
4/30/22,15:26:10,0.0241
4/30/22,15:36:10,0.0237
4/30/22,15:46:10,0.0229
4/30/22,15:56:10,0.0021
4/30/22,16:06:10,0.0184
4/30/22,16:16:10,0.015
4/30/22,16:26:10,0.0164
4/30/22,16:36:10,0.016
4/30/22,16:46:10,0.014
4/30/22,16:56:10,0.0133
4/30/22,17:06:10,0.0175
4/30/22,17:16:10,0.0163
4/30/22,17:26:10,0.0179
4/30/22,17:36:10,0.0145
4/30/22,17:46:10,0.017
4/30/22,17:56:10,0.0152
4/30/22,18:06:10,0.0156
4/30/22,18:16:10,0.0157
4/30/22,18:26:10,0.015
4/30/22,18:36:10,0.0158
4/30/22,18:46:10,0.0157
4/30/22,18:56:10,0.0159
4/30/22,19:06:10,0.0144
4/30/22,19:16:10,0.0147
4/30/22,19:26:10,0.0166
4/30/22,19:36:10,0.0185
4/30/22,19:46:10,0.0172
4/30/22,19:56:10,0.0216
4/30/22,20:06:10,0.0294
4/30/22,20:16:10,0.0384
4/30/22,20:26:10,0.0436
4/30/22,20:36:10,0.0413
4/30/22,20:46:10,0.038
4/30/22,20:56:10,0.0345
4/30/22,21:06:10,0.029
4/30/22,21:16:10,0.0292
4/30/22,21:26:10,0.0263
4/30/22,21:36:10,0.0213
4/30/22,21:46:10,0.0192
4/30/22,21:56:10,0.0141
4/30/22,22:06:10,0.0175
4/30/22,22:16:10,0.0161
4/30/22,22:26:10,0.0162
4/30/22,22:36:10,0.0164
4/30/22,22:46:10,0.0139
4/30/22,22:56:10,0.0164
4/30/22,23:06:10,0.0165
4/30/22,23:16:10,0.0152
4/30/22,23:26:10,0.0163
4/30/22,23:36:10,0.0162
4/30/22,23:46:10,0.0164
4/30/22,23:56:10,0.0162
5/1/22,0:06:10,0.0143
5/1/22,0:16:10,0.0157
5/1/22,0:26:10,0.0145
5/1/22,0:36:10,0.0157
5/1/22,0:46:10,0.0187
5/1/22,0:56:10,0.0136
5/1/22,1:06:10,0.0176
5/1/22,1:16:10,0.0185
5/1/22,1:26:10,0.0186
5/1/22,1:36:10,0.0161
5/1/22,1:46:10,0.0185
5/1/22,1:56:10,0.0185
5/1/22,2:06:10,0.021
5/1/22,2:16:10,0.0254
5/1/22,2:26:10,0.0259
5/1/22,2:36:10,0.0397
5/1/22,2:46:10,0.0485
5/1/22,2:56:10,0.0588
5/1/22,3:06:10,0.0707
5/1/22,3:16:10,0.0817
5/1/22,3:26:10,0.0983
5/1/22,3:36:10,0.1109
5/1/22,3:46:10,0.1243
5/1/22,3:56:10,0.1196
5/1/22,4:06:10,0.1069
5/1/22,4:16:10,0.0864
5/1/22,4:26:10,0.0658
5/1/22,4:36:10,0.0484
5/1/22,4:46:10,0.0426
5/1/22,4:56:10,0.0438
5/1/22,5:06:10,0.0466
5/1/22,5:16:10,0.0467
5/1/22,5:26:10,0.0471
5/1/22,5:36:10,0.0481
5/1/22,5:46:10,0.0505
5/1/22,5:56:10,0.0465
5/1/22,6:06:10,0.0424
5/1/22,6:16:10,0.0428
5/1/22,6:26:10,0.0419
5/1/22,6:36:10,0.0456
5/1/22,6:46:10,0.0444
5/1/22,6:56:10,0.0509
5/1/22,7:06:10,0.053
5/1/22,7:16:10,0.0531
5/1/22,7:26:10,0.046
5/1/22,7:36:10,0.0363
5/1/22,7:46:10,0.028
5/1/22,7:56:10,0.0239
5/1/22,8:06:10,0.025
5/1/22,8:16:10,0.0247
5/1/22,8:26:10,0.022
5/1/22,8:36:10,0.0231
5/1/22,8:46:10,0.0193
5/1/22,8:56:10,0.022
5/1/22,9:06:10,0.0241
5/1/22,9:16:10,0.022
5/1/22,9:26:10,0.0218
5/1/22,9:36:10,0.0234
5/1/22,9:46:10,0.017
5/1/22,9:56:10,0.0163
5/1/22,10:06:10,0.0148
5/1/22,10:16:10,0.0491
5/1/22,10:26:10,0.0819
5/1/22,10:36:10,0.0856
5/1/22,10:46:10,0.0806
5/1/22,10:56:10,0.0734
5/1/22,11:06:10,0.069
5/1/22,11:16:10,0.0623
5/1/22,11:26:10,0.0607
5/1/22,11:36:10,0.061
5/1/22,11:46:10,0.0599
5/1/22,11:56:10,0.0609
5/1/22,12:06:10,0.0632
5/1/22,12:16:10,0.0653
5/1/22,12:26:10,0.0696
5/1/22,12:36:10,0.0707
5/1/22,12:46:10,0.0764
5/1/22,12:56:10,0.0736
5/1/22,13:06:10,0.0823
5/1/22,13:16:10,0.0836
5/1/22,13:26:10,0.0893
5/1/22,13:36:10,0.0938
5/1/22,13:46:10,0.1004
5/1/22,13:56:10,0.1022
5/1/22,14:06:10,0.1102
5/1/22,14:16:10,0.1099
5/1/22,14:26:10,0.0895
5/1/22,14:36:10,0.0986
5/1/22,14:46:10,0.1066
5/1/22,14:56:10,0.0783
5/1/22,15:06:10,0.1322
5/1/22,15:16:10,0.1256
5/1/22,15:26:10,0.1293
5/1/22,15:36:10,0.1377
5/1/22,15:46:10,0.1373
5/1/22,15:56:10,0.1351
5/1/22,16:06:10,0.128
5/1/22,16:16:10,0.1227
5/1/22,16:26:10,0.1079
5/1/22,16:36:10,0.1174
5/1/22,16:46:10,0.1045
5/1/22,16:56:10,0.1074
5/1/22,17:06:10,0.1151
5/1/22,17:16:10,0.1329
5/1/22,17:26:10,0.1172
5/1/22,17:36:10,0.1074
5/1/22,17:46:10,0.1216
5/1/22,17:56:10,0.1277
5/1/22,18:06:10,0.1297
5/1/22,18:16:10,0.1249
5/1/22,18:26:10,0.1223
5/1/22,18:36:10,0.1239
5/1/22,18:46:10,0.122
5/1/22,18:56:10,0.1246
5/1/22,19:06:10,0.1218
5/1/22,19:16:10,0.1236
